display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
"LYNN COMMUNITY HEALTH, INC.",RYAN SULLIVAN,LYNN,MA,01901,7815813900,A,Immediate Outreach,MFP Cash Flow,650,308100.0,98.6
WILLOW PHARMACY,BRIAN STRASNICK,LYNN,MA,01901,7815924350,A,Immediate Outreach,MFP Cash Flow,650,308100.0,98.6
KERNVILLE HEALTHCARE INC,JOEL F,LAKE ISABELLA,CA,93240,6614314915,A,Immediate Outreach,MFP Cash Flow,608,288192.0,94.5
GREENS DRUGS LLC,ALISON GREEN,NEWELLTON,LA,71357,3184675225,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.5
GREENS DRUGS LLC,ALISON GREEN,NEWELLTON,LA,71357,3184675225,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.5
SCPG LOUISIANA LLC,UMAR FAROOQ,ST. JOSEPH,LA,71366,3187664563,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.5
PROFESSIONAL PHARMACY SERVICES LLC,MUSA MUSLEH,GARY,IN,46402,7088333177,A,Immediate Outreach,GLP-1 Loss,650,308100.0,94.3
TOTAL HEALTH PARTNERS INC,LOUIS WILLIAMS,GARY,IN,46402,2198851615,A,Immediate Outreach,GLP-1 Loss,650,308100.0,94.3
"WILLIAMS BROS. HEALTH CARE PHARMACY, INC.",CHARLES WILLIAMS,PAOLI,IN,47454,8127233907,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.2
"APOTHEWORX, LLC",HEIDI CRAM,SHREVEPORT,LA,71101,3188631800,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.2
LINE AVENUE PHARMACY INC,STEPHEN CAUDLE,SHREVEPORT,LA,71101,3182215114,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.2
PILL BOX PHARMACY INCORPORATED,JAMES DUCK,SHREVEPORT,LA,71101,3188650234,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.2
POLKS CROSSGATES DISCOUNT DRUGS INC,JOHN GRAY,SHREVEPORT,LA,71103,3184290161,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.2
PARISH PHARMACY INC,KINGS PHARMACY,SHREVEPORT,LA,71103,3186358159,A,Immediate Outreach,MFP Cash Flow,533,252648.0,94.2
"BLACK DIAMOND PHARMACY, LLC",DAVID DUNSON,NORTHFORK,WV,24868,3048622105,A,Immediate Outreach,MFP Cash Flow,495,234624.0,94.2
KMG PHARMACY LLC,MAHMOUD SHALTAF,TROTWOOD,OH,45426,9375294433,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.1
THE METROHEALTH SYSTEM,DERRICK HOLLINGS,CLEVELAND,OH,44120,2169574052,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.1
APPALACHIAN RX LLC,MATTHEW CARPENTER,WEBSTER SPRINGS,WV,26288,3046192401,A,Immediate Outreach,MFP Cash Flow,491,232728.0,94.1
AMERIWELL BENEFICIAL COMMUNITY SERVICES,RAYMOND MURPHY,CLEVELAND,OH,44120,2162833860,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.1
QUALITY PHARMACY SERVICES,CHARLES CLEVENGER,ANDERSON,IN,46013,7656494122,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.0
SUN LIFE FAMILY HEALTH CENTER INC,MATTHEW BERTSCH,ORACLE,AZ,85623,5208580006,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.0
"SUN LIFE FAMILY HEALTH CENTER, INC.",MATTHEW BERTSCH,SAN MANUEL,AZ,85631,5203852236,A,Immediate Outreach,MFP Cash Flow,650,308100.0,94.0
O NEALS DRUG STORE OF SNOW HILL,WALTON ONEAL,AURORA,NC,27806,2523224168,A,Immediate Outreach,MFP Cash Flow,503,238416.0,94.0
MCDOWELLS PHARMACY INC.,THOMAS MCDOWELL,SCOTLAND NECK,NC,27874,2528264137,A,Immediate Outreach,MFP Cash Flow,503,238416.0,94.0
BESTCARE PHARMACY-MORA LLC,RANJITHA PALLAPOTHU,MORA,NM,87732,5753875703,A,Immediate Outreach,MFP Cash Flow,647,306672.0,93.9
ELLOREE PHARMACY LLC,VAN HIGH,ELLOREE,SC,29047,8038972131,A,Immediate Outreach,MFP Cash Flow,484,229416.0,93.9
EUTAWVILLE PHARMACY,SHERRY PARSONS,EUTAWVILLE,SC,29048,8034929201,A,Immediate Outreach,MFP Cash Flow,484,229416.0,93.9
SNAPP LEE INC.,KENT SNAPP,WEBER CITY,VA,24290,2763863482,A,Immediate Outreach,MFP Cash Flow,610,289140.0,93.9
BUNKIE GENERAL PHARMACY LLC,LATRICE WILLIAMS,BUNKIE,LA,71322,3183466681,A,Immediate Outreach,MFP Cash Flow,533,252648.0,93.7
