display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
NAPIER PHARMACY INC,KEVIN DUANE,JACKSONVILLE,FL,32208,9047653531,B,Nurture,DIR Fee Squeeze,249,118032.0,77.2
NORTH FLORIDA RURAL HEALTH CORP,WALTER KYLES,CHATTAHOOCHEE,FL,32324,8507599223,B,Nurture,DIR Fee Squeeze,249,118032.0,76.8
ALMENDARES PHARMACY,BETSY GONZALEZ,HIALEAH,FL,33012,3058210709,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
AMERICAN DOLLAR PHARMACY CORP,EDUARDO LEON,HIALEAH,FL,33012,3058700118,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
BELL PHARMACY,MARIA CORDERO,HIALEAH,FL,33012,3058218388,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"J & A PHARMACY, INC.",JULIO RODRIGUEZ,HIALEAH,FL,33012,3052313998,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"BELEN & BELEN PHARMACIES, INC.",EDUARDO BEGUIRISTAIN,HIALEAH,FL,33012,3058870284,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"BEST PHARMACY, LLC",MARIA HERNANDEZ,HIALEAH,FL,33012,7862378376,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"CLINICAL CARE PHARMACY, LLC",XAVIER ALARCON,HIALEAH,FL,33012,7864549852,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
EASY COMFORT INC,SAJI SAMUEL,HIALEAH,FL,33012,7864311660,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
FARMACIA 22-24 HIALEAH INC.,FRANCISCO ORTEGA,HIALEAH,FL,33012,3058882224,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
H E FARMACIA INC,HORACIO ESPINOSA,HIALEAH,FL,33012,3058887554,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
J AND A PHARMACY INC,ODALIS MORLANS DIAZ,HIALEAH,FL,33012,3052313998,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
JOSTHER MEDICAL SUPPLIES CORP,LUIS SOTO,HIALEAH,FL,33012,3053640830,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
LAS AMERICAS PARMACY CORP.,EDUARDO GEGUNDE,HIALEAH,FL,33012,3058283388,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"MARE, INC.",ANA CABRERA,HIALEAH,FL,33012,3058230915,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
MENDRO PHARMACY INC,ROBERTO MENDEZ,HIALEAH,FL,33012,3058284909,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
NEW WAY MEDICAL RENTAL CORP,CARLOS RODRIGUEZ,HIALEAH,FL,33012,3055128882,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
PALM PHARMACY & DISCOUNT STORE INC,LEO CUERVO,HIALEAH,FL,33012,3058222210,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
REAL HOLDING PHARMACY & DISCOUNT STORE INC,LEO CUERVO,HIALEAH,FL,33012,3055563117,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
TU SALUD PHARMACY INC,JASON ALONSO,HIALEAH,FL,33012,7863594283,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
YAI PHARMACY LLC,YAISEL QUINTANA SUAREZ,HIALEAH,FL,33012,3053645912,B,Nurture,DIR Fee Squeeze,244,115656.0,75.2
"BAYCARE URGENT CARE, LLC",LYNDA GORKEN,WINTER HAVEN,FL,33881,8632992420,B,Nurture,DIR Fee Squeeze,244,115656.0,75.0
BOBS PHARMACY & DIABETIC SUPPLIES,DANIELLE RODRIGUEZ,WINTER HAVEN,FL,33881,8632936084,B,Nurture,DIR Fee Squeeze,244,115656.0,75.0
C & C COMMUNITY PHARMACY INC,BRETT TAFT,ORLANDO,FL,32805,4072956201,B,Nurture,DIR Fee Squeeze,246,116604.0,74.9
