display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
INDIAN VILLAGE PHARMACY,IMAD AOUN,DETROIT,MI,48214,3133312000,A,Immediate Outreach,GLP-1 Loss,342,162108.0,87.9
TEAM CARES PHARMACY LLC,ZAHER BEYDOUN,DETROIT,MI,48214,3133337111,A,Immediate Outreach,GLP-1 Loss,342,162108.0,87.9
WRIGLEY'S RX PHARMACY LLC,NOUR TRAVIS,DETROIT,MI,48214,3132692444,A,Immediate Outreach,GLP-1 Loss,342,162108.0,87.9
ARK PHARMACY LLC,FATME DAHCHE,DETROIT,MI,48214,3134698112,A,Immediate Outreach,GLP-1 Loss,342,162108.0,87.9
JEFFERSON RX LLC,CANDICE TOLF,DETROIT,MI,48214,3139257890,A,Immediate Outreach,GLP-1 Loss,342,162108.0,87.9
BRIGGS PRESCRIPTION LABORATORY,RONALD BRIGGS,DETROIT,MI,48207,3139230312,A,Immediate Outreach,GLP-1 Loss,338,160212.0,87.0
DUNDEE FAMILY PHARMACY LLC,ALI ABDUL-HADI,DETROIT,MI,48207,3134624828,A,Immediate Outreach,GLP-1 Loss,338,160212.0,87.0
"GRAND GRATIOT PHARMACY, LLC",RIYESAH SAHOUBAH,DETROIT,MI,48207,2486633380,A,Immediate Outreach,GLP-1 Loss,338,160212.0,87.0
SONNY PHARMACY LLC,ALI ABDUL-HADI,DETROIT,MI,48207,3133562922,A,Immediate Outreach,GLP-1 Loss,338,160212.0,87.0
"UNIFIED PHARMACY, LLC",STEVE SCHEINOST,DETROIT,MI,48207,3135795502,A,Immediate Outreach,GLP-1 Loss,338,160212.0,87.0
"FM DRUGS, LLC.",MATTHEW KRAWCZAK,BALDWIN,MI,49304,2317454697,A,Immediate Outreach,DIR Fee Squeeze,337,159744.0,86.3
BALDWIN FAMILY HEALTH CARE,JULIE TATKO,BALDWIN,MI,49304,2317455024,A,Immediate Outreach,DIR Fee Squeeze,337,159744.0,86.3
HEALTH DELIVERY PHARMACY,DAVID GAMEZRNINA,SAGINAW,MI,48601,9897550316,A,Immediate Outreach,GLP-1 Loss,342,162108.0,86.0
UNITY RX PHARMACY LLC,GANESH PATEL,SAGINAW,MI,48601,9893551900,A,Immediate Outreach,GLP-1 Loss,342,162108.0,86.0
AMIGO LLC,AHMED SHARAF,DETROIT,MI,48204,3133311200,A,Immediate Outreach,GLP-1 Loss,338,160212.0,85.5
