display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
SRI SAI GANESH INC,RANJITH BOMPELLI,SALEM,NJ,08079,8569354800,C,Conditional,GLP-1 Loss,230,109020.0,68.6
SAKER SHOPRITES INC,PAUL FELLER,MANCHESTER,NJ,08759,7326570099,C,Conditional,GLP-1 Loss,231,109488.0,68.3
RAJSHIL LLC,ALOK PATEL,WHITING,NJ,08759,7323504535,C,Conditional,GLP-1 Loss,231,109488.0,68.3
CURE RX PHARMACY PC,SHARIF ELMENCHAWY,TOMS RIVER,NJ,08757,7328314094,C,Conditional,GLP-1 Loss,228,108072.0,67.8
SPINTRACH PHARMACY INC,PHILIP TRACHTENBERG,PENNSVILLE,NJ,08070,8566782122,C,Conditional,GLP-1 Loss,214,101436.0,65.4
ELEVATE USA CONSULTING INC,CHINTAN SHAH,ATLANTIC CITY,NJ,08401,6093458901,C,Conditional,GLP-1 Loss,238,112812.0,65.2
DEVDARSHAN INC,RAKESH KUNDALIA,ATLANTIC CITY,NJ,08401,6099576499,C,Conditional,GLP-1 Loss,238,112812.0,65.2
ZARA PHARMACEUTICAL CORP,ABAID CHEEMA,TRENTON,NJ,08608,6095713565,C,Conditional,GLP-1 Loss,233,110448.0,63.9
NATHJI PLUS INC,HIREN PATEL,WILLINGBORO,NJ,08046,6098777600,C,Conditional,GLP-1 Loss,228,108072.0,63.8
A-Z MEDICAL SYSTEMS INC,MOHAMMAD KHAN,PATERSON,NJ,07505,9739173175,C,Conditional,GLP-1 Loss,237,112344.0,63.7
KHADIJA MAHEEN PHARMACY INC,HUMAIRA SULEHRI,PATERSON,NJ,07505,9732470786,C,Conditional,GLP-1 Loss,237,112344.0,63.7
GCRX INC,GERALDINE OKWUONU,PATERSON,NJ,07505,7328534895,C,Conditional,GLP-1 Loss,237,112344.0,63.7
GRAND STREET PHARMACY LLC,RAMESH GAJJAR,PATERSON,NJ,07505,9733746480,C,Conditional,GLP-1 Loss,237,112344.0,63.7
AMERICAN RX LLC,ROSS WAGNER,MILLVILLE,NJ,08332,8565068556,C,Conditional,GLP-1 Loss,225,106656.0,63.4
PHARMACY OPERATIONS INC,DENA FERMAN,CAPE MAY COURT HOUSE,NJ,08210,6094630909,C,Conditional,GLP-1 Loss,212,100488.0,63.3
LIBERTY HEALTHCARE PHARMACY LLC,FURQAN MUHAMMAD,NEWARK,NJ,07114,9738242627,C,Conditional,GLP-1 Loss,229,108552.0,63.1
METRO PHARMACY II LLC,RAJESH PIPALIA,NEWARK,NJ,07114,9734240045,C,Conditional,GLP-1 Loss,229,108552.0,63.1
SAKER SHOPRITES INC,PAUL FELLER,WARETOWN,NJ,08758,6099716002,C,Conditional,GLP-1 Loss,207,98112.0,63.0
BARNEGAT PHARMACY LLC,JAY GRECO,BARNEGAT,NJ,08005,6096601111,C,Conditional,GLP-1 Loss,206,97644.0,62.7
