display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
"ALLSCRIPT PHARMACY,INC.",JOHN VINTI,BUFFALO,NY,14204,7168820196,B,Nurture,GLP-1 Loss,266,126084.0,79.1
HUQ GATEWAY PHARMACY INC,MUJJAHID HUQ,BROOKLYN,NY,11239,3475871771,B,Nurture,GLP-1 Loss,255,120864.0,76.1
GATEWAY CENTER PHARMACY LLC,OSAMA SWATI,BROOKLYN,NY,11239,3475871771,B,Nurture,GLP-1 Loss,255,120864.0,76.1
"FALLS PHARMACY, INC.",CYRUS ARDALAN,NIAGARA FALLS,NY,14301,7162156302,B,Nurture,GLP-1 Loss,256,121344.0,75.8
PHARMACY OPERATIONS OF NEW YORK INC,DENA FERMAN,NIAGARA FALLS,NY,14301,7162821112,B,Nurture,GLP-1 Loss,256,121344.0,75.8
"PHS NFM, LLC",JUSTIN WACLAWEK,NIAGARA FALLS,NY,14301,7165018623,B,Nurture,GLP-1 Loss,256,121344.0,75.8
QUALITY MARKETS PENN TRAFFIC CO THE,JAMES ERBA,WESTFIELD,NY,14787,7163265959,B,Nurture,GLP-1 Loss,250,118500.0,74.5
119 EINSTEIN PHARMACY INC.,MERCEDES VARGAS,BRONX,NY,10475,7183794850,B,Nurture,GLP-1 Loss,251,118968.0,74.3
DREISER MALL PHARMACY LLC,IBRAR NADEEM,BRONX,NY,10475,3478998199,B,Nurture,GLP-1 Loss,251,118968.0,74.3
KING COMMUNITY PHARMACY INC.,SUMBAL ASIF,BRONX,NY,10475,3478998020,B,Nurture,GLP-1 Loss,251,118968.0,74.3
LITTLE GELT PHARMACY,JOSEPH EVANS,BRONX,NY,10475,7186716410,B,Nurture,GLP-1 Loss,251,118968.0,74.3
MORRIS WELLNESS OASIS,RONAIRE MORRIS,BRONX,NY,10475,9178862163,B,Nurture,GLP-1 Loss,251,118968.0,74.3
PENN TRAFFIC COMPANY THE,JAMES ERBA,MASSENA,NY,13662,3157690065,B,Nurture,GLP-1 Loss,249,118032.0,73.6
"THE CHAUTAUQUA CENTER, INC",MICHAEL PEASE,DUNKIRK,NY,14048,7163636050,B,Nurture,GLP-1 Loss,251,118968.0,73.3
BALAJI PHARMACY INC,MOHAN TALAMATI,BROOKLYN,NY,11224,7189969000,B,Nurture,GLP-1 Loss,239,113280.0,72.6
BAY PARK PHARMACY CORP.,ARNIE BOLSHENG,BROOKLYN,NY,11224,7183722700,B,Nurture,GLP-1 Loss,239,113280.0,72.6
BAY PARK PHARMACY CORP.,ARIE BOLSHEM,BROOKLYN,NY,11224,7183722700,B,Nurture,GLP-1 Loss,239,113280.0,72.6
GREEN LEAF PHARMACY INC,VERANIKA SPETALIUN,BROOKLYN,NY,11224,7182666111,B,Nurture,GLP-1 Loss,239,113280.0,72.6
HEALTHCARE DRUGS INC,MOHAN TALAMATI,BROOKLYN,NY,11224,7189969900,B,Nurture,GLP-1 Loss,239,113280.0,72.6
J & R PHARMACY INC,THAI KAII,BROOKLYN,NY,11224,7182666286,B,Nurture,GLP-1 Loss,239,113280.0,72.6
LUNA PARK PHARMACY INC,MIKHAIL FAZYLOV,BROOKLYN,NY,11224,7189465444,B,Nurture,GLP-1 Loss,239,113280.0,72.6
SURF PHARMACY CORP,USMAN RANA,BROOKLYN,NY,11224,7183732300,B,Nurture,GLP-1 Loss,239,113280.0,72.6
1325 FIFTH AVE DRUGS INC,MUHAMMAD SIDDIQUE,BROOKLYN,NY,11224,7189964949,B,Nurture,GLP-1 Loss,239,113280.0,72.6
AXIUM SPECIALTY RX INC,BORIS ISKHAKOV,BROOKLYN,NY,11224,7183935590,B,Nurture,GLP-1 Loss,239,113280.0,72.6
BALAJI II PHARMACY INC,PRAVEEN APPANA,BROOKLYN,NY,11224,7189969000,B,Nurture,GLP-1 Loss,239,113280.0,72.6
BRANAC NY LLC,ERICA MOISEYEV,BROOKLYN,NY,11224,7183332525,B,Nurture,GLP-1 Loss,239,113280.0,72.6
FULL CARE PHARMACY INC,ROLSON ABRAHAM,BROOKLYN,NY,11224,7183725300,B,Nurture,GLP-1 Loss,239,113280.0,72.6
ARISTACARE HEALTH INC,JAYNE JUSTICE,SYRACUSE,NY,13224,3153628300,C,Nurture,GLP-1 Loss,238,112812.0,71.3
CORAM HEALTHCARE CORPORATION OF NEW YORK,"VITO PONZIO, JR.",SYRACUSE,NY,13224,3154258028,C,Nurture,GLP-1 Loss,238,112812.0,71.3
CAMDEN DRUGS INC,PRADIP SHAH,CAMDEN,NY,13316,3152451410,C,Nurture,GLP-1 Loss,231,109488.0,71.2
143 PHARMACY INC,YAN XING LIN,FLUSHING,NY,11355,3475060066,C,Nurture,GLP-1 Loss,241,114240.0,71.2
99 CARE PHARMACY INC.,JUSTIN BRZEZINSKI,FLUSHING,NY,11355,7186663101,C,Nurture,GLP-1 Loss,241,114240.0,71.2
AMERICAN HEALTH PHARMACY INC.,LI HUANG,FLUSHING,NY,11355,9293290210,C,Nurture,GLP-1 Loss,241,114240.0,71.2
BOWNE PHARMACY INC.,XINYU LI,FLUSHING,NY,11355,7184069988,C,Nurture,GLP-1 Loss,241,114240.0,71.2
