display_name,owner_name,city,state,zip,phone,grade,outreach_priority,segment,est_monthly_glp1_fills,est_annual_loss,final_score
"LOST AND FOUND PHARMACY, INC.",SEAN PARSONS,VERONA,PA,15147,4122431369,C,Nurture,MFP Cash Flow,513,243168.0,70.1
ACCREDO HEALTH GROUP INC,VIC PERINI,WARRENDALE,PA,15086,7247726000,C,Nurture,MFP Cash Flow,513,243168.0,70.1
TERMED OF BERKS COUNTY INC,TERRY HUDON,BARTO,PA,19504,6108458777,C,Nurture,MFP Cash Flow,513,243168.0,70.1
GEORGE M. DOPERAK,GEORGE DOPERAK,TURTLE CREEK,PA,15145,4128249920,C,Nurture,MFP Cash Flow,513,243168.0,70.1
TWINSRX LLC,DAVID TYLAVSKY,TURTLE CREEK,PA,15145,4126462619,C,Nurture,MFP Cash Flow,513,243168.0,70.1
JOSEPH DI MATTEO INC,JOSEPH DIMATTEO,OAKMONT,PA,15139,4128269500,C,Conditional,MFP Cash Flow,513,243168.0,69.9
TERMED OF BERKS COUNTY INC,EDMOND HUDON,BOYERTOWN,PA,19512,6103693888,C,Conditional,MFP Cash Flow,513,243168.0,69.9
PLEASANT HILLS RX LLC,LINETTE EVANCIC,CLAIRTON,PA,15025,4126537566,C,Conditional,MFP Cash Flow,513,243168.0,69.8
SPARTAN PHARMACY INC,ADAM RICE,BETHEL PARK,PA,15102,4128311333,C,Conditional,MFP Cash Flow,513,243168.0,69.8
HIMRAJ BROS LLC,HARRY PATEL,CLAIRTON,PA,15025,4122333303,C,Conditional,MFP Cash Flow,513,243168.0,69.8
PLEASANT HILLS APOTHECARY,KEVIN EVANCIC,CLAIRTON,PA,15025,4126537566,C,Conditional,MFP Cash Flow,513,243168.0,69.8
"FAYETTE FOODS, LLC",LIZ HOSKINS,BRIDGEVILLE,PA,15017,4129140752,C,Conditional,MFP Cash Flow,513,243168.0,69.7
"N.H. MEDICAL, INC",ROBERT INGOLDSBY,NATRONA HEIGHTS,PA,15065,7242247111,C,Conditional,MFP Cash Flow,513,243168.0,69.6
RICHLAND PHARMACY INC.,DAVID SONES,GIBSONIA,PA,15044,7244433770,C,Conditional,MFP Cash Flow,513,243168.0,69.5
VALLEY MEDICAL FACILITIES INC,AMANDA CARNA,SEWICKLEY,PA,15143,4127497329,C,Conditional,MFP Cash Flow,513,243168.0,69.4
"HYNDMAN AREA HEALTH CENTER, INC",BRIAN STRATTA,BEDFORD,PA,15522,8142635804,C,Conditional,MFP Cash Flow,513,243168.0,69.3
"LEM4, LTD",JENNIFER LEIBFREID,BEDFORD,PA,15522,8146235512,C,Conditional,MFP Cash Flow,513,243168.0,69.3
EVERETT PHARMACY INC.,STEPHEN MCCAHAN,EVERETT,PA,15537,8146525532,C,Conditional,MFP Cash Flow,513,243168.0,69.3
RUBYS PHARMACY INC,TYLER RUBY,SAXTON,PA,16678,8146357488,C,Conditional,MFP Cash Flow,513,243168.0,69.3
PILLWORKS INCORPORATED,DENA FERMAN,CARNEGIE,PA,15106,4122793361,C,Conditional,MFP Cash Flow,513,243168.0,69.3
CCN AMERICA LP,THOMAS POLLACK,PITTSBURGH,PA,15235,4123496337,C,Conditional,MFP Cash Flow,513,243168.0,69.2
JOSEPH DI MATTEO INC,DIANE SILVERMAN,PENN HILLS,PA,15235,4127989800,C,Conditional,MFP Cash Flow,513,243168.0,69.2
"PROCARE PHARMACY DIRECT, LLC.",BRANDON AYCOCK,MONROEVILLE,PA,15146,8002387828,C,Conditional,MFP Cash Flow,513,243168.0,68.9
UPMC COMMUNITY PROVIDER SERVICES,ERIC BIELICH,MONROEVILLE,PA,15146,4123577474,C,Conditional,MFP Cash Flow,513,243168.0,68.9
ADZEMA PHARMACY,ROBERT ADZEMA,PITTSBURGH,PA,15237,4123647000,C,Conditional,MFP Cash Flow,513,243168.0,68.9
BRAHMA LLC,SHEFALI SHAH,PITTSBURGH,PA,15237,4128373701,C,Conditional,MFP Cash Flow,513,243168.0,68.9
UPMC COMMUNITY PROVIDER SERVICES,ERIC BIELICH,PITTSBURGH,PA,15237,4127484610,C,Conditional,MFP Cash Flow,513,243168.0,68.9
STEEL TOWN PHARMACY INC,UTTAM SHELADIYA,PITTSBURGH,PA,15236,4127975239,C,Conditional,MFP Cash Flow,513,243168.0,68.9
CAMILLA HALL PHARMACY,SISTER JEANNE CROWE,IMMACULATA,PA,19345,6106441152,C,Conditional,MFP Cash Flow,513,243168.0,68.8
XAVIER WILLIAMS CORPORATION,FRANCIS STRAUB,EMPORIUM,PA,15834,8144861191,C,Conditional,MFP Cash Flow,513,243168.0,68.8
COMMUNITY DRUG,DAVID HAIRHOGER,PITTSBURGH,PA,15207,4124214104,C,Conditional,GLP-1 Loss,513,243168.0,68.6
COMMUNITY DRUG COMPOUNDING CTR,DAVID HAIRHOGER,PITTSBURGH,PA,15207,4124214996,C,Conditional,GLP-1 Loss,513,243168.0,68.6
PRIMARY CARE PHARMACY SERVICES INC,ANTHONY BENTOLA,WEST MIFFLIN,PA,15122,4126556445,C,Conditional,GLP-1 Loss,513,243168.0,68.5
"ABSOLUTECARE PHARMACY OF PITTSBURGH, LLC",GREGORY FOTI,PITTSBURGH,PA,15208,4155169000,C,Conditional,GLP-1 Loss,513,243168.0,68.4
