npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1316952013,ANCHORAGE NEIGHBORHOOD HEALTH,STEPHEN WOODARD,ANCHORAGE,AK,99503,9077437203,ANCHORAGE NEIGHBORHOOD HEALTH,9077437203,True,True,"Pharmacy, Community/Retail Pharmacy",10.8,37.5,11.0,76888,12944,1,20,930.3,1080805.0
1346261476,ANCHORAGE MEDSET PHARMACY INC,LARRY FLYNN,ANCHORAGE,AK,99503,9077706081,ANCHORAGE MEDSET PHARMACY INC,9077706081,True,True,"Pharmacy, Community/Retail Pharmacy",10.8,37.5,11.0,76888,12944,1,20,930.3,1080805.0
1629089255,PRESCRIPTION LABORATORIES LLC,ROBERT NIEBERT,ANCHORAGE,AK,99503,9072772422,PRESCRIPTION LABORATORIES LLC,9072772422,True,True,"Pharmacy, Community/Retail Pharmacy",10.8,37.5,11.0,76888,12944,1,20,930.3,1080805.0
1740005792,"SUNSHINE COMMUNITY HEALTH CENTER, INC.",AMANDA SIMPSON,WILLOW,AK,99688,9077332273,"SUNSHINE COMMUNITY HEALTH CENTER, INC.",9077332273,True,True,"Pharmacy, Community/Retail Pharmacy",13.1,39.2,22.6,67907,2542,1,18,930.3,1080805.0
1821812876,"SUNSHINE COMMUNITY HEALTH CENTER, INC.",AMANDA SIMPSON,TALKEETNA,AK,99676,9077332273,"SUNSHINE COMMUNITY HEALTH CENTER, INC.",9077332273,True,True,"Pharmacy, Community/Retail Pharmacy",12.6,40.6,14.8,62000,1754,1,18,930.3,1080805.0
1881776664,ISLAND PHARMACY INC,BRUCE CHRISTENSEN,KETCHIKAN,AK,99901,9072256186,ISLAND PHARMACY INC,9072256186,True,True,Pharmacy,10.1,38.4,17.3,89155,13875,1,18,930.3,1080805.0
1215080502,DOWNTOWN DRUGSTORE,VASSA ROBERTSON,KETCHIKAN,AK,99901,9072253144,DOWNTOWN DRUGSTORE,9072253144,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,38.4,17.3,89155,13875,1,18,930.3,1080805.0
1346679875,"THREE BEARS ALASKA, INC",PAUL SONNENBERG,WASILLA,AK,99623,9073764511,"THREE BEARS ALASKA, INC",9073764511,True,True,"Pharmacy, Community/Retail Pharmacy",9.2,39.0,11.2,87606,22786,1,18,930.3,1080805.0
1538610050,"PHARMACY PARTNERS, LLC",KRISTIN MARTIN,WASILLA,AK,99654,9073765700,"PHARMACY PARTNERS, LLC",9073765700,True,True,"Pharmacy, Community/Retail Pharmacy",8.7,37.4,12.5,93739,44420,1,18,930.3,1080805.0
1376757310,THREE BEARS ALASKA INC.,PAUL SONNENBERG,PALMER,AK,99645,9077463891,THREE BEARS ALASKA INC.,9077463891,True,True,Pharmacy,8.6,36.5,13.6,97069,31494,1,18,930.3,1080805.0
