npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1295091197,DRAKE-HOGAN PHARMACY LLC,JONATHAN DUNNING,BIRMINGHAM,AL,35234,2054539096,DRAKE-HOGAN PHARMACY LLC,2054539096,True,True,"Pharmacy, Community/Retail Pharmacy",28.3,51.0,22.6,23804,3828,1,24,457.0,562239.0
1891871547,YORK PHARMACY,BEN YORK,BIRMINGHAM,AL,35207,2052511229,YORK PHARMACY,2052511229,True,True,"Pharmacy, Community/Retail Pharmacy",28.1,50.5,25.6,28672,6824,1,24,457.0,562239.0
1639710395,ALABAMA REGIONAL MEDICAL SERVICES,ANTHONY GARDNER,BIRMINGHAM,AL,35207,2054075600,ALABAMA REGIONAL MEDICAL SERVICES,2054075600,True,True,"Pharmacy, Community/Retail Pharmacy",28.1,50.5,25.6,28672,6824,1,24,457.0,562239.0
1083766380,YORK ENTERPRISES INC,BEN YORK,BIRMINGHAM,AL,35207,2052511229,YORK ENTERPRISES INC,2052511229,True,True,"Pharmacy, Community/Retail Pharmacy",28.1,50.5,25.6,28672,6824,1,24,457.0,562239.0
1093866030,GILMER DRUG COMPANY INC.,TARA RATCLIFF,BIRMINGHAM,AL,35218,2057874671,GILMER DRUG COMPANY INC.,2057874671,True,True,"Pharmacy, Community/Retail Pharmacy",26.0,50.1,13.5,30966,6628,1,24,457.0,562239.0
1952489460,MOORES PHARMACY LLC,REGINALD MOORE,BIRMINGHAM,AL,35208,2057854223,MOORES PHARMACY LLC,2057854223,True,True,"Pharmacy, Community/Retail Pharmacy",24.4,47.8,23.6,37363,13660,1,24,457.0,562239.0
1184635716,WESTLAKE PHARMACY,ALAN CONNELL,BESSEMER,AL,35020,2054269919,WESTLAKE PHARMACY,2054269919,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1417372046,HEAVENLY CARE PHARMACY LLC,SANTONIA DAVISON,BESSEMER,AL,35020,2054341427,HEAVENLY CARE PHARMACY LLC,2054341427,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1942455779,"HOMETOWN PHARMACY SERVICES, LLC",TIMOTHY MULLINS,BESSEMER,AL,35020,2054261922,"HOMETOWN PHARMACY SERVICES, LLC",2054261922,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1225476195,4TH AVENUE DRUGS,PAUL DEICHMANN,BESSEMER,AL,35020,2058348505,4TH AVENUE DRUGS,2058348505,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1942315130,"BRUNO'S SUPERMARKETS, LLC.",CURTIS HARTIN,BESSEMER,AL,35020,2054265671,"BRUNO'S SUPERMARKETS, LLC.",2054265671,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1801905633,JOSEPH SANTORO,JOE SANTORO,BESSEMER,AL,35020,2054261221,JOSEPH SANTORO,2054261221,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
1497864037,LEMOX-CLOVERDALE DRUGS INC,ALVIN KEARLEY,BESSEMER,AL,35020,2054284146,LEMOX-CLOVERDALE DRUGS INC,2054284146,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,47.3,19.5,33247,25308,1,24,457.0,562239.0
