npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1326408444,BANNER PHARMACY SERVICES LLC,DENNIS LARAWAY,SUN CITY,AZ,85351,6234656090,BANNER PHARMACY SERVICES LLC,6234656090,True,True,"Pharmacy, Community/Retail Pharmacy",19.4,28.5,76.2,50812,27562,1,21,877.9,1165330.0
1912426529,BANNER PHARMACY SERVICES LLC,DENNIS LARAWAY,SUN CITY,AZ,85351,6027472338,BANNER PHARMACY SERVICES LLC,6027472338,True,True,"Pharmacy, Community/Retail Pharmacy",19.4,28.5,76.2,50812,27562,1,21,877.9,1165330.0
1679111074,FAMILY PHARMACY INC,LOUY AL ATTEELI,SUN CITY,AZ,85351,6239743555,FAMILY PHARMACY INC,6239743555,True,True,"Pharmacy, Community/Retail Pharmacy",19.4,28.5,76.2,50812,27562,1,21,877.9,1165330.0
1629484258,RIGHTWAY PHARMACY LLC,KANDARP PATEL,SUN CITY,AZ,85351,6232660021,RIGHTWAY PHARMACY LLC,6232660021,True,True,"Pharmacy, Community/Retail Pharmacy",19.4,28.5,76.2,50812,27562,1,21,877.9,1165330.0
1528678000,SUN LIFE FAMILY HEALTH CENTER INC,MATTHEW BERTSCH,ORACLE,AZ,85623,5208580006,SUN LIFE FAMILY HEALTH CENTER INC,5208580006,True,True,"Pharmacy, Community/Retail Pharmacy",18.4,38.3,53.4,68219,5235,1,21,877.9,1165330.0
1851457295,"SUN LIFE FAMILY HEALTH CENTER, INC.",MATTHEW BERTSCH,SAN MANUEL,AZ,85631,5203852236,"SUN LIFE FAMILY HEALTH CENTER, INC.",5203852236,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,42.0,27.7,47969,3283,1,21,877.9,1165330.0
1093270035,EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER INC,ELVA GONZALEZ,TUCSON,AZ,85714,5203094585,EL RIO SANTA CRUZ NEIGHBORHOOD HEALTH CENTER INC,5203094585,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,38.6,15.7,47093,14286,1,21,877.9,1165330.0
1821482936,BANNER PHARMACY SERVICES LLC,DENNIS LARAWAY,SUN CITY WEST,AZ,85375,6235246550,BANNER PHARMACY SERVICES LLC,6235246550,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,24.9,85.2,63977,27185,1,21,877.9,1165330.0
1083081343,"PHARMBLUE ARIZONA, LLC",JOSEPH POHL III,GREEN VALLEY,AZ,85614,7247794720,"PHARMBLUE ARIZONA, LLC",7247794720,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,27.2,67.7,62599,24696,1,21,877.9,1165330.0
1811048895,BANNER PHARMACY SERVICES LLC,DENNIS LARAWAY,TUCSON,AZ,85713,5208744062,BANNER PHARMACY SERVICES LLC,5208744062,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.6,17.7,50264,45615,1,21,877.9,1165330.0
