npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1316575467,CLINICA SIERRA VISTA,OLGA MEAVE,FRESNO,CA,93706,5595407860,CLINICA SIERRA VISTA,5595407860,True,True,"Pharmacy, Community/Retail Pharmacy",18.0,44.9,11.7,40023,40635,1,24,762.9,914252.0
1396754891,RENGE PHARMACY,MELVIN RENGE,FRESNO,CA,93706,5592642808,RENGE PHARMACY,5592642808,True,True,"Pharmacy, Community/Retail Pharmacy",18.0,44.9,11.7,40023,40635,1,24,762.9,914252.0
1770679672,SHARMKEE INC,DOUGLAS WILCOX,FRESNO,CA,93706,5592642965,SHARMKEE INC,5592642965,True,True,"Pharmacy, Community/Retail Pharmacy",18.0,44.9,11.7,40023,40635,1,24,762.9,914252.0
1447829296,WEST SIDE DRUG CO A CORP,RONALD LOUIE,FIREBAUGH,CA,93622,5596592159,WEST SIDE DRUG CO A CORP,5596592159,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,45.6,12.4,46510,9683,1,24,762.9,914252.0
1780795377,WEST SIDE DRUG CO A CORP,JEFF LOUIE,FIREBAUGH,CA,93622,5596592159,WEST SIDE DRUG CO A CORP,5596592159,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,45.6,12.4,46510,9683,1,24,762.9,914252.0
1154490878,GREATER FRESNO DEVELOPMENT CORP.,JAMES WINTON,FRESNO,CA,93702,5592553071,GREATER FRESNO DEVELOPMENT CORP.,5592553071,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,43.3,9.4,44849,45241,1,24,762.9,914252.0
1396394839,VALLEY HEALTH TEAM INC,SOYLA REYNA-GRIFFIN,SAN JOAQUIN,CA,93660,5592036675,VALLEY HEALTH TEAM INC,5592036675,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,45.5,5.1,54318,4062,1,24,762.9,914252.0
1710087887,"IMGRX SJ VALLEY, INC.",MICHAEL BROWN,HURON,CA,93234,5599452541,"IMGRX SJ VALLEY, INC.",5599452541,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,45.4,3.2,44353,6477,1,24,762.9,914252.0
1467088773,"IMGRX SJ VALLEY, INC.",MICHAEL BROWN,HURON,CA,93234,0049242278,"IMGRX SJ VALLEY, INC.",0049242278,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,45.4,3.2,44353,6477,1,24,762.9,914252.0
1013674944,AGH CARE INC,HAROUTUN POGOSYAN,FRESNO,CA,93703,5599160346,AGH CARE INC,5599160346,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.5,10.5,43236,34166,1,24,762.9,914252.0
1649302803,BUKER COLSON MEDICINE CHEST,JACK RUSTIGAN,FRESNO,CA,93703,5592374171,BUKER COLSON MEDICINE CHEST,5592374171,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.5,10.5,43236,34166,1,24,762.9,914252.0
1184659963,CEDAR DRUGS,WILLIAM ST. LOUIS,FRESNO,CA,93703,5592660601,CEDAR DRUGS,5592660601,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.5,10.5,43236,34166,1,24,762.9,914252.0
1164421988,SON D NGUYEN & DUNG N LE,SON NGUYEN,FRESNO,CA,93703,5592245210,SON D NGUYEN & DUNG N LE,5592245210,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.5,10.5,43236,34166,1,24,762.9,914252.0
1598911364,VVG-RX,GREGORY ERITZIAN,FRESNO,CA,93703,5592277726,VVG-RX,5592277726,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.5,10.5,43236,34166,1,24,762.9,914252.0
1487869376,FOX DRUG STORE INC,LUNNY JUNG,PARLIER,CA,93648,5596468888,FOX DRUG STORE INC,5596468888,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,44.6,8.6,51834,15108,1,24,762.9,914252.0
1013024132,"IMGRX SJ VALLEY, INC.",MICHAEL BROWN,PARLIER,CA,93648,5596463561,"IMGRX SJ VALLEY, INC.",5596463561,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,44.6,8.6,51834,15108,1,24,762.9,914252.0
1871695130,"IMGRX SJ VALLEY, INC.",MICHAEL BROWN,MENDOTA,CA,93640,5596555000,"IMGRX SJ VALLEY, INC.",5596555000,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,46.2,7.1,46042,14507,1,24,762.9,914252.0
1609462597,MENDOTA PHARMACY INC,FADHL ALI,MENDOTA,CA,93640,5593822080,MENDOTA PHARMACY INC,5593822080,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,46.2,7.1,46042,14507,1,24,762.9,914252.0
1073677050,COMMUNITY CENTER PHARMACY,RICHARD HAGOPIAN,FRESNO,CA,93701,5594596245,COMMUNITY CENTER PHARMACY,5594596245,True,True,"Pharmacy, Community/Retail Pharmacy",15.6,44.2,8.2,32192,10258,1,24,762.9,914252.0
