npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1518071588,ALAMOSA PHARMACY INC,POLITO MARTINEZ,ALAMOSA,CO,81101,7195891766,ALAMOSA PHARMACY INC,7195891766,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,31.1,14.4,50020,15454,1,23,735.3,970000.0
1598539785,LYON S CORNER DRUG LLC,JOSHUA JONES,STEAMBOAT SPRINGS,CO,80487,9708791114,LYON S CORNER DRUG LLC,9708791114,True,True,"Pharmacy, Community/Retail Pharmacy",7.8,23.6,18.6,106837,18378,1,22,735.3,970000.0
1033763818,COMMUNITY CLINICS AT MEMORIAL REGIONAL HEALTH,KYLE MILLER,STEAMBOAT SPRINGS,CO,80487,9708268440,COMMUNITY CLINICS AT MEMORIAL REGIONAL HEALTH,9708268440,True,True,"Pharmacy, Community/Retail Pharmacy",7.8,23.6,18.6,106837,18378,1,22,735.3,970000.0
1871136986,JAY'S ROADHOUSE AND PHARMACY LLC,MATTHEW JOHNSON,STEAMBOAT SPRINGS,CO,80487,9708791114,JAY'S ROADHOUSE AND PHARMACY LLC,9708791114,True,True,"Pharmacy, Community/Retail Pharmacy",7.8,23.6,18.6,106837,18378,1,22,735.3,970000.0
1700968641,"BONFIGLIO DRUG, INC",DAVID BONFIGLIO,OAK CREEK,CO,80467,9707362377,"BONFIGLIO DRUG, INC",9707362377,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,23.3,16.4,101300,2411,1,22,735.3,970000.0
1144241191,CATHOLIC HEALTH INITIATIVES COLORADO,MYO AUNG,PUEBLO,CO,81004,7195575676,CATHOLIC HEALTH INITIATIVES COLORADO,7195575676,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,35.5,16.8,48620,26362,1,21,735.3,970000.0
1942365002,JB PHARMACY INC,JEANETTE BURNS,PUEBLO,CO,81004,7195451811,JB PHARMACY INC,7195451811,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,35.5,16.8,48620,26362,1,21,735.3,970000.0
1801818398,PUEBLO COMMUNITY HEALTH CENTER INC,JUSTIN MCCARTHY,PUEBLO,CO,81004,7195438718,PUEBLO COMMUNITY HEALTH CENTER INC,7195438718,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,35.5,16.8,48620,26362,1,21,735.3,970000.0
1902945587,BROADWAY PHARMACY INC.,ERIC YOXEY,PUEBLO,CO,81004,7195450430,BROADWAY PHARMACY INC.,7195450430,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,35.5,16.8,48620,26362,1,21,735.3,970000.0
1790730737,PUEBLO COMMUNITY HEALTH CENTER INC,JUSTIN MCCARTHY,PUEBLO,CO,81001,7194760220,PUEBLO COMMUNITY HEALTH CENTER INC,7194760220,True,True,"Pharmacy, Community/Retail Pharmacy",13.7,34.1,18.2,47086,31448,1,21,735.3,970000.0
1609984194,BLENDE DRUG INC,JOHN CERNAC,PUEBLO,CO,81006,7195422477,BLENDE DRUG INC,7195422477,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,32.1,21.9,68915,11153,1,21,735.3,970000.0
1598759185,R & R FAMILY PHARMACY LLC,DENISE ROBINS,SPRINGFIELD,CO,81073,7195236201,R & R FAMILY PHARMACY LLC,7195236201,True,True,"Pharmacy, Community/Retail Pharmacy",13.3,29.6,21.5,43021,1880,1,21,735.3,970000.0
1972694990,PRESCRIPTION SHOP LLC,JAMES SAJBEL,PUEBLO,CO,81005,7195640220,PRESCRIPTION SHOP LLC,7195640220,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,30.4,23.3,67500,31104,1,21,735.3,970000.0
1467672808,"RXPLUS LIMITED COLORADO CITY, LLC",VICKILEE EINHELLIG,COLORADO CITY,CO,81019,7196763333,"RXPLUS LIMITED COLORADO CITY, LLC",7196763333,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,30.3,39.8,41625,1418,1,21,735.3,970000.0
1134820640,STRENGTH GIVER PHARMACY LLC,ROBERT GEBHARDS,PUEBLO,CO,81008,7197619447,STRENGTH GIVER PHARMACY LLC,7197619447,True,True,"Pharmacy, Community/Retail Pharmacy",11.6,30.3,20.1,68389,11728,1,21,735.3,970000.0
1770114407,"FOUR CORNERS PHARMACY, LLC",SOPHIA BOJORQUEZ,DURANGO,CO,81303,9702471434,"FOUR CORNERS PHARMACY, LLC",9702471434,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,21.4,19.2,94565,9696,1,21,735.3,970000.0
1275309510,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",SHELLY BURKE,DURANGO,CO,81301,9703352308,"SOUTHWEST COLORADO MENTAL HEALTH CENTER, INC",9703352308,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,20.3,20.0,83209,29892,1,21,735.3,970000.0
1922520741,CATHOLIC HEALTH INIATIVES COLORADO,JOHN TURTLE,DURANGO,CO,81301,9707641745,CATHOLIC HEALTH INIATIVES COLORADO,9707641745,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,20.3,20.0,83209,29892,1,21,735.3,970000.0
1982769030,"HEALTHY DRUGSTORE, INC",DEBBIE NOCITA,DURANGO,CO,81301,9703757711,"HEALTHY DRUGSTORE, INC",9703757711,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,20.3,20.0,83209,29892,1,21,735.3,970000.0
1417140161,"HEALTHY DRUGSTORE, INC",DEBBIE NOCITA,DURANGO,CO,81301,6263556474,"HEALTHY DRUGSTORE, INC",6263556474,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,20.3,20.0,83209,29892,1,21,735.3,970000.0
1750035440,"SUMMIT COMMUNITY CARE CLINIC, INC.",JOSH COGDILL,FRISCO,CO,80443,9704863110,"SUMMIT COMMUNITY CARE CLINIC, INC.",9704863110,True,True,"Pharmacy, Community/Retail Pharmacy",6.7,22.6,23.5,112179,3941,1,21,735.3,970000.0
