npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1902617251,PHARMACY EXPRESS,FATIHA FDIL,WATERBURY,CT,06702,6466013841,PHARMACY EXPRESS,6466013841,True,True,"Pharmacy, Community/Retail Pharmacy",25.4,48.5,28.9,16198,3117,1,13,1075.0,1387126.0
1487898060,WATERBURY PHARMACY LLC,PRAVEEN DHULIPALLA,WATERBURY,CT,06702,2037572000,WATERBURY PHARMACY LLC,2037572000,True,True,"Pharmacy, Community/Retail Pharmacy",25.4,48.5,28.9,16198,3117,1,13,1075.0,1387126.0
1861046658,HARTCARE LLC,VIJAYA KOLLU,HARTFORD,CT,06114,8602638585,HARTCARE LLC,8602638585,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,40.8,10.1,47905,25283,1,13,1075.0,1387126.0
1275070872,MAPLE PHARMACY LLC,SHARON MASAYDA,HARTFORD,CT,06114,8609694400,MAPLE PHARMACY LLC,8609694400,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,40.8,10.1,47905,25283,1,13,1075.0,1387126.0
1174069413,HEALTHCARE LLC,REKHA BHEEMIREDDY,HARTFORD,CT,06114,8602638585,HEALTHCARE LLC,8602638585,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,40.8,10.1,47905,25283,1,13,1075.0,1387126.0
1154569481,COLUMBUS CHEMISTS LLC,CHANDRA VIPPARLA,NEW HAVEN,CT,06519,2035624447,COLUMBUS CHEMISTS LLC,2035624447,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,44.3,12.3,44394,15426,1,13,1075.0,1387126.0
1518172451,CORNELL SCOTT-HILL HEALTH CORPORATION,CATHERINE SHARAFANOWICH,NEW HAVEN,CT,06519,2035033021,CORNELL SCOTT-HILL HEALTH CORPORATION,2035033021,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,44.3,12.3,44394,15426,1,13,1075.0,1387126.0
1750423471,CORNELL SCOTT HILL HEALTH CORPORATION,CATHERINE SHARAFANOWICH,NEW HAVEN,CT,06519,2035033021,CORNELL SCOTT HILL HEALTH CORPORATION,2035033021,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,44.3,12.3,44394,15426,1,13,1075.0,1387126.0
1811418940,KURE RX INC,ANTHONY AJEGBA,HARTFORD,CT,06112,8602063890,KURE RX INC,8602063890,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,42.7,12.2,47010,21918,1,13,1075.0,1387126.0
1821846734,"D2RX, LLC",TODD DEGROFF,NEW BRITAIN,CT,06051,8603563270,"D2RX, LLC",8603563270,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,40.7,14.4,48682,29421,1,13,1075.0,1387126.0
