npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1750427233,MATRIX CORPORATION,TOMI AKINYOYENU,WASHINGTON,DC,20019,2023881900,MATRIX CORPORATION,2023881900,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1447319504,SEAT PLEASANT DRUGS INC,VERONICA BANWO,WASHINGTON,DC,20019,2023963400,SEAT PLEASANT DRUGS INC,2023963400,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1780120774,UNITY HEALTH CARE INC,JOEL WRIGHT,WASHINGTON,DC,20019,2027415611,UNITY HEALTH CARE INC,2027415611,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1417440843,UNITY HEALTH CARE INC,CLAY KEENE,WASHINGTON,DC,20019,2027415611,UNITY HEALTH CARE INC,2027415611,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1922576008,"UNITY HEALTH CARE, INC.",JOEL WRIGHT,WASHINGTON,DC,20019,2027412145,"UNITY HEALTH CARE, INC.",2027412145,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1144869736,VELIMA PHARMACY,SYLVANUS IFEAMAZI,WASHINGTON,DC,20019,2025061081,VELIMA PHARMACY,2025061081,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1053661801,"CAREMERICA AT DC, LLC",REDDY ANNAPPAREDDY,WASHINGTON,DC,20019,2023964500,"CAREMERICA AT DC, LLC",2023964500,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1295137354,RELIANCE PHARMACY,YAW MENYAH,WASHINGTON,DC,20019,2023982800,RELIANCE PHARMACY,2023982800,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,34.6,13.0,57031,64365,1,22,578.8,697285.0
1679157432,HEALING TOUCH 2 LLC,DEEPAK KAPUR,WASHINGTON,DC,20020,2025061886,HEALING TOUCH 2 LLC,2025061886,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1346014412,UNITY HEALTH CARE INC.,JOEL WRIGHT,WASHINGTON,DC,20020,8443706200,UNITY HEALTH CARE INC.,8443706200,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1205961489,STATE PHARMACY,MARIE BIBUM,SE WASHINGTON,DC,20020,2026102100,STATE PHARMACY,2026102100,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1720865322,DAILY CARE PHARMACY 2,ADAOMA CHINWEUBA,WASHINGTON,DC,20020,2025734153,DAILY CARE PHARMACY 2,2025734153,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1104183342,GRUBBS PHARMACY SE INC,MICHAEL KIM,WASHINGTON,DC,20020,2025033610,GRUBBS PHARMACY SE INC,2025033610,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1407110604,CENTRAL PHARMACY,WALLACE KIGOTHO,WASHINGTON,DC,20020,2027046508,CENTRAL PHARMACY,2027046508,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1043638299,GOOD HOPE CARE PHARMACY LLC.,KAPIAMBA MUTEBA,WASHINGTON,DC,20020,2027334852,GOOD HOPE CARE PHARMACY LLC.,2027334852,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1942365382,NEIGHBORHOOD PHARMACY,SAHR BOCKAI,WASHINGTON,DC,20020,2028891119,NEIGHBORHOOD PHARMACY,2028891119,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,34.9,11.9,53015,53885,1,22,578.8,697285.0
1477368702,KINGDOM PHARMACY LLC,CHANTAL NKANGNIA-NJOMO,WASHINGTON,DC,20032,2029883863,KINGDOM PHARMACY LLC,2029883863,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1003316316,WHITMAN-WALKER CLINIC INC.,JOEL WRIGHT,WASHINGTON,DC,20032,8667241805,WHITMAN-WALKER CLINIC INC.,8667241805,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1356050538,EMERGING LIFE LLC,MUHAMMAD SALEEM,WASHINGTON,DC,20032,2027580955,EMERGING LIFE LLC,2027580955,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1265995120,"UNIVERSAL PHARMACY SERVICES, LLC",EMMANUEL NYARKO,WASHINGTON,DC,20032,2027508830,"UNIVERSAL PHARMACY SERVICES, LLC",2027508830,True,True,Pharmacy,13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1255703567,EXCEL PHARMACY,ALEMAYEHU BAKANA,WASHINGTON,DC,20032,2026521776,EXCEL PHARMACY,2026521776,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1508877093,GOOD CARE PHARMACY INC,VIVIAN ADEGHE,WASHINGTON,DC,20032,2025614343,GOOD CARE PHARMACY INC,2025614343,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1831398775,GOODCARE PHARMACY 11 INC.,VIVIAN ADEGHE,WASHINGTON,DC,20032,2025746088,GOODCARE PHARMACY 11 INC.,2025746088,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1831509934,WELLCARE PHARMACY,REDIET TAYE,WASHINGTON,DC,20032,2028470237,WELLCARE PHARMACY,2028470237,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.9,12.6,48146,38828,1,22,578.8,697285.0
1801548805,COMMUNITY OF HOPE INC.,JOEL WRIGHT,WASHINGTON,DC,20018,8668336417,COMMUNITY OF HOPE INC.,8668336417,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,28.5,16.1,92569,19956,1,22,578.8,697285.0
1437494416,"FORT LINCOLN PHARMACY & MEDICAL EQUIPMENT, LLC",ENOCK ADEWUYI,WASHINGTON,DC,20018,2022690000,"FORT LINCOLN PHARMACY & MEDICAL EQUIPMENT, LLC",2022690000,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,28.5,16.1,92569,19956,1,22,578.8,697285.0
1982776761,REMTUN PHARMACEUTICALS INC,OLUREMI UKWU,WASHINGTON,DC,20012,2027222426,REMTUN PHARMACEUTICALS INC,2027222426,True,True,"Pharmacy, Community/Retail Pharmacy",10.2,26.1,17.7,128234,17662,1,22,578.8,697285.0
1457221186,BROOKLAND PHARMACY,GODWIN ODUNZE,WASHINGTON,DC,20017,2025598004,BROOKLAND PHARMACY,2025598004,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,26.5,15.0,101543,21013,1,22,578.8,697285.0
1801214192,MATRIX CORP,TITILAYO AKINYOYENU,WASHINGTON,DC,20017,2022652200,MATRIX CORP,2022652200,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,26.5,15.0,101543,21013,1,22,578.8,697285.0
1922383603,NATIONS PHARMACY SOLUTIONS,FESTUS OPARA,WASHINGTON,DC,20017,2026216325,NATIONS PHARMACY SOLUTIONS,2026216325,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,26.5,15.0,101543,21013,1,22,578.8,697285.0
