npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1982099636,GLOJOSELI INC,MOJISOLA EVBUOMWAN,COLUMBUS,GA,31903,7069400365,GLOJOSELI INC,7069400365,True,True,"Pharmacy, Community/Retail Pharmacy",24.0,51.4,12.8,29488,19521,1,24,439.9,580207.0
1396859369,TLC DRUGS,THOMAS MCSWAIN,ALBANY,GA,31701,2294321203,TLC DRUGS,2294321203,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1477552826,U SAVE IT PHARMACY INC,THOMAS SHARPE,ALBANY,GA,31701,2294358351,U SAVE IT PHARMACY INC,2294358351,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1548269913,U SAVE IT PHARMACY INC,THOMAS SHARPE,ALBANY,GA,31701,2294394939,U SAVE IT PHARMACY INC,2294394939,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1073558359,ECONOMY DRUG CO. OF ALBANY,MICHAEL WARD,ALBANY,GA,31701,2294355434,ECONOMY DRUG CO. OF ALBANY,2294355434,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1669517983,MEDIDOSE PHARMACY DBA MEDISAVE PHARMACY,ANGELA DAVIS,ALBANY,GA,31701,2294351306,MEDIDOSE PHARMACY DBA MEDISAVE PHARMACY,2294351306,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1033362314,"SOUTH ALBANY PHARMACY, LLC",THOMAS SHARPE,ALBANY,GA,31701,2294355199,SOUTH ALBANY PHARMACY,2294355199,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1114937752,HALORX LLC,HALEY MORRIS,ALBANY,GA,31701,2294351306,HALORX LLC,2294351306,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1285849836,COMMUNITY DISCOUNT PARMACY,ANNIE BURNS,ALBANY,GA,31701,2294327839,COMMUNITY DISCOUNT PARMACY,2294327839,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1902937444,G PHILLIPS VENTURES INC,GARY PHILLIPS,ALBANY,GA,31701,2294321203,G PHILLIPS VENTURES INC,2294321203,True,True,"Pharmacy, Community/Retail Pharmacy",22.6,45.6,19.2,32902,16333,1,24,439.9,580207.0
1558360933,U SAVE IT PHARMACY INC,THOMAS SHARPE,RICHLAND,GA,31825,2298873747,U SAVE IT PHARMACY INC,2298873747,True,True,"Pharmacy, Community/Retail Pharmacy",22.4,43.9,18.1,35590,2733,1,24,439.9,580207.0
1841770971,"ALBANY AREA PRIMARY HEALTH CARE, INC.",SHELLEY SPIRES,ALBANY,GA,31705,2294056192,"ALBANY AREA PRIMARY HEALTH CARE, INC.",2294056192,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,45.2,14.3,37210,30866,1,24,439.9,580207.0
1053146456,MEDVILLE PHARMACY AND COMPOUNDING,GEORGE AGUWA,ALBANY,GA,31705,2295006973,MEDVILLE PHARMACY AND COMPOUNDING,2295006973,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,45.2,14.3,37210,30866,1,24,439.9,580207.0
1457837296,PACK PHARMACY LLC,OSITA ABANAH,ALBANY,GA,31705,2299038838,PACK PHARMACY LLC,2299038838,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,45.2,14.3,37210,30866,1,24,439.9,580207.0
1891162954,SCOTT'S PHARMACY AND COMPOUNDING LAB,PAUL SCOTT,ALBANY,GA,31705,2294837908,SCOTT'S PHARMACY AND COMPOUNDING LAB,2294837908,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,45.2,14.3,37210,30866,1,24,439.9,580207.0
1700927647,"RAINBOW DRUG STORE, INC.",RICHARD GRIFFIS,BRUNSWICK,GA,31520,9122655040,"RAINBOW DRUG STORE, INC.",9122655040,True,True,"Pharmacy, Community/Retail Pharmacy",20.4,42.3,18.2,37652,22743,1,24,439.9,580207.0
1497867337,"THE MEDICINE CABINET OF BRUNSWICK, LLC",JON MEEKS,BRUNSWICK,GA,31520,9122657000,"THE MEDICINE CABINET OF BRUNSWICK, LLC",9122657000,True,True,"Pharmacy, Community/Retail Pharmacy",20.4,42.3,18.2,37652,22743,1,24,439.9,580207.0
1033563077,DONATO HEALTH LLC,MATTHEW DONATO,BRUNSWICK,GA,31520,9122668140,DONATO HEALTH LLC,9122668140,True,True,"Pharmacy, Community/Retail Pharmacy",20.4,42.3,18.2,37652,22743,1,24,439.9,580207.0
1952316721,CITY DRUG STORE,CHARLES LOTT,BRUNSWICK,GA,31520,9122657630,CITY DRUG STORE,9122657630,True,True,"Pharmacy, Community/Retail Pharmacy",20.4,42.3,18.2,37652,22743,1,24,439.9,580207.0
