npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1144284340,"MOLOKAI DRUGS, INC.",DAVID MIKAMI,KAUNAKAKAI,HI,96748,8085535790,"MOLOKAI DRUGS, INC.",8085535790,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,33.0,21.0,76974,5168,1,21,582.0,669364.0
1417055443,QSI INC,ALYSSA PANG,HONOLULU,HI,96817,8085225078,QSI INC,8085225078,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1942695911,QSI INC,ALYSSA PANG,HONOLULU,HI,96817,8088532268,QSI INC,8088532268,True,True,Pharmacy,16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1114031184,PHARM D INC,CHRISTIAN LEE,HONOLULU,HI,96817,8085482299,PHARM D INC,8085482299,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1316923725,PHARMACARE INTERNATIONAL INC,BYRON YOSHINO,HONOLULU,HI,96817,8088405620,PHARMACARE INTERNATIONAL INC,8088405620,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1659749398,QSI INC,RICHARD MEJIA,HONOLULU,HI,96817,8085325455,QSI INC,8085325455,True,True,Pharmacy,16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1841382777,CHINATOWN PHARMACY,ANH VO,HONOLULU,HI,96817,8085336288,CHINATOWN PHARMACY,8085336288,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1457416059,WELLNESS PHARMACY INC,HENRY QUAN,HONOLULU,HI,96817,8085502833,WELLNESS PHARMACY INC,8085502833,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,24.3,24.8,74690,55213,1,21,582.0,669364.0
1801965389,PHARM NEUT INC,BONNIE PREBULA,PAHOA,HI,96778,8089657535,PHARM NEUT INC,8089657535,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,34.0,24.2,34863,14225,1,21,582.0,669364.0
1205381803,PAHOA PHARMACY LLC,ISMAIL ABDOLAHI,PAHOA,HI,96778,8089650601,PAHOA PHARMACY LLC,8089650601,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,34.0,24.2,34863,14225,1,21,582.0,669364.0
1700928413,"KAU COMMUNITY PHARMACY, INC.",FLOYD BARTY,PAHALA,HI,96777,8089286252,"KAU COMMUNITY PHARMACY, INC.",8089286252,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,25.7,21.5,63438,1838,1,21,582.0,669364.0
1831241934,"LEEWARD DRUG, LTD",TERRENCE YOUNG,WAIANAE,HI,96792,8086966348,"LEEWARD DRUG, LTD",8086966348,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,37.0,13.5,83927,49879,1,21,582.0,669364.0
1740504109,"PHARMACARE INTERNATIONAL, INC.",BYRON YOSHINO,WAIANAE,HI,96792,8086282800,"PHARMACARE INTERNATIONAL, INC.",8086282800,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,37.0,13.5,83927,49879,1,21,582.0,669364.0
1518039858,"PROCARE PHARMACY, L.L.C.",BRANDON AYCOCK,HONOLULU,HI,96819,8008961464,"PROCARE PHARMACY, L.L.C.",8008961464,True,True,"Pharmacy, Specialty Pharmacy",14.4,25.4,17.8,96346,51961,1,21,582.0,669364.0
1861500514,APOS FARMACIA INC,RAY MIGUEL,HONOLULU,HI,96819,8088480088,APOS FARMACIA INC,8088480088,True,True,"Pharmacy, Community/Retail Pharmacy",14.4,25.4,17.8,96346,51961,1,21,582.0,669364.0
1073647129,"PHARMACARE INTERNATIONAL, INC.",BYRON YOSHINO,HONOLULU,HI,96819,8088360223,"PHARMACARE INTERNATIONAL, INC.",8088360223,True,True,"Pharmacy, Community/Retail Pharmacy",14.4,25.4,17.8,96346,51961,1,21,582.0,669364.0
1316070865,RJB CORPORATION,BYRON YOSHINO,HONOLULU,HI,96819,8088360223,RJB CORPORATION,8088360223,True,True,"Pharmacy, Community/Retail Pharmacy",14.4,25.4,17.8,96346,51961,1,21,582.0,669364.0
1346623394,VALUE DRUG LTD.,BYRON YOSHINO,HONOLULU,HI,96819,8088360223,VALUE DRUG LTD.,8088360223,True,True,"Pharmacy, Community/Retail Pharmacy",14.4,25.4,17.8,96346,51961,1,21,582.0,669364.0
1780782714,QSI INC,ALYSSA PANG,HONOLULU,HI,96826,8089735851,QSI INC,8089735851,True,True,"Pharmacy, Community/Retail Pharmacy",13.9,25.2,22.8,67743,29718,1,21,582.0,669364.0
1518038694,CORNER PHARMACY CORPORATION,CARL MUDRICK,HONOLULU,HI,96826,8089460064,CORNER PHARMACY CORPORATION,8089460064,True,True,"Pharmacy, Community/Retail Pharmacy",13.9,25.2,22.8,67743,29718,1,21,582.0,669364.0
1578794905,HONOLULU COMPOUNDING PHARMACY INC,TAD USHIJIMA,HONOLULU,HI,96826,8089793400,HONOLULU COMPOUNDING PHARMACY INC,8089793400,True,True,"Pharmacy, Compounding Pharmacy",13.9,25.2,22.8,67743,29718,1,21,582.0,669364.0
