npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1265276596,HERITAGE PARK PHARMACY INC,MICHAEL MCCOY,WEST BURLINGTON,IA,52655,3197683971,HERITAGE PARK PHARMACY INC,3197683971,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.5,21.0,54405,4300,1,21,510.0,580432.0
1144098476,COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC,ANTONIO FLORES,WEST BURLINGTON,IA,52655,3197685848,COMMUNITY HEALTH CENTERS OF SOUTHEASTERN IOWA INC,3197685848,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.5,21.0,54405,4300,1,21,510.0,580432.0
1487761508,HERITAGE PARK PHARMACY INC,SCOTT ROLLINGER,WEST BURLINGTON,IA,52655,3197533681,HERITAGE PARK PHARMACY INC,3197533681,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.5,21.0,54405,4300,1,21,510.0,580432.0
1306959531,HERITAGE PARK PHARMACY INC.,TONY HAYES,WEST BURLINGTON,IA,52655,3197683950,HERITAGE PARK PHARMACY INC.,3197683950,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,34.5,21.0,54405,4300,1,21,510.0,580432.0
1164466793,CARRUTHERS PHARMACY PC,SHANNON MOHR,MEDIAPOLIS,IA,52637,3193943420,CARRUTHERS PHARMACY PC,3193943420,True,True,"Pharmacy, Community/Retail Pharmacy",11.0,32.9,19.7,77354,3054,1,21,510.0,580432.0
1184781940,WILLIAM BURKE LTD,ANDREW PLOEHN,DAVENPORT,IA,52803,5633241641,WILLIAM BURKE LTD,5633241641,True,True,"Pharmacy, Community/Retail Pharmacy",10.4,42.3,13.6,61082,21868,1,21,510.0,580432.0
1972683373,"GENVENTURES, INC.",MARK ROGERS,DAVENPORT,IA,52803,5634216366,"GENVENTURES, INC.",5634216366,True,True,"Pharmacy, Community/Retail Pharmacy",10.4,42.3,13.6,61082,21868,1,21,510.0,580432.0
1407825136,TRP INC,REX TUTTLE,DAVENPORT,IA,52803,5633225973,TRP INC,5633225973,True,True,"Pharmacy, Community/Retail Pharmacy",10.4,42.3,13.6,61082,21868,1,21,510.0,580432.0
1114934239,"AMICARE PHARMACY, INC",AMANDA MULL,BETTENDORF,IA,52722,5633447450,"AMICARE PHARMACY, INC",5633447450,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,37.6,17.6,105763,40878,1,21,510.0,580432.0
1861434391,NORTH SCOTT PHARMACY INC,THERESA JUDKINS,ELDRIDGE,IA,52748,5632852001,NORTH SCOTT PHARMACY INC,5632852001,True,True,"Pharmacy, Community/Retail Pharmacy",8.8,37.9,16.6,103600,9890,1,21,510.0,580432.0
1740220490,CATHOLIC HEALTH INITIATIVES-IOWA CORP,KURT ANDERSEN,DES MOINES,IA,50314,5156434429,CATHOLIC HEALTH INITIATIVES-IOWA CORP,5156434429,True,True,"Pharmacy, Community/Retail Pharmacy",17.7,47.9,9.5,38511,10203,1,19,510.0,580432.0
1972644847,"PRIMARY HEALTH CARE, INC.",NATHANIEL SIMPSON,DES MOINES,IA,50314,5152620854,"PRIMARY HEALTH CARE, INC.",5152620854,True,True,"Pharmacy, Community/Retail Pharmacy",17.7,47.9,9.5,38511,10203,1,19,510.0,580432.0
1265573992,CASSADY INC,DONALD CASSADY,DES MOINES,IA,50314,5152443221,CASSADY INC,5152443221,True,True,"Pharmacy, Community/Retail Pharmacy",17.7,47.9,9.5,38511,10203,1,19,510.0,580432.0
1528137015,GREENVILLE PHARMACY INC,ROBERT REHAL,SIOUX CITY,IA,51105,7122580113,GREENVILLE PHARMACY INC,7122580113,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,44.9,6.4,46940,10726,1,19,510.0,580432.0
1528017647,GRX HOLDINGS LLC,MICHAEL FULLER,DES MOINES,IA,50316,5152831782,GRX HOLDINGS LLC,5152831782,True,True,"Pharmacy, Community/Retail Pharmacy",14.9,42.7,9.7,53090,16188,1,19,510.0,580432.0
