npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1548152937,"VALLEY FAMILY HEALTH CARE, INC",BENJAMIN MURRAY,PAYETTE,ID,83661,2086429376,"VALLEY FAMILY HEALTH CARE, INC",2086429377,True,False,"Pharmacy, Community/Retail Pharmacy",12.7,32.0,21.9,60444,10788,1,21,528.8,605486.0
1891102653,PRESCRIPTION PAD LLC,TRENTON JENKS,FRUITLAND,ID,83619,2084527075,PRESCRIPTION PAD LLC,2084527075,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,31.6,18.4,64242,8445,1,21,528.8,605486.0
1760564553,ONTARIO PHARMACY INC,ERIN JACKSON,FRUITLAND,ID,83619,2084527075,ONTARIO PHARMACY INC,2084527075,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,31.6,18.4,64242,8445,1,21,528.8,605486.0
1659700896,ONTARIO PHARMACY INC,ROBERT WHEATLEY,FRUITLAND,ID,83619,2084523340,ONTARIO PHARMACY INC,2084523340,True,True,"Pharmacy, Compounding Pharmacy",12.1,31.6,18.4,64242,8445,1,21,528.8,605486.0
1164811402,ASHTON MEMORIAL INC,SUZANNE NIELSEN,ASHTON,ID,83420,2086523932,ASHTON MEMORIAL INC,2086523932,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,31.3,25.0,69604,2611,1,21,528.8,605486.0
1184727240,ROBERT LELAND COMSTOCK JR,BOB COMSTOCK,ASHTON,ID,83420,2086523932,ROBERT LELAND COMSTOCK JR,2086523932,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,31.3,25.0,69604,2611,1,21,528.8,605486.0
1669935813,"BROULIM SUPERMARKETS, LLC",MARCUS HURST,SAINT ANTHONY,ID,83445,2082280424,"BROULIM SUPERMARKETS, LLC",2082280424,True,True,"Pharmacy, Community/Retail Pharmacy",10.2,33.0,12.7,67759,7514,1,21,528.8,605486.0
1194736694,ALLEN PHARMACY SERVICES INC,PAUL ALLEN,SAINT ANTHONY,ID,83445,2086243202,ALLEN PHARMACY SERVICES INC,2086243202,True,True,"Pharmacy, Community/Retail Pharmacy",10.2,33.0,12.7,67759,7514,1,21,528.8,605486.0
1932635810,TETON PHARMACY OF ST ANTHONY,JASON BAILEY,SAINT ANTHONY,ID,83445,2086244411,TETON PHARMACY OF ST ANTHONY,2086244411,True,True,"Pharmacy, Community/Retail Pharmacy",10.2,33.0,12.7,67759,7514,1,21,528.8,605486.0
1710038716,WALLACE PHARMACY INC,DWIGHT WALLACE,ABERDEEN,ID,83210,2083974540,WALLACE PHARMACY INC,2083974540,True,True,"Pharmacy, Community/Retail Pharmacy",13.1,41.3,14.6,66744,3661,1,20,528.8,605486.0
1215663802,"COMMUNITY COUNCIL OF IDAHO, INC",TROY COULSON,BLACKFOOT,ID,83221,2084352379,"COMMUNITY COUNCIL OF IDAHO, INC",2084352379,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,39.8,14.4,77889,29244,1,20,528.8,605486.0
1487302527,"COMMUNITY COUNCIL OF IDAHO, INC.",TROY COULSON,BLACKFOOT,ID,83221,2084352379,"COMMUNITY COUNCIL OF IDAHO, INC.",2084352379,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,39.8,14.4,77889,29244,1,20,528.8,605486.0
1669615845,BMH INC.,JACOB ERICKSON,BLACKFOOT,ID,83221,2087822990,BMH INC.,2087822990,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,39.8,14.4,77889,29244,1,20,528.8,605486.0
1679609077,RIDLEYS FAMILY MARKETS INC,TODD WISE,BLACKFOOT,ID,83221,2087851311,RIDLEYS FAMILY MARKETS INC,2087851311,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,39.8,14.4,77889,29244,1,20,528.8,605486.0
1902149180,"R & J PHARMACY, INC",ROBERT MILLER,BLACKFOOT,ID,83221,2086847011,"R & J PHARMACY, INC",2086847011,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,39.8,14.4,77889,29244,1,20,528.8,605486.0
1396870911,"BROULIM SUPERMARKETS, LLC",MARCUS HURST,SHELLEY,ID,83274,2083570473,"BROULIM SUPERMARKETS, LLC",2083570473,True,True,"Pharmacy, Community/Retail Pharmacy",9.9,37.7,12.7,80000,11284,1,20,528.8,605486.0
1518967710,JACKS PHARMACY INC,COLT DARLEY,ST MARIES,ID,83861,2082454578,JACKS PHARMACY INC,2082454578,True,True,"Pharmacy, Community/Retail Pharmacy",13.8,35.9,25.1,60897,7167,1,19,528.8,605486.0
1881389062,"HEALTH WEST, INC.",AMELIA MURPHY,CHUBBUCK,ID,83202,2082327862,"HEALTH WEST, INC.",2082327862,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,34.1,14.9,68118,23543,1,19,528.8,605486.0
1255159802,"BMH, INC",JACOB ERICKSON,POCATELLO,ID,83201,2082323252,"BMH, INC",2082323252,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1366251951,"HEALTH WEST, INC.",AMELIA MURPHY,POCATELLO,ID,83201,2082327862,"HEALTH WEST, INC.",2082327862,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1023707239,"CRAFT PHARMACY AND CLINIC, LLC",TONI CANTRELL,POCATELLO,ID,83201,2087057812,"CRAFT PHARMACY AND CLINIC, LLC",2087057812,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1083720494,SHAVER HOLDINGS INC,LORRI SHAVER,POCATELLO,ID,83201,2082333341,SHAVER HOLDINGS INC,2082333341,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1356367486,ED SNELL'S PHARMACY SHOP,ED SNELL,POCATELLO,ID,83201,2082320049,ED SNELL'S PHARMACY SHOP,2082320049,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1912918418,RCP INC,BOB NEWSOM,POCATELLO,ID,83201,2082697135,RCP INC,2082697135,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1184050148,"RIDLEY'S FAMILY MARKETS, INC",CATHI KETTERLING,POCATELLO,ID,83201,2082334051,"RIDLEY'S FAMILY MARKETS, INC",2082334051,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,32.9,13.9,63209,39552,1,19,528.8,605486.0
1821653890,GOODING PHARMACY INC,JASON READING,HAGERMAN,ID,83332,2089442067,GOODING PHARMACY INC,2089442067,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.3,32.1,67153,2608,1,18,528.8,605486.0
1518479773,TNT APOTHECARY LLC,THOMAS WADSWORTH,HAGERMAN,ID,83332,2085365761,TNT APOTHECARY LLC,2085365761,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.3,32.1,67153,2608,1,18,528.8,605486.0
1083928832,K2RED LLC,DAN FUCHS,BUHL,ID,83316,2085435353,K2RED LLC,2085435353,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,34.1,21.3,61378,10075,1,18,528.8,605486.0
1609196351,RIDLEYS FAMILY MARKETS INC,TODD WISE,BUHL,ID,83316,2085439944,RIDLEYS FAMILY MARKETS INC,2085439944,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,34.1,21.3,61378,10075,1,18,528.8,605486.0
1548780414,GOODING PHARMACY INC,JASON READING,TWIN FALLS,ID,83301,2089332050,GOODING PHARMACY INC,2089332050,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.1,16.8,62388,61968,1,18,528.8,605486.0
1437849239,CEDAR PHARMACY LLC,BRYAN HORNE,TWIN FALLS,ID,83301,8018092656,CEDAR PHARMACY LLC,8018092656,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.1,16.8,62388,61968,1,18,528.8,605486.0
1396954202,K2RED L.L.C.,DANIEL FUCHS,TWIN FALLS,ID,83301,2087367060,K2RED L.L.C.,2087367060,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.1,16.8,62388,61968,1,18,528.8,605486.0
1295832574,K2RED L.L.C.,DANIEL FUCHS,TWIN FALLS,ID,83301,2087347373,K2RED L.L.C.,2087347373,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.1,16.8,62388,61968,1,18,528.8,605486.0
1316031412,K2RED L.L.C.,DANIEL FUCHS,TWIN FALLS,ID,83301,2087372620,K2RED L.L.C.,2087372620,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.1,16.8,62388,61968,1,18,528.8,605486.0
1003942913,"RIDLEY'S FAMILY MARKETS, INC",CATHI KETTERLING,KIMBERLY,ID,83341,2084234248,"RIDLEY'S FAMILY MARKETS, INC",2084234248,True,True,"Pharmacy, Community/Retail Pharmacy",10.3,32.9,10.2,95340,9445,1,18,528.8,605486.0
1417333501,GOODING PHARMACY INC,JASON READING,GOODING,ID,83330,2089344000,GOODING PHARMACY INC,2089344000,True,True,"Pharmacy, Community/Retail Pharmacy",13.5,35.1,17.9,58313,7120,1,17,528.8,605486.0
1316072630,"RIDLEY'S FAMILY MARKETS, INC",CATHI KETTERLING,GOODING,ID,83330,2089344709,"RIDLEY'S FAMILY MARKETS, INC",2089344709,True,True,"Pharmacy, Community/Retail Pharmacy",13.5,35.1,17.9,58313,7120,1,17,528.8,605486.0
1023122090,KENDRICK PHARMACY INC,GARY SACKMAN,GOODING,ID,83330,2089344000,KENDRICK PHARMACY INC,2089344000,True,True,"Pharmacy, Community/Retail Pharmacy",13.5,35.1,17.9,58313,7120,1,17,528.8,605486.0
1316156482,"COMMUNITY HEALTH CLINICS, INC.",HOLLY HENGGELER,CALDWELL,ID,83605,2083181334,"COMMUNITY HEALTH CLINICS, INC.",2083181334,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1487450987,"COMMUNITY HEALTH CLINICS, INC.",HOLLY HENGGELER,CALDWELL,ID,83605,2083181334,"COMMUNITY HEALTH CLINICS, INC.",2083181334,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1164267373,"FULL CIRCLE HEALTH, INC.",JARED MOORE,CALDWELL,ID,83605,2089548707,"FULL CIRCLE HEALTH, INC.",2089548707,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1962581652,MEDICAL CLINIC PHARMACY INC,TYLER HIGGINS,CALDWELL,ID,83605,2084591503,MEDICAL CLINIC PHARMACY INC,2084591503,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1144890476,MPRX CALDWELL INC,DEVIN TRONE,CALDWELL,ID,83605,2082045900,MPRX CALDWELL INC,2082045900,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1740902675,P. ROMAN BURK DPM PC,P. BURK,CALDWELL,ID,83605,2087955090,P. ROMAN BURK DPM PC,2087955090,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1578639233,Z-INC,STEVEN ZATICA,CALDWELL,ID,83605,2084541111,Z-INC,2084541111,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1730242355,PENNY WISE DRUG STORES INC,THOMAS WILSON,CALDWELL,ID,83605,2084593691,PENNY WISE DRUG STORES INC,2084593691,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,37.5,10.8,60657,41155,1,17,528.8,605486.0
1508420373,K2RED LLC,DANIEL FUCHS,WENDELL,ID,83355,2087347373,K2RED LLC,2087347373,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,34.4,11.0,63083,5451,1,17,528.8,605486.0
1023671807,RIDLEY'S FAMILY MARKETS INC,TODD WISE,WENDELL,ID,83355,2085365761,RIDLEY'S FAMILY MARKETS INC,2085365761,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,34.4,11.0,63083,5451,1,17,528.8,605486.0
1316029184,TNT APOTHECARY LLC,THOMAS WADSWORTH,WENDELL,ID,83355,2085365761,TNT APOTHECARY LLC,2085365761,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,34.4,11.0,63083,5451,1,17,528.8,605486.0
1770687188,"COMMUNITY HEALTH CLINICS, INC.",HOLLY HENGGELER,NAMPA,ID,83651,2083181376,"COMMUNITY HEALTH CLINICS, INC.",2083181376,True,True,"Pharmacy, Community/Retail Pharmacy",11.7,35.2,18.0,66895,36997,1,17,528.8,605486.0
1336945849,"COMMUNITY HEALTH CLINICS, INC.",HOLLY HENGGELER,NAMPA,ID,83651,2083181376,"COMMUNITY HEALTH CLINICS, INC.",2083181376,True,True,"Pharmacy, Community/Retail Pharmacy",11.7,35.2,18.0,66895,36997,1,17,528.8,605486.0
1477973832,DEBLAQUIERE ENTERPRISES INC,RICHARD DE BLAQUIERE,SPIRIT LAKE,ID,83869,2086238485,DEBLAQUIERE ENTERPRISES INC,2086238485,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,32.2,18.4,64625,5278,1,17,528.8,605486.0
1669125548,"FULL CIRCLE HEALTH, INC.",JARED MOORE,NAMPA,ID,83686,2089548731,"FULL CIRCLE HEALTH, INC.",2089548731,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.0,16.1,83666,59532,1,17,528.8,605486.0
1508971987,"MEDNOW, INC",BILL BECK,NAMPA,ID,83686,2084635355,"MEDNOW, INC",2084635355,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.0,16.1,83666,59532,1,17,528.8,605486.0
1295847135,REDDISH PHARMACY INC,KEVIN REDDISH,NAMPA,ID,83686,2084667823,REDDISH PHARMACY INC,2084667823,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.0,16.1,83666,59532,1,17,528.8,605486.0
