npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1649212267,CRAMAR PHARMACY INC,CRAIG HERZOG,EAST SAINT LOUIS,IL,62204,6188741020,CRAMAR PHARMACY INC,6188741020,True,True,"Pharmacy, Community/Retail Pharmacy",24.2,52.3,18.9,36789,4824,1,23,610.0,792095.0
1841245404,MEDICATE PHARMACY INC,MICHAEL SCHALTENBRAND,WASHINGTON PARK,IL,62204,6188743000,MEDICATE PHARMACY INC,6188743000,True,True,"Pharmacy, Community/Retail Pharmacy",24.2,52.3,18.9,36789,4824,1,23,610.0,792095.0
1871086082,MEDICATE PHARMACY INC,MICHAEL SCHALTENBRAND,CENTREVILLE,IL,62207,6188572608,MEDICATE PHARMACY INC,6188572608,True,True,"Pharmacy, Community/Retail Pharmacy",23.1,52.0,18.5,29184,6801,1,23,610.0,792095.0
1063418523,"MEDICATE PHARMACY, INC",MICHAEL SCHALTENBRAND,EAST SAINT LOUIS,IL,62201,6188751000,"MEDICATE PHARMACY, INC",6188751000,True,True,"Pharmacy, Community/Retail Pharmacy",21.1,49.5,18.1,21658,5017,1,23,610.0,792095.0
1396871794,CAHOKIA PHARMACY INC,ENRICO BERTUCCI,CAHOKIA,IL,62206,6183321028,CAHOKIA PHARMACY INC,6183321028,True,True,"Pharmacy, Community/Retail Pharmacy",19.0,49.9,12.5,39520,13155,1,23,610.0,792095.0
1649281148,B & D PHARMACY INC,JOHN BAILEY,CAHOKIA,IL,62206,6183322500,B & D PHARMACY INC,6183322500,True,True,Pharmacy,19.0,49.9,12.5,39520,13155,1,23,610.0,792095.0
1508938390,FHMS INC,NELLY SAAD,FAIRVIEW HEIGHTS,IL,62208,6186322886,FHMS INC,6186322886,True,True,"Pharmacy, Community/Retail Pharmacy",13.7,38.7,17.9,78423,16653,1,23,610.0,792095.0
1801957444,NEW VENTURE PHARMACY,LARRY ANDERSON,FAIRVIEW HEIGHTS,IL,62208,6186288868,NEW VENTURE PHARMACY,6186288868,True,True,"Pharmacy, Community/Retail Pharmacy",13.7,38.7,17.9,78423,16653,1,23,610.0,792095.0
1952857567,FOREST PARK PHARMACY INC,AMIRA JAHIC,FAIRVIEW HEIGHTS,IL,62208,6186070200,FOREST PARK PHARMACY INC,6186070200,True,True,"Pharmacy, Community/Retail Pharmacy",13.7,38.7,17.9,78423,16653,1,23,610.0,792095.0
1902918840,"COPPER BEND PHARMACY, INC",STEPHEN CLEMENT,BELLEVILLE,IL,62223,6182347181,"COPPER BEND PHARMACY, INC",6182347181,True,True,"Pharmacy, Community/Retail Pharmacy",13.3,37.6,20.1,69620,16269,1,23,610.0,792095.0
1588790984,WILLIAM LAY,WILLIAM LAY,BELLEVILLE,IL,62226,6182774050,WILLIAM LAY,6182774050,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,38.4,18.0,66018,28543,1,23,610.0,792095.0
1801760012,"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",LARRY MCCULLEY,BELLEVILLE,IL,62220,6183320694,"SOUTHERN ILLINOIS HEALTH CARE FOUNDATION, INC.",6183320694,True,True,"Pharmacy, Community/Retail Pharmacy",12.5,38.7,16.3,65261,19391,1,23,610.0,792095.0
1003980111,MARISSA FOOD MART,GAIL LASKOWSKI,MARISSA,IL,62257,6182952317,MARISSA FOOD MART,6182952317,True,True,Pharmacy,12.2,36.8,19.4,66848,1960,1,23,610.0,792095.0
1811923162,SCHNUCK MARKETS INC,LISA DOBBS,BELLEVILLE,IL,62221,6182348097,SCHNUCK MARKETS INC,6182348097,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,37.4,14.7,78619,29281,1,23,610.0,792095.0
1831289750,"GROCERIES OF SOUTHERN ILLINOIS, LLC.",MEGHAN HEURING,FREEBURG,IL,62243,6185393164,"GROCERIES OF SOUTHERN ILLINOIS, LLC.",6185393164,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,34.4,17.4,93328,6522,1,23,610.0,792095.0
1528073178,GROCERIES OF SOUTHERN ILLINOIS LLC,BRYAN SCHNEIDER,FREEBURG,IL,62243,6185395577,GROCERIES OF SOUTHERN ILLINOIS LLC,6185395577,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,34.4,17.4,93328,6522,1,23,610.0,792095.0
1013108893,BWE & TME INC,WILLIAM WHITWORTH,MILLSTADT,IL,62260,6184761701,BWE & TME INC,6184761701,True,True,"Pharmacy, Community/Retail Pharmacy",11.2,34.4,22.7,93929,6518,1,23,610.0,792095.0
1841620960,GROCERIES OF SOUTHERN ILLINOIS LLC,BRYAN SCHNEIDER,NEW ATHENS,IL,62264,6185666843,GROCERIES OF SOUTHERN ILLINOIS LLC,6185666843,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,34.5,18.2,61174,3152,1,23,610.0,792095.0
1326419912,GROCERIES OF SOUTHERN ILLINOIS LLC,MEGHAN HEURING,SMITHTON,IL,62285,6182073186,GROCERIES OF SOUTHERN ILLINOIS LLC,6182073186,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,34.9,24.1,118413,4187,1,23,610.0,792095.0
1386739225,PRESCRIPTIONS PLUS,LOUIS SCHLAEFER,LEBANON,IL,62254,6185376202,PRESCRIPTIONS PLUS,6185376202,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,32.2,18.5,89500,6339,1,23,610.0,792095.0
1225620636,MERCY PHARMACY SERVICES LLC,DOUG MALCOLM,SHILOH,IL,62269,6186288085,MERCY PHARMACY SERVICES LLC,6186288085,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1053476481,ALEMAN ENTERPRISES,SAM ALEMAN,O FALLON,IL,62269,6186328309,ALEMAN ENTERPRISES,6186328309,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1942728506,HOWELL PHARMACY LLC,JACQUELINE HOWELL,O FALLON,IL,62269,6182068655,HOWELL PHARMACY LLC,6182068655,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1003587981,UPCARE LLC,MARK SALEM,O FALLON,IL,62269,6186595569,UPCARE LLC,6186595569,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1639697956,LV HEALTHCARE LLC,VINCENT WILLIAMS,SHILOH,IL,62269,6185899889,LV HEALTHCARE LLC,6185899889,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1902995673,DIERBERGS MARKETS INC,GREGORY GUENTHER,SHILOH,IL,62269,6186288085,DIERBERGS MARKETS INC,6186288085,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.8,16.1,100167,35536,1,23,610.0,792095.0
1013139591,RAJESH PATEL,RAJESH PATEL,ROCKFORD,IL,61101,8159622166,RAJESH PATEL,8159622166,True,True,"Pharmacy, Community/Retail Pharmacy",18.6,49.3,16.6,45260,19671,1,22,610.0,792095.0
1285025346,HODELS-RUBENS PHARMACY,RUBEN SAMUEL,ROCKFORD,IL,61101,8159685779,HODELS-RUBENS PHARMACY,8159685779,True,True,"Pharmacy, Community/Retail Pharmacy",18.6,49.3,16.6,45260,19671,1,22,610.0,792095.0
1558473496,NIEMANN FOODS INC,CHRISTOPHER NIEMANN,SPRINGFIELD,IL,62703,2177442296,NIEMANN FOODS INC,2177442296,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,46.7,17.9,44580,28820,1,22,610.0,792095.0
1154800969,NIEMANN FOODS INC,ARTHUR AWERKAMP,SPRINGFIELD,IL,62703,2175252372,NIEMANN FOODS INC,2175252372,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,46.7,17.9,44580,28820,1,22,610.0,792095.0
1316748270,LUX BOX RX,LUCIE DONIKIAN,ROCKFORD,IL,61103,5087362599,LUX BOX RX,5087362599,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,46.0,18.7,47390,23238,1,22,610.0,792095.0
1356874093,"CANCER CARE SPECIALISTS OF CENTRAL ILLINOIS, S.C",PERRY GUAGLIANONE,DECATUR,IL,62526,2173293239,"CANCER CARE SPECIALISTS OF CENTRAL ILLINOIS, S.C",2173293239,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,44.2,21.6,48222,31191,1,22,610.0,792095.0
1760379465,DECATUR PHARMACYXPRESS LLC,MAEN QATOUM,DECATUR,IL,62526,2176155100,DECATUR PHARMACYXPRESS LLC,2176155100,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,44.2,21.6,48222,31191,1,22,610.0,792095.0
1285720847,"TOWN & COUNTRY PHARMACIES, INC.",DONALD SCHREIBER,DECATUR,IL,62526,2178759090,"TOWN & COUNTRY PHARMACIES, INC.",2178759090,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,44.2,21.6,48222,31191,1,22,610.0,792095.0
1578868360,PRAIRIE COMPOUNDING PHARMACIES CORPORATION,ANN ROHDE,DECATUR,IL,62526,2174124408,PRAIRIE COMPOUNDING PHARMACIES CORPORATION,2174124408,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,44.2,21.6,48222,31191,1,22,610.0,792095.0
1043654163,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORP,CHRISTINA CARNEY,MURPHYSBORO,IL,62966,6186849362,SHAWNEE HEALTH SERVICE AND DEVELOPMENT CORP,6186849362,True,True,"Pharmacy, Community/Retail Pharmacy",14.3,42.6,21.1,54242,13995,1,22,610.0,792095.0
1346382504,"PHIL'S PRESCRIPTION DRUGS, INC.",MILLER MOORE,MURPHYSBORO,IL,62966,6186842341,"PHIL'S PRESCRIPTION DRUGS, INC.",6186842341,True,True,"Pharmacy, Community/Retail Pharmacy",14.3,42.6,21.1,54242,13995,1,22,610.0,792095.0
1932845948,PBCC PHARMACY LLC,OSVALDO WESLY,SPRINGFIELD,IL,62702,2176795446,PBCC PHARMACY LLC,2176795446,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1053483834,WATT BROS PHARMACY INC,JOHN WATT,SPRINGFIELD,IL,62702,2175223331,WATT BROS PHARMACY INC,2175223331,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1467546879,C & D PHARMACY SERVICES INC,DAVID MIKUS,SPRINGFIELD,IL,62702,2175250058,C & D PHARMACY SERVICES INC,2175250058,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1558606327,NIEMANN FOODS INC,CHRISTOPHER NIEMANN,SPRINGFIELD,IL,62702,2175283193,NIEMANN FOODS INC,2175283193,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1871882787,"SIU PHYSICIANS & SURGEONS, INC",JERRY KRUSE,SPRINGFIELD,IL,62702,2175455817,"SIU PHYSICIANS & SURGEONS, INC",2175455817,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1316483266,"SPRINGFIELD CLINIC, LLP",WILLIAM BREWER,SPRINGFIELD,IL,62702,2173916940,"SPRINGFIELD CLINIC, LLP",2173916940,True,True,Pharmacy,14.1,43.8,17.4,52748,31251,1,22,610.0,792095.0
1265929749,"POINTCORE, INC.",ROBERT SEHRING,ROCKFORD,IL,61108,8153956010,"POINTCORE, INC.",8153956010,True,True,"Pharmacy, Community/Retail Pharmacy",13.8,41.2,20.6,63046,30202,1,22,610.0,792095.0
1376802462,ROCK VALLEY COMPOUNDING PHARMACY LLC,JONATHAN LEHAN,ROCKFORD,IL,61108,7794230542,ROCK VALLEY COMPOUNDING PHARMACY LLC,7794230542,True,True,"Pharmacy, Compounding Pharmacy",13.8,41.2,20.6,63046,30202,1,22,610.0,792095.0
1962081190,HOMERUN GENERAL STORES,RIBHI QATTOUM,DECATUR,IL,62521,2178481449,HOMERUN GENERAL STORES,2178481449,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,42.4,22.5,66848,32455,1,22,610.0,792095.0
1588613384,LAKE OF DECATUR INC,DALE COLEE,DECATUR,IL,62521,2174295165,LAKE OF DECATUR INC,2174295165,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,42.4,22.5,66848,32455,1,22,610.0,792095.0
