npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1801854047,"GEORGE'S FAMILY PHARMACY, INC.",BLAKE GILLMAN,INDIANAPOLIS,IN,46219,3173598278,"GEORGE'S FAMILY PHARMACY, INC.",3173598278,True,True,Pharmacy,14.5,39.5,13.1,57811,38246,1,23,1573.3,2002843.0
1215940895,ONCOLOGY & HEMATOLOGY ASSOC INC,ANDREW GREENSPAN,INDIANAPOLIS,IN,46219,3179645267,ONCOLOGY & HEMATOLOGY ASSOC INC,3179645267,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,39.5,13.1,57811,38246,1,23,1573.3,2002843.0
1265931638,INDY SCRIPTS INC,LESLIE ATEM,INDIANAPOLIS,IN,46254,3178205454,INDY SCRIPTS INC,3178205454,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,42.9,11.3,57825,40263,1,23,1573.3,2002843.0
1497963540,CUSTOM MED APOTHECARY,JEFF JACKSON,INDIANAPOLIS,IN,46254,3178033436,CUSTOM MED APOTHECARY,3178033436,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,42.9,11.3,57825,40263,1,23,1573.3,2002843.0
1164390274,HEALTHNET PHARMACY LLC,VARON CANTRELL,INDIANAPOLIS,IN,46201,3176439424,HEALTHNET PHARMACY LLC,3176439424,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,41.9,10.6,43183,31650,1,23,1573.3,2002843.0
1700413721,DAMAR PHARMACY SERVICES,JIM DALTON,INDIANAPOLIS,IN,46241,3178565201,DAMAR PHARMACY SERVICES,3178565201,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,41.0,8.9,51598,32943,1,23,1573.3,2002843.0
1982197463,360 PHARMACY CARE LLC,STEVE HUYNH,INDIANAPOLIS,IN,46241,3176691093,360 PHARMACY CARE LLC,3176691093,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,41.0,8.9,51598,32943,1,23,1573.3,2002843.0
1124567565,EAST WASHINGTON PHARMACY LLC,KIRAN JAMES,INDIANAPOLIS,IN,46229,3175919393,EAST WASHINGTON PHARMACY LLC,3175919393,True,True,"Pharmacy, Community/Retail Pharmacy",13.8,41.1,14.3,62982,28284,1,23,1573.3,2002843.0
1811074438,"KISCH, P.C.",GLENN KISCH,SPEEDWAY,IN,46224,3173479929,"KISCH, P.C.",3173479929,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,41.5,9.4,53731,39858,1,23,1573.3,2002843.0
1871084798,SD&J LLC T A MADE-IN INDIANAPOLIS PHARMACY & MEDICAL EQUIPMENT,JACK WELLS,INDIANAPOLIS,IN,46224,3174385236,SD&J LLC T A MADE-IN INDIANAPOLIS PHARMACY & MEDICAL EQUIPMENT,3174385236,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,41.5,9.4,53731,39858,1,23,1573.3,2002843.0
1851306765,MARSH DRUGS LLC,BETH BROWN,INDIANAPOLIS,IN,46224,3172482427,MARSH DRUGS LLC,3172482427,True,True,"Pharmacy, Community/Retail Pharmacy",13.6,41.5,9.4,53731,39858,1,23,1573.3,2002843.0
1811613870,HEALTHNET PHARMACY LLC,VARON CANTRELL,INDIANAPOLIS,IN,46203,3179572000,HEALTHNET PHARMACY LLC,3179572000,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,39.7,12.3,55375,37297,1,23,1573.3,2002843.0
1700321312,"CROSSWIND PHARMACEUTICALS, LLC",ELIZABETH BIGLER,INDIANAPOLIS,IN,46203,3172889762,"CROSSWIND PHARMACEUTICALS, LLC",3172889762,True,True,"Pharmacy, Community/Retail Pharmacy",13.4,39.7,12.3,55375,37297,1,23,1573.3,2002843.0
1396138814,"H3 PHARMACY, INC",HONGXING ZHANG,INDIANAPOLIS,IN,46268,3175046592,"H3 PHARMACY, INC",3175046592,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,37.8,14.9,63322,25623,1,23,1573.3,2002843.0
1063811339,"HEALTHSCRIPTS OF AMERICA-INDIANAPOLIS, LLC",PAUL HENRIKSEN,INDIANAPOLIS,IN,46268,3175225489,"HEALTHSCRIPTS OF AMERICA-INDIANAPOLIS, LLC",3175225489,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,37.8,14.9,63322,25623,1,23,1573.3,2002843.0
1194582221,"RAPHAEL HEALTH CENTER, INC",MEGAN CONKLIN,INDIANAPOLIS,IN,46205,3179261507,"RAPHAEL HEALTH CENTER, INC",3179261507,True,True,Pharmacy,12.8,39.5,9.6,65756,29196,1,23,1573.3,2002843.0
1922884071,"INDIANA BLOODWORX, LLC",ERIC GRAY,INDIANAPOLIS,IN,46260,3178710000,"INDIANA BLOODWORX, LLC",3178710000,True,True,"Pharmacy, Specialty Pharmacy",12.7,36.6,16.7,70642,35102,1,23,1573.3,2002843.0
1003973314,MERIDIAN NORTH PHARMACY,CHRISTINA JAMES,INDIANAPOLIS,IN,46260,3178466654,MERIDIAN NORTH PHARMACY,3178466654,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,36.6,16.7,70642,35102,1,23,1573.3,2002843.0
1427051176,"BIOSCRIP PHARMACY, INC.",JAMES MELANCON,INDIANAPOLIS,IN,46260,3179267828,"BIOSCRIP PHARMACY, INC.",3179267828,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,36.6,16.7,70642,35102,1,23,1573.3,2002843.0
1831529288,PROSCRIPT LLC,ZIAD KHADER,INDIANAPOLIS,IN,46260,8557006001,PROSCRIPT LLC,8557006001,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,36.6,16.7,70642,35102,1,23,1573.3,2002843.0
