npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1821709130,"ASM PHARMACY-KANSAS, LLC",WALTER HOFF,KANSAS CITY,KS,66101,9135735290,"ASM PHARMACY-KANSAS, LLC",9135735290,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,46.2,11.9,38819,12463,1,22,376.3,449871.0
1497125470,PRESCRIPTION MANAGEMENT ASSOCIATES,MANOJ GEORGE,KANSAS CITY,KS,66104,8162492780,PRESCRIPTION MANAGEMENT ASSOCIATES,8162492780,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,44.0,14.9,56745,26820,1,22,376.3,449871.0
1386220176,TURNER HOUSE CLINIC INC,PATRICK SALLEE,KANSAS CITY,KS,66102,9132334452,TURNER HOUSE CLINIC INC,9132334452,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1497867345,DANIEL REIF INC,DANIEL REIF,KANSAS CITY,KS,66102,9137883344,DANIEL REIF INC,9137883344,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1710086731,DEGOLER INC.,GLENN HARTE,KANSAS CITY,KS,66102,9133424077,DEGOLER INC.,9133424077,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1790872075,DEGOLER INC.,GLENN HARTE,KANSAS CITY,KS,66102,9135962133,DEGOLER INC.,9135962133,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1982790986,"HASSIG DRUGS, INC",PATRICK VOIGHT,KANSAS CITY,KS,66102,9133710447,"HASSIG DRUGS, INC",9133710447,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1396498697,PHARMACY OF GRACE INC.,MICHAEL FINK,KANSAS CITY,KS,66102,9139538260,PHARMACY OF GRACE INC.,9139538260,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1316607898,TURNER HOUSE CLINIC INC,PATRICK SALLEE,KANSAS CITY,KS,66102,9132334452,TURNER HOUSE CLINIC INC,9132334452,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1669602686,"ANGEL,S TOUCH PHARMACY",IJAZ RASHID,KANSAS CITY,KS,66102,9133226700,"ANGEL,S TOUCH PHARMACY",9133226700,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,44.0,9.2,52218,30062,1,22,376.3,449871.0
1942309976,DEGOLER INC.,GLENN HARTE,KANSAS CITY,KS,66112,9132999000,DEGOLER INC.,9132999000,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,40.2,14.4,62824,12968,1,22,376.3,449871.0
1548375645,FOUR B CORP,JANICE ARENSON,KANSAS CITY,KS,66112,9133341660,FOUR B CORP,9133341660,True,True,Pharmacy,14.8,40.2,14.4,62824,12968,1,22,376.3,449871.0
1740695469,FOUR B CORP,JANICE ARENSON,KANSAS CITY,KS,66112,9136475955,FOUR B CORP,9136475955,True,True,Pharmacy,14.8,40.2,14.4,62824,12968,1,22,376.3,449871.0
1679708192,ANGEL'S TOUCH PHARMACY,IJAZ RASHID,KANSAS CITY,KS,66112,9133224500,ANGEL'S TOUCH PHARMACY,9133224500,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,40.2,14.4,62824,12968,1,22,376.3,449871.0
