npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1518517994,SCPG LOUISIANA LLC,UMAR FAROOQ,ST. JOSEPH,LA,71366,3187664563,SCPG LOUISIANA LLC,3187664563,True,True,"Pharmacy, Community/Retail Pharmacy",25.7,50.2,26.1,46806,1454,1,23,666.5,758936.0
1689692626,GREENS DRUGS LLC,ALISON GREEN,NEWELLTON,LA,71357,3184675225,GREENS DRUGS LLC,3184675225,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,29.7,32308,1448,1,23,666.5,758936.0
1184593006,GREENS DRUGS LLC,ALISON GREEN,NEWELLTON,LA,71357,3184675225,GREENS DRUGS LLC,3184675225,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,29.7,32308,1448,1,23,666.5,758936.0
1265538664,POLKS CROSSGATES DISCOUNT DRUGS INC,JOHN GRAY,SHREVEPORT,LA,71103,3184290161,POLKS CROSSGATES DISCOUNT DRUGS INC,3184290161,True,True,"Pharmacy, Community/Retail Pharmacy",27.4,51.1,27.6,27958,6142,1,22,666.5,758936.0
1609525138,PARISH PHARMACY INC,KINGS PHARMACY,SHREVEPORT,LA,71103,3186358159,PARISH PHARMACY INC,3186358159,True,True,"Pharmacy, Community/Retail Pharmacy",27.4,51.1,27.6,27958,6142,1,22,666.5,758936.0
1588036552,BRFHH SHREVEPORT LLC,JASON LAFITTE,SHREVEPORT,LA,71103,3186753364,BRFHH SHREVEPORT LLC,3186753364,True,True,"Pharmacy, Community/Retail Pharmacy",27.4,51.1,27.6,27958,6142,1,22,666.5,758936.0
1679383194,"APOTHEWORX, LLC",HEIDI CRAM,SHREVEPORT,LA,71101,3188631800,"APOTHEWORX, LLC",3188631800,True,True,"Pharmacy, Community/Retail Pharmacy",25.6,51.3,25.4,17924,6174,1,22,666.5,758936.0
1134272644,PILL BOX PHARMACY INCORPORATED,JAMES DUCK,SHREVEPORT,LA,71101,3188650234,PILL BOX PHARMACY INCORPORATED,3188650234,True,True,"Pharmacy, Community/Retail Pharmacy",25.6,51.3,25.4,17924,6174,1,22,666.5,758936.0
1447354402,INCA ENTERPRISES INC,CLOVIS BURCH,SHREVEPORT,LA,71101,3182228477,INCA ENTERPRISES INC,3182228477,True,True,"Pharmacy, Community/Retail Pharmacy",25.6,51.3,25.4,17924,6174,1,22,666.5,758936.0
1669712154,INNIS PHARMACY LLC,MERLIN LACOMBE,INNIS,LA,70747,2252028424,INNIS PHARMACY LLC,2252028424,True,True,"Pharmacy, Community/Retail Pharmacy",24.7,44.1,17.2,-666666666,743,1,22,666.5,758936.0
1033969225,BUNKIE GENERAL PHARMACY LLC,LATRICE WILLIAMS,BUNKIE,LA,71322,3183466681,BUNKIE GENERAL PHARMACY LLC,3183466681,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.2,23.8,25655,5257,1,22,666.5,758936.0
1265541171,"NEW PARRINO DRUG STORE, INC.",RICHARD THIBAUT DJAPNI,BUNKIE,LA,71322,3183467204,"NEW PARRINO DRUG STORE, INC.",3183467204,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.2,23.8,25655,5257,1,22,666.5,758936.0
1407860307,"BUNKIE CITY DRUG, INC.",JEFFREY JUNEAU,BUNKIE,LA,71322,3183466307,"BUNKIE CITY DRUG, INC.",3183466307,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.2,23.8,25655,5257,1,22,666.5,758936.0
1518972124,BUNKIE PHARMACY INC,FRED FOGLEMAN,BUNKIE,LA,71322,3183466343,BUNKIE PHARMACY INC,3183466343,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.2,23.8,25655,5257,1,22,666.5,758936.0
1083376990,COMMUNITY RX,DAVID JONES,VIVIAN,LA,71082,3183753180,COMMUNITY RX,3183753180,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,46.0,21.8,25809,3774,1,22,666.5,758936.0
1972722825,RX CARE OF LA INC,JESSICA RIVERA,VIVIAN,LA,71082,3183753784,RX CARE OF LA INC,3183753784,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,46.0,21.8,25809,3774,1,22,666.5,758936.0
1255491783,PEACE MANAGEMENT INC,ANGIE BARBIN,SIMMESPORT,LA,71369,3189412423,PEACE MANAGEMENT INC,3189412423,True,True,"Pharmacy, Community/Retail Pharmacy",20.7,45.5,20.0,36462,2255,1,22,666.5,758936.0
1578675567,PLAUCHE DRUGS INC,MAXINE RIVIERE,SIMMESPORT,LA,71369,3189412296,PLAUCHE DRUGS INC,3189412296,True,True,"Pharmacy, Community/Retail Pharmacy",20.7,45.5,20.0,36462,2255,1,22,666.5,758936.0
1316799877,ASCENSION DEPAUL SERVICES,MICHAEL GRIFFIN,NEW ORLEANS,LA,70113,5048997214,ASCENSION DEPAUL SERVICES,5048997214,True,True,"Pharmacy, Community/Retail Pharmacy",20.6,40.5,12.0,36897,9888,1,22,666.5,758936.0
1457691057,"LMF VENTURES, LLC",LISHUNDA FRANKLIN,NEW ORLEANS,LA,70113,5043028285,"LMF VENTURES, LLC",5043028285,True,True,"Pharmacy, Community/Retail Pharmacy",20.6,40.5,12.0,36897,9888,1,22,666.5,758936.0
1902309446,"POFESSIONAL SERVICE PHARMACY, LLC",VERNON MOTLOW,NEW ORLEANS,LA,70126,5043095741,"POFESSIONAL SERVICE PHARMACY, LLC",5043095741,True,True,"Pharmacy, Community/Retail Pharmacy",20.3,41.4,15.3,38229,28690,1,22,666.5,758936.0
1386753218,MANSURA DRUGSTORE,LINDA NEYLAND,MANSURA,LA,71350,3189642104,MANSURA DRUGSTORE,3189642104,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,44.5,16.2,50962,4556,1,22,666.5,758936.0
1154174910,ASCENSION DEPAUL SERVICES,MICHAEL GRIFFIN,NEW ORLEANS,LA,70114,5043628930,ASCENSION DEPAUL SERVICES,5043628930,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,39.3,18.9,41435,22132,1,22,666.5,758936.0
1932435450,GENERAL MEYER PHARMACY,CALVIN MAGEE,NEW ORLEANS,LA,70114,5048729882,GENERAL MEYER PHARMACY,5048729882,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,39.3,18.9,41435,22132,1,22,666.5,758936.0
1538930490,"ST. THOMAS COMMUNITY HEALTH CENTER, INC",DONALD ERWIN,NEW ORLEANS,LA,70114,5045295558,"ST. THOMAS COMMUNITY HEALTH CENTER, INC",5045295558,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,39.3,18.9,41435,22132,1,22,666.5,758936.0
1558435073,BLESSED PLACE PHARMACY INC,SHERRY DESVIGNES,NEW ORLEANS,LA,70114,5043640900,BLESSED PLACE PHARMACY INC,5043640900,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,39.3,18.9,41435,22132,1,22,666.5,758936.0
1508405911,"BLANCHARD'S PHARMACY, INC.",TROHN BLANCHARD,NEW ROADS,LA,70760,2256387550,"BLANCHARD'S PHARMACY, INC.",2256387550,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,43.2,21.6,48050,6119,1,22,666.5,758936.0
1588793368,RAYMOND M GARRETT,RAYMOND GARRETT,NEW ROADS,LA,70760,2256387550,RAYMOND M GARRETT,2256387550,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,43.2,21.6,48050,6119,1,22,666.5,758936.0
1346352291,GEORGE ELLIOTT INC,ERIC ELLIOTT,NEW ROADS,LA,70760,2256386321,GEORGE ELLIOTT INC,2256386321,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,43.2,21.6,48050,6119,1,22,666.5,758936.0
1841318920,GEORGE ELLIOTT INC,ERIC ELLIOT,NEW ROADS,LA,70760,2256387186,GEORGE ELLIOTT INC,2256387186,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,43.2,21.6,48050,6119,1,22,666.5,758936.0
1790456499,"INNIS COMMUNITY HEALTH CENTER, INC",RACHEL NELSON,BATCHELOR,LA,70715,2254923775,"INNIS COMMUNITY HEALTH CENTER, INC",2254923775,True,True,"Pharmacy, Community/Retail Pharmacy",19.6,42.1,23.7,51071,895,1,22,666.5,758936.0
1295156362,ASCENSION DEPAUL SERVICES,MICHAEL GRIFFIN,NEW ORLEANS,LA,70127,5045393860,ASCENSION DEPAUL SERVICES,5045393860,True,True,"Pharmacy, Community/Retail Pharmacy",19.1,40.4,15.2,41548,24769,1,22,666.5,758936.0
1295029833,H&W DRUG STORE INC,RUSTON HENRY,NEW ORLEANS,LA,70127,5042443784,H&W DRUG STORE INC,5042443784,True,True,"Pharmacy, Community/Retail Pharmacy",19.1,40.4,15.2,41548,24769,1,22,666.5,758936.0
1063372639,SYNERGY WELLNESS PHARMACY,RONALD MCLENDON,NEW ORLEANS,LA,70127,5045185822,SYNERGY WELLNESS PHARMACY,5045185822,True,True,"Pharmacy, Community/Retail Pharmacy",19.1,40.4,15.2,41548,24769,1,22,666.5,758936.0
1265448823,ST BERNARD DRUGS #2 LLC,MAI VU,NEW ORLEANS,LA,70127,5042421100,ST BERNARD DRUGS #2 LLC,5042421100,True,True,"Pharmacy, Community/Retail Pharmacy",19.1,40.4,15.2,41548,24769,1,22,666.5,758936.0
1548681745,COMMUNITY CHOICE PHARMACY LLC,HERBERT BURRELL,NEW ORLEANS,LA,70127,5049572336,COMMUNITY CHOICE PHARMACY LLC,5049572336,True,True,"Pharmacy, Community/Retail Pharmacy",19.1,40.4,15.2,41548,24769,1,22,666.5,758936.0
1518477355,VOTRAN RX LLC,PAUL VO,NEW ORLEANS,LA,70129,5044351422,VOTRAN RX LLC,5044351422,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,31.6,18.3,53811,10219,1,22,666.5,758936.0
1457428757,AN CUONG LLC,AN TRAN,NEW ORLEANS,LA,70129,5042549034,AN CUONG LLC,5042549034,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,31.6,18.3,53811,10219,1,22,666.5,758936.0
1548418916,HAI YEN PHARMACY LLC,HAIYEN NGUYEN,NEW ORLEANS,LA,70129,5043246310,HAI YEN PHARMACY LLC,5043246310,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,31.6,18.3,53811,10219,1,22,666.5,758936.0
1710992334,KENS PHARMACY INC,KINH NGUYEN,NEW ORLEANS,LA,70129,5042548989,KENS PHARMACY INC,5042548989,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,31.6,18.3,53811,10219,1,22,666.5,758936.0
1861415721,DAVID RAINES COMMUNITY HEALTH CENTER INC,WILLIE WHITE,SHREVEPORT,LA,71107,3182273355,DAVID RAINES COMMUNITY HEALTH CENTER INC,3182273355,True,True,"Pharmacy, Community/Retail Pharmacy",18.1,44.2,16.1,48114,31807,1,22,666.5,758936.0
1922372358,COTTONPORT CORNER DRUG LLC,KIM WIXSON,COTTONPORT,LA,71327,3188763665,COTTONPORT CORNER DRUG LLC,3188763665,True,True,"Pharmacy, Community/Retail Pharmacy",17.7,44.7,7.5,34690,6100,1,22,666.5,758936.0
1659432987,"PORET'S THRIFTY WAY PHARMACY, INC,",GREGORY PORET,COTTONPORT,LA,71327,3188762104,"PORET'S THRIFTY WAY PHARMACY, INC,",3188762104,True,True,"Pharmacy, Community/Retail Pharmacy",17.7,44.7,7.5,34690,6100,1,22,666.5,758936.0
1144382631,C & R BIBBEE LLC,RICHARD BIBBEE,MOREAUVILLE,LA,71355,3189852104,C & R BIBBEE LLC,3189852104,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,42.0,21.3,47263,2192,1,22,666.5,758936.0
1609988567,LABORDES FREEDOM PHARMACY,FENWICK LABORDE,MARKSVILLE,LA,71351,3182539419,LABORDES FREEDOM PHARMACY,3182539419,True,True,"Pharmacy, Community/Retail Pharmacy",17.2,42.4,15.5,48006,11494,1,22,666.5,758936.0
1356445316,MCGEES PHARMACY,ROBERT MCGEE,MARKSVILLE,LA,71351,3184094075,MCGEES PHARMACY,3184094075,True,True,"Pharmacy, Community/Retail Pharmacy",17.2,42.4,15.5,48006,11494,1,22,666.5,758936.0
1639908270,"WINN COMMUNITY HEALTH CENTER, INC.",DAVID ADAMS,MARKSVILLE,LA,71351,3185978991,"WINN COMMUNITY HEALTH CENTER, INC.",3185978991,True,True,"Pharmacy, Community/Retail Pharmacy",17.2,42.4,15.5,48006,11494,1,22,666.5,758936.0
1558476580,SENTRY DRUGS OF MARKSVILLE INC,KENNETH WILSON,MARKSVILLE,LA,71351,3182538747,SENTRY DRUGS OF MARKSVILLE INC,3182538747,True,True,"Pharmacy, Community/Retail Pharmacy",17.2,42.4,15.5,48006,11494,1,22,666.5,758936.0
1033261029,GOUX PHARMACY LLC,KINMAN GOUX,MARKSVILLE,LA,71351,3182409866,GOUX PHARMACY LLC,3182409866,True,True,"Pharmacy, Community/Retail Pharmacy",17.2,42.4,15.5,48006,11494,1,22,666.5,758936.0
1417264110,ASCENSION DEPAUL SERVICES,MICHAEL GRIFFIN,NEW ORLEANS,LA,70117,5042076287,ASCENSION DEPAUL SERVICES,5042076287,True,True,"Pharmacy, Community/Retail Pharmacy",17.1,37.6,14.3,41645,26250,1,22,666.5,758936.0
1043426299,MAJESTE'S ST CLAUDE PHARMACY INC,GREGORY WENDLING,NEW ORLEANS,LA,70117,5049425792,MAJESTE'S ST CLAUDE PHARMACY INC,5049425792,True,True,"Pharmacy, Community/Retail Pharmacy",17.1,37.6,14.3,41645,26250,1,22,666.5,758936.0
1043793029,"AVITA DRUGS, LLC",ASHLEY ELLIS,NEW ORLEANS,LA,70117,5046200670,"AVITA DRUGS, LLC",5046200670,True,True,"Pharmacy, Community/Retail Pharmacy",17.1,37.6,14.3,41645,26250,1,22,666.5,758936.0
1720253511,CBJ VENTURES LLC,CYRENA BROWN,NEW ORLEANS,LA,70117,5043222200,CBJ VENTURES LLC,5043222200,True,True,"Pharmacy, Community/Retail Pharmacy",17.1,37.6,14.3,41645,26250,1,22,666.5,758936.0
1174067730,ASCENSION DEPAUL SERVICES,MICHAEL GRIFFIN,NEW ORLEANS,LA,70122,5046674300,ASCENSION DEPAUL SERVICES,5046674300,True,True,"Pharmacy, Community/Retail Pharmacy",16.9,36.1,18.1,47613,35318,1,22,666.5,758936.0
1952488827,FRANKLIN AVENUE PHARMACY INC,SEAN BARBARIN,NEW ORLEANS,LA,70122,5043097177,FRANKLIN AVENUE PHARMACY INC,5043097177,True,True,"Pharmacy, Community/Retail Pharmacy",16.9,36.1,18.1,47613,35318,1,22,666.5,758936.0
1417786062,"ST. THOMAS COMMUNITY HEALTH CENTER, INC",DONALD ERWIN,NEW ORLEANS,LA,70122,5042937584,"ST. THOMAS COMMUNITY HEALTH CENTER, INC",5042937584,True,True,"Pharmacy, Community/Retail Pharmacy",16.9,36.1,18.1,47613,35318,1,22,666.5,758936.0
1881259174,OCHSNER PHARMACY AND WELLNESS LLC,RICHARD ROVIRA,NEW ORLEANS,LA,70122,5042262033,OCHSNER PHARMACY AND WELLNESS LLC,5042262033,True,True,"Pharmacy, Community/Retail Pharmacy",16.9,36.1,18.1,47613,35318,1,22,666.5,758936.0
1659138923,COUNCIL FOR ADVANCEMENT OF SOCIAL SERVICE AND EDUCATION,MARY CHUMLEY,SHREVEPORT,LA,71118,3182697053,COUNCIL FOR ADVANCEMENT OF SOCIAL SERVICE AND EDUCATION,3182697053,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,42.2,15.5,56952,24994,1,22,666.5,758936.0
1194749614,"COMPLETE VITAL CARE, INC.",GEORGE GARDINER,SHREVEPORT,LA,71118,3186869995,"COMPLETE VITAL CARE, INC.",3186869995,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,42.2,15.5,56952,24994,1,22,666.5,758936.0
1891332748,H & W DRUG STORE 4LLC,RUSTON HENRY,NEW ORLEANS,LA,70116,5045829050,H & W DRUG STORE 4LLC,5045829050,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,34.2,24.5,45580,10377,1,22,666.5,758936.0
1720226350,"CLAIBORNE DISCOUNT PHARMACY, LLC",HERBERT BURRELL,NEW ORLEANS,LA,70116,5049428700,"CLAIBORNE DISCOUNT PHARMACY, LLC",5049428700,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,34.2,24.5,45580,10377,1,22,666.5,758936.0
1417010042,IDEAL PHARMACY CARE INC,CONRAD CHARLES,NEW ORLEANS,LA,70116,5045234103,IDEAL PHARMACY CARE INC,5045234103,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,34.2,24.5,45580,10377,1,22,666.5,758936.0
1336909431,AIRLINE DRUG LLC,JAMES DUCK,SHREVEPORT,LA,71106,3186931220,AIRLINE DRUG LLC,3186931220,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,38.6,17.9,77724,33651,1,22,666.5,758936.0
1689900839,"VINH DISCOUNT PHARMACY,LLC",VINH BUI,NEW ORLEANS,LA,70131,5043528955,"VINH DISCOUNT PHARMACY,LLC",5043528955,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,33.8,17.1,64294,25460,1,22,666.5,758936.0
1619022357,JEFFERY J SCALLAN,PATRICIA SCALLAN,PLAUCHEVILLE,LA,71362,3189223134,JEFFERY J SCALLAN,3189223134,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,38.5,19.0,45227,2315,1,22,666.5,758936.0
1861028326,J WALKER ENTERPRISES LLC,JAMES WALKER,LIVONIA,LA,70755,2256372356,J WALKER ENTERPRISES LLC,2256372356,True,True,"Pharmacy, Community/Retail Pharmacy",14.1,37.2,13.7,60924,1500,1,22,666.5,758936.0
