npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1477213031,"LYNN COMMUNITY HEALTH, INC.",RYAN SULLIVAN,LYNN,MA,01901,7815813900,"LYNN COMMUNITY HEALTH, INC.",7815813900,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,41.6,24.2,27561,1934,1,21,1570.8,1914821.0
1891803060,WILLOW PHARMACY,BRIAN STRASNICK,LYNN,MA,01901,7815924350,WILLOW PHARMACY,7815924350,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,41.6,24.2,27561,1934,1,21,1570.8,1914821.0
1205853223,"SUPERPHARM, INC.",OLEG URIM,LYNN,MA,01901,7815995900,"SUPERPHARM, INC.",7815995900,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,41.6,24.2,27561,1934,1,21,1570.8,1914821.0
1134587397,CURE-AID PHARMACY INC,JOANNE ORTIZ READ,LAWRENCE,MA,01840,9789845285,CURE-AID PHARMACY INC,9789845285,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,39.7,13.3,34630,7092,1,21,1570.8,1914821.0
1053819482,ALLIED PHARMACY INC.,JASON HASHEN,LAWRENCE,MA,01840,9789845769,ALLIED PHARMACY INC.,9789845769,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,39.7,13.3,34630,7092,1,21,1570.8,1914821.0
1679715643,GREATER LAWRENCE FAMILY HEALTH CENTER INC,ZANDRA KELLEY,LAWRENCE,MA,01841,9786864453,GREATER LAWRENCE FAMILY HEALTH CENTER INC,9786864453,True,True,Pharmacy,14.5,37.9,10.0,54525,52761,1,21,1570.8,1914821.0
1326275926,GREATER LAWRENCE FAMILY HEALTH CENTER INC,ZANDRA KELLEY,LAWRENCE,MA,01841,9786916248,GREATER LAWRENCE FAMILY HEALTH CENTER INC,9786916248,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,37.9,10.0,54525,52761,1,21,1570.8,1914821.0
1306989702,"GREATER LAWRENCE FAMILY HEALTH CENTER, INC.",ZANDRA KELLEY,LAWRENCE,MA,01841,9786881567,"GREATER LAWRENCE FAMILY HEALTH CENTER, INC.",9786881567,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,37.9,10.0,54525,52761,1,21,1570.8,1914821.0
1235239252,PERROTTA'S PHARMACY,THOMAS PERROTTA,LAWRENCE,MA,01841,9786822557,PERROTTA'S PHARMACY,9786822557,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,37.9,10.0,54525,52761,1,21,1570.8,1914821.0
1386322956,PHARMAHEALTH PHARMACY INC,SHAHID BASHIR,NEW BEDFORD,MA,02740,5089987888,PHARMAHEALTH PHARMACY INC,5089987888,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,36.8,16.9,54563,46336,1,21,1570.8,1914821.0
1437234556,"RPB PHARMACY, INC.",RICHARD BRISSON,NEW BEDFORD,MA,02740,5089963778,"RPB PHARMACY, INC.",5089963778,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,36.8,16.9,54563,46336,1,21,1570.8,1914821.0
1376565366,SOUTHCOAST HOSPITALS GROUP INC,SCOTT FLANAGAN,NEW BEDFORD,MA,02740,5089735449,SOUTHCOAST HOSPITALS GROUP INC,5089735449,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,36.8,16.9,54563,46336,1,21,1570.8,1914821.0
1184194276,PHARMA SERVICE LLC,FELIX BAEZ,NEW BEDFORD,MA,02746,5088175044,PHARMA SERVICE LLC,5088175044,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,39.3,13.0,41023,16791,1,21,1570.8,1914821.0
1699056820,TOMS NEW PLACE LLC,THOMAS CORY,FALL RIVER,MA,02723,7743221335,TOMS NEW PLACE LLC,7743221335,True,True,"Pharmacy, Community/Retail Pharmacy",13.3,37.0,12.9,41789,17111,1,21,1570.8,1914821.0
1104837749,TOMS PLACE NOW INC,THOMAS CORY,FALL RIVER,MA,02724,5086726911,TOMS PLACE NOW INC,5086726911,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,36.6,15.4,49809,18758,1,21,1570.8,1914821.0
1285103804,"DOSTERT AND DOVE,LLC",EVAN DOSTERT,LYNN,MA,01902,6172570321,"DOSTERT AND DOVE,LLC",6172570321,True,True,"Pharmacy, Community/Retail Pharmacy",12.9,34.9,14.0,66755,51680,1,21,1570.8,1914821.0
1235292863,PPF INC,PETER FRASSICA,LYNN,MA,01902,7815924172,PPF INC,7815924172,True,True,"Pharmacy, Community/Retail Pharmacy",12.9,34.9,14.0,66755,51680,1,21,1570.8,1914821.0
