npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1144831157,"CAREPOINT PHARMACY AND MEDICAL SUPPLIES, LLC",KAZEEM FUNMILAYO,BALTIMORE,MD,21216,4435353655,"CAREPOINT PHARMACY AND MEDICAL SUPPLIES, LLC",4435353655,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1447614839,EL ELYON PHARMACEUTICAL INC,PAUL TAMO,BALTIMORE,MD,21216,6672051134,EL ELYON PHARMACEUTICAL INC,6672051134,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1538834528,EVA PHARMACY LLC,ADAUGO ONYEKWERE,BALTIMORE,MD,21216,4107253424,EVA PHARMACY LLC,4107253424,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1306117916,"POPLAR GROVE PHARMACY, INC",SUSAN NWOGA,BALTIMORE,MD,21216,4109455555,"POPLAR GROVE PHARMACY, INC",4109455555,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1396706891,FIBUS DRUG STORE INC,NORMAN LEVIN,BALTIMORE,MD,21216,4109471800,FIBUS DRUG STORE INC,4109471800,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1346748860,CARE RX PHARMACY INC,OSE OKOJIE,BALTIMORE,MD,21216,4102337000,CARE RX PHARMACY INC,4102337000,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1538174164,LLODNA INC,MICHELLE ANDOLL,BALTIMORE,MD,21216,4102338666,LLODNA INC,4102338666,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,45.4,16.8,46440,27296,1,24,461.3,597180.0
1922865419,LADI GLOBAL HOLDINGS LLC,BLESSING EKAMKI,BALTIMORE,MD,21223,4434386108,LADI GLOBAL HOLDINGS LLC,4434386108,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
1831323120,TOTAL HEALTH CARE INC,KEVIN BELLAMY,BALTIMORE,MD,21223,4107355392,TOTAL HEALTH CARE INC,4107355392,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
1326748294,LADI GLOBAL HOLDINGS LLC,BLESSING EKAMKI,BALTIMORE,MD,21223,4434386108,LADI GLOBAL HOLDINGS LLC,4434386108,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
1326094574,"MID-ATLANTIC VENTURES, INC",GBENGA OLAJIDE,BALTIMORE,MD,21223,4105661360,"MID-ATLANTIC VENTURES, INC",4105661360,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
1134500994,ALPHA HEALTHCARE LLC,CLEMENT ADEBAYO,BALTIMORE,MD,21223,4434539383,ALPHA HEALTHCARE LLC,4434539383,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
1285013425,FRANKLIN CARE PHARMACY INCORPORATED,CYRIL OKOJIE,BALTIMORE,MD,21223,4103623838,FRANKLIN CARE PHARMACY INCORPORATED,4103623838,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,46.2,15.3,41828,19793,1,24,461.3,597180.0
