npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1528422599,KATAHDIN VALLEY HEALTH CENTER,CLAUDETTE HUMPHREY,PATTEN,ME,04765,2075282285,KATAHDIN VALLEY HEALTH CENTER,2075282285,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,42.9,32.0,47269,1452,1,19,868.5,1100613.0
1447317821,PATTEN DRUG LLC,JOEL FITZPATRICK,PATTEN,ME,04765,2075282244,PATTEN DRUG LLC,2075282244,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,42.9,32.0,47269,1452,1,19,868.5,1100613.0
1114083094,DAVIS PHARMACY,NANCY DAVIS,E MILLINOCKET,ME,04430,2077463721,DAVIS PHARMACY,2077463721,True,True,"Pharmacy, Community/Retail Pharmacy",15.7,40.4,21.9,44306,1545,1,19,868.5,1100613.0
1780913111,M DRUG LLC,MATTHEW MARSTON,BREWER,ME,04412,2079739444,M DRUG LLC,2079739444,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,39.0,20.5,51490,9654,1,19,868.5,1100613.0
1336467695,PENOBSCOT COMMUNITY HEALTH CENTER,LORI DWYER,BREWER,ME,04412,2079455247,PENOBSCOT COMMUNITY HEALTH CENTER,2079455247,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,39.0,20.5,51490,9654,1,19,868.5,1100613.0
1659476836,AFFILIATED PHARMACY SERVICES,DAMON WILSON,BREWER,ME,04412,2079892424,AFFILIATED PHARMACY SERVICES,2079892424,True,True,"Pharmacy, Community/Retail Pharmacy",12.1,39.0,20.5,51490,9654,1,19,868.5,1100613.0
1700873122,COMMUNITY PHARMACIES LLC.,MICHELLE CHAMBERLAND,CORINTH,ME,04427,2072857289,COMMUNITY PHARMACIES LLC.,2072857289,True,True,"Pharmacy, Community/Retail Pharmacy",12.0,39.7,14.6,60612,2942,1,19,868.5,1100613.0
1164373239,KATAHDIN VALLEY HEALTH CENTER,CLAUDETTE HUMPHREY,CORINTH,ME,04427,2075383700,KATAHDIN VALLEY HEALTH CENTER,2075383700,True,True,"Pharmacy, Community/Retail Pharmacy",12.0,39.7,14.6,60612,2942,1,19,868.5,1100613.0
1548549082,CORRADOS INC,PAUL CORRADO,CORINTH,ME,04427,2072857778,CORRADOS INC,2072857778,True,True,"Pharmacy, Community/Retail Pharmacy",12.0,39.7,14.6,60612,2942,1,19,868.5,1100613.0
1316136302,PENOBSCOT COMMUNITY HEALTH CENTER,LORI DWYER,OLD TOWN,ME,04468,2079924100,PENOBSCOT COMMUNITY HEALTH CENTER,2079924100,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,38.3,17.1,51063,9163,1,19,868.5,1100613.0
1366262545,WJG MULTISPECIALTY CLINIC PC,WOODRUFF BAUM,BANGOR,ME,04401,2076055593,WJG MULTISPECIALTY CLINIC PC,2076055593,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,37.4,19.2,66136,44418,1,19,868.5,1100613.0
1538536180,COMMUNITY PHARMACIES LLC.,MICHELLE CHAMBERLAND,HERMON,ME,04401,2078485020,COMMUNITY PHARMACIES LLC.,2078485020,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,37.4,19.2,66136,44418,1,19,868.5,1100613.0
1124687538,RX ASSOCIATES LLC,CHARLES OUELLETTE,BANGOR,ME,04401,2079223849,RX ASSOCIATES LLC,2079223849,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,37.4,19.2,66136,44418,1,19,868.5,1100613.0
