npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1801690862,MIDWAY RX LLC,MOHAMED SALEM,DETROIT,MI,48213,3134998925,MIDWAY RX LLC,3134998925,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1104413095,HEALING HANDS PHARMACY LLC,AISHA HASHMI,DETROIT,MI,48213,3135713606,HEALING HANDS PHARMACY LLC,3135713606,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1346841012,STP REX LLC,CANDI TOLF,DETROIT,MI,48213,3139213536,STP REX LLC,3139213536,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1124428412,ANATA LLC,MAHMOUD RIFAI,DETROIT,MI,48213,3139222900,ANATA LLC,3139222900,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1316361819,MA HOME LLC,AHMAD SAYED,DETROIT,MI,48213,3135713095,MA HOME LLC,3135713095,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1386898070,CITY DRUGS PHARMACY,AUDAY MAKI,DETROIT,MI,48213,3135214000,CITY DRUGS PHARMACY,3135214000,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1316252851,HEALTHY CHOICE PHARMACY LLC,EMEKA IZUEGBUNAM,DETROIT,MI,48213,3135795700,HEALTHY CHOICE PHARMACY LLC,3135795700,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1528326287,"IRXPLUS.COM,INC",RAAD KOUZA,DETROIT,MI,48213,3139213537,"IRXPLUS.COM,INC",3139213537,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1265872717,NEW PEOPLES PHARMACY,KINGSLEY JADEMI,DETROIT,MI,48213,3139258000,NEW PEOPLES PHARMACY,3139258000,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1982708947,NEW SAV MAX PHARMACY,ABDALLA FARAJ,DETROIT,MI,48213,3139211002,NEW SAV MAX PHARMACY,3139211002,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1255655130,PEOPLES PHARMACY CORP,HARVINDER SRAN,DETROIT,MI,48213,3136001211,PEOPLES PHARMACY CORP,3136001211,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1225209265,SAMARITRAN PHARMACY PC,ABBAS BAYDOUN,DETROIT,MI,48213,3139228920,SAMARITRAN PHARMACY PC,3139228920,True,True,"Pharmacy, Community/Retail Pharmacy",23.8,49.5,17.3,33755,19869,1,24,427.6,454258.0
1841905833,BROTHERHOOD PHARMACY LLC,GANESH PATEL,DETROIT,MI,48215,3134227100,BROTHERHOOD PHARMACY LLC,3134227100,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,47.4,16.7,33741,10238,1,24,427.6,454258.0
1487269122,CANFIELD PHARMACY LLC,FARIS GAMMOH,DETROIT,MI,48215,3134587529,CANFIELD PHARMACY LLC,3134587529,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,47.4,16.7,33741,10238,1,24,427.6,454258.0
1982715447,GBOGBARA INC,LENYIE NGBOGBARA,DETROIT,MI,48215,3133318484,GBOGBARA INC,3133318484,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,47.4,16.7,33741,10238,1,24,427.6,454258.0
1720173693,M & D PHARMACY INC.,MARY FRAZIER,DETROIT,MI,48215,3138812890,M & D PHARMACY INC.,3138812890,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,47.4,16.7,33741,10238,1,24,427.6,454258.0
1578672036,RDS DETROIT INC,JENNIFER ZOREK,DETROIT,MI,48215,3133313343,RDS DETROIT INC,3133313343,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,47.4,16.7,33741,10238,1,24,427.6,454258.0
1346592920,AMIGO LLC,AHMED SHARAF,DETROIT,MI,48204,3133311200,AMIGO LLC,3133311200,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,48.6,18.8,32875,19723,1,24,427.6,454258.0
1699862888,GRAND VALUE PHARMACY INC,KEVIN WHITE,DETROIT,MI,48204,3139310010,GRAND VALUE PHARMACY INC,3139310010,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,48.6,18.8,32875,19723,1,24,427.6,454258.0
1427148618,RITE- WAY HARDWARE INC,GERALD NAJOR,DETROIT,MI,48204,3138950357,RITE- WAY HARDWARE INC,3138950357,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,48.6,18.8,32875,19723,1,24,427.6,454258.0
1386492650,VITAL HEALTH PHARMACY LLC,HOUSSEIN HAMMOUD,DETROIT,MI,48203,5199191234,VITAL HEALTH PHARMACY LLC,5199191234,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
1730994864,VIVENT PHARMACY MICHIGAN LLC,TONY FIELDS,HIGHLAND PARK,MI,48203,8888101434,VIVENT PHARMACY MICHIGAN LLC,8888101434,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
1720590425,HIGHLAND PARK RX LLC,CANDICE TOLF,DETROIT,MI,48203,3133346722,HIGHLAND PARK RX LLC,3133346722,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
1295212124,GRACEE PHARMACY PLLC,ISAIAH OKOH,HIGHLAND PARK,MI,48203,3137334523,GRACEE PHARMACY PLLC,3137334523,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
1891313755,"HIGHLAND PARK OAK STREET PHARMACY, LLC",FOUAD OMAR,HIGHLAND PARK,MI,48203,3134852971,"HIGHLAND PARK OAK STREET PHARMACY, LLC",3134852971,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
1962457705,LAXMIGI INC,VINOD BHAI,HIGHLAND PARK,MI,48203,3138659494,LAXMIGI INC,3138659494,True,True,"Pharmacy, Community/Retail Pharmacy",21.8,47.3,17.8,35108,20472,1,24,427.6,454258.0
