npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1437140282,RINDERER'S DRUG STORE #1,MATTHEW CARLISLE,SAINT LOUIS,MO,63115,3143810501,RINDERER'S DRUG STORE #1,3143810501,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.5,21.5,31898,14252,1,24,527.7,628075.0
1730244161,IMRAN PHARMACY,REHAN RANA,SAINT LOUIS,MO,63115,3143819394,IMRAN PHARMACY,3143819394,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.5,21.5,31898,14252,1,24,527.7,628075.0
1952601387,IRM ENTERPRISES LLC,REHAN RANA,SAINT LOUIS,MO,63115,3143819394,IRM ENTERPRISES LLC,3143819394,True,True,"Pharmacy, Community/Retail Pharmacy",24.1,48.5,21.5,31898,14252,1,24,527.7,628075.0
1740022268,CURANT HEALTH MISSOURI. LLC,PATRICK DUNHAM,SAINT LOUIS,MO,63111,3142746856,CURANT HEALTH MISSOURI. LLC,3142746856,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,42.3,12.2,43295,19093,1,24,527.7,628075.0
1487427530,NOVUS PHARMACY LLC,DALE WRIGLEY,SAINT LOUIS,MO,63111,3142005313,NOVUS PHARMACY LLC,3142005313,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,42.3,12.2,43295,19093,1,24,527.7,628075.0
1841231743,ST LOUIS CONNECTCARE DR SMILEY PHCY,BRUCE MEADOWS,SAINT LOUIS,MO,63112,3148796214,ST LOUIS CONNECTCARE DR SMILEY PHCY,3148796214,True,True,"Pharmacy, Community/Retail Pharmacy",14.7,37.9,16.0,43262,18353,1,24,527.7,628075.0
1922828946,WINKELMANN RX INC,DMITRI POSTNOV,SAINT LOUIS,MO,63118,3143533300,WINKELMANN RX INC,3143533300,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
1750324018,WINKELMANN SONS DRUG CO,DANIEL WINKELMANN,SAINT LOUIS,MO,63118,3143533300,WINKELMANN SONS DRUG CO,3143533300,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
1194851592,SEM ENTERPRISES INC,STANLEY MORRIS,SAINT LOUIS,MO,63118,3147522442,SEM ENTERPRISES INC,3147522442,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
1407862881,WINKELMANN SONS DRUG CO,DANIEL WINKELMANN,SAINT LOUIS,MO,63118,3143533300,WINKELMANN SONS DRUG CO,3143533300,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
1649733098,TJ PHARMACY LLC,TUAN LE,SAINT LOUIS,MO,63118,3144840176,TJ PHARMACY LLC,3144840176,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
1659576205,FOREST PARK PHARMACY,AMIRA JAHIC,ST LOUIS,MO,63118,3146459990,FOREST PARK PHARMACY,3146459990,True,True,"Pharmacy, Community/Retail Pharmacy",12.3,38.6,12.1,57268,25645,1,24,527.7,628075.0
