npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1548395825,SHELBY DRUG CO INC HWY 61 SOUTH,EDDIE ELLIS,SHELBY,MS,38774,6623987487,SHELBY DRUG CO INC HWY 61 SOUTH,6623987487,True,True,"Pharmacy, Community/Retail Pharmacy",27.8,54.7,16.5,21689,1769,1,25,324.3,406978.0
1508841917,DELTA DRUGS INC,RONNIE POE,SHAW,MS,38773,6627542241,DELTA DRUGS INC,6627542241,True,True,Pharmacy,25.1,50.4,26.1,28693,2290,1,25,324.3,406978.0
1013053842,"GDR, INC",GLENN ROBERTS,TCHULA,MS,39169,6622354422,"GDR, INC",6622354422,True,True,"Pharmacy, Community/Retail Pharmacy",24.6,52.7,8.3,33409,2939,1,25,324.3,406978.0
1417092032,DELTA HEALTH CENTER INC.,SEYMOUR MITCHELL,MOUND BAYOU,MS,38762,6627412151,DELTA HEALTH CENTER INC.,6627412151,True,True,"Pharmacy, Community/Retail Pharmacy",24.2,50.7,17.5,32105,2098,1,25,324.3,406978.0
1568477925,BSW INC,RAEANNE HAFFEY,DURANT,MS,39063,6626536441,BSW INC,6626536441,True,True,"Pharmacy, Community/Retail Pharmacy",23.7,51.4,20.2,27700,2653,1,25,324.3,406978.0
1669698213,BELL PHARMACY,CHARLIE BELL,DURANT,MS,39063,6626533006,BELL PHARMACY,6626533006,True,True,"Pharmacy, Community/Retail Pharmacy",23.7,51.4,20.2,27700,2653,1,25,324.3,406978.0
1942234109,"HENRICH DRUG STORE, INC",MICHAEL THOMAS,LEXINGTON,MS,39095,6628342842,"HENRICH DRUG STORE, INC",6628342842,True,True,"Pharmacy, Community/Retail Pharmacy",23.4,50.8,16.2,36838,6652,1,25,324.3,406978.0
1952889255,JITNEY PHARMACIES INCORPORATED,NICHOLAS KING,LEXINGTON,MS,39095,6628343378,JITNEY PHARMACIES INCORPORATED,6628343378,True,True,"Pharmacy, Community/Retail Pharmacy",23.4,50.8,16.2,36838,6652,1,25,324.3,406978.0
1669023586,LEXINGTON DISCOUNT PHARMACY,ANTHONY MCCARTY,LEXINGTON,MS,39095,6018342524,LEXINGTON DISCOUNT PHARMACY,6018342524,True,True,"Pharmacy, Community/Retail Pharmacy",23.4,50.8,16.2,36838,6652,1,25,324.3,406978.0
1639135908,RUSSELLS MR DISCOUNT DRUGS,WILLIAM RUSSELL,LEXINGTON,MS,39095,6628341154,RUSSELLS MR DISCOUNT DRUGS,6628341154,True,True,"Pharmacy, Community/Retail Pharmacy",23.4,50.8,16.2,36838,6652,1,25,324.3,406978.0
