npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1285171728,"ROWLAND OLD MAIN, INC.",AMBER LOCKLEAR,ROWLAND,NC,28383,9104223774,"ROWLAND OLD MAIN, INC.",9104223774,True,True,"Pharmacy, Community/Retail Pharmacy",21.4,49.9,16.1,37373,6794,1,24,631.6,786708.0
1649528613,OLD MAIN PHARMACY INC.,JUSTIN DANIEL,ROWLAND,NC,28383,9104223774,OLD MAIN PHARMACY INC.,9104223774,True,True,"Pharmacy, Community/Retail Pharmacy",21.4,49.9,16.1,37373,6794,1,24,631.6,786708.0
1770657207,ROWLAND FAMILY PHARMACY LLC,DAVID SHELLEY,ROWLAND,NC,28383,9104223774,ROWLAND FAMILY PHARMACY LLC,9104223774,True,True,"Pharmacy, Community/Retail Pharmacy",21.4,49.9,16.1,37373,6794,1,24,631.6,786708.0
1275969487,ROBESON HEALTH CARE CORPORATION,GEORGE HALL,FAIRMONT,NC,28340,9105354003,ROBESON HEALTH CARE CORPORATION,9105354003,True,True,"Pharmacy, Community/Retail Pharmacy",21.3,49.1,22.7,38188,9756,1,24,631.6,786708.0
1477189553,41 SOUTH SUPPLY INC,JASON FOIL,FAIRMONT,NC,28340,9105354190,41 SOUTH SUPPLY INC,9105354190,True,True,"Pharmacy, Community/Retail Pharmacy",21.3,49.1,22.7,38188,9756,1,24,631.6,786708.0
1841838372,FAIRMONT DRUG COMPANY LLC,JOE WILLIAMS,FAIRMONT,NC,28340,9106284200,FAIRMONT DRUG COMPANY LLC,9106284200,True,True,"Pharmacy, Community/Retail Pharmacy",21.3,49.1,22.7,38188,9756,1,24,631.6,786708.0
1093757692,WEBSTERS PHARMACY,BEN BRADY,FAIRMONT,NC,28340,9106286362,WEBSTERS PHARMACY,9106286362,True,True,"Pharmacy, Community/Retail Pharmacy",21.3,49.1,22.7,38188,9756,1,24,631.6,786708.0
1043200363,"PHARMAX, INC.",DAVID HESTER,MAXTON,NC,28364,9108443100,"PHARMAX, INC.",9108443100,True,True,"Pharmacy, Community/Retail Pharmacy",20.6,49.6,16.9,33889,13184,1,24,631.6,786708.0
1770806549,"PHARMAX, INC.",DAVID HESTER,MAXTON,NC,28364,9108443100,"PHARMAX, INC.",9108443100,True,True,"Pharmacy, Community/Retail Pharmacy",20.6,49.6,16.9,33889,13184,1,24,631.6,786708.0
1356777569,ROBESON HEALTH CARE CORPORATION,GEORGE HALL,MAXTON,NC,28364,9108445253,ROBESON HEALTH CARE CORPORATION,9108445253,True,True,"Pharmacy, Community/Retail Pharmacy",20.6,49.6,16.9,33889,13184,1,24,631.6,786708.0
