npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1154332716,DAKOTA CLINIC PHARMACY LLC,LAURA MORRIS,FARGO,ND,58103,7013643450,DAKOTA CLINIC PHARMACY LLC,7013643450,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1588021943,DAKOTA CLINIC PHARMACY LLC,LAURA MORRIS,FARGO,ND,58103,7013647800,DAKOTA CLINIC PHARMACY LLC,7013647800,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1396184750,MD PHARMACY LLC,DUSTIN GROFF,FARGO,ND,58103,7013645690,MD PHARMACY LLC,7013645690,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1881791721,NORTH PRARIE PHARMACIES LLC,LESLIE SATTERLUND,FARGO,ND,58103,7013730325,NORTH PRARIE PHARMACIES LLC,7013730325,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1215026828,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,FARGO,ND,58103,7012355511,WHITE DRUG CO OF JAMESTOWN INC,7012355511,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1376566059,PRESCRIPTION CENTER PHARMACY INC,DAVID OLIG,FARGO,ND,58103,7012343630,PRESCRIPTION CENTER PHARMACY INC,7012343630,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1891855326,SANGER INC,JOHN SANGER,FARGO,ND,58103,7012826510,SANGER INC,7012826510,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1538271549,WW INC,ROSS WILHELM,FARGO,ND,58103,7012933060,WW INC,7012933060,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1528120870,MEDICAL PHARMACY INC,CHAD NELSON,FARGO,ND,58103,7012370322,MEDICAL PHARMACY INC,7012370322,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1487783262,WEST ACRES PHARMACY INC,RODNEY LOBERG,FARGO,ND,58103,7012820285,WEST ACRES PHARMACY INC,7012820285,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1962706036,"INHEALTH SPECIALTY PHARMACY, INC.",DEBORAH LEEDAHL,FARGO,ND,58103,7013656050,"INHEALTH SPECIALTY PHARMACY, INC.",7013656050,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,35.7,16.0,57699,48520,1,21,216.0,246795.0
1982655049,CASSELTON DRUG INC,KATHLEEN NELSON,ARTHUR,ND,58006,7019678900,CASSELTON DRUG INC,7019678900,True,True,"Pharmacy, Community/Retail Pharmacy",9.0,34.1,21.5,89375,512,1,21,216.0,246795.0
1730177510,CASSELTON DRUG INC.,KATHLEEN NELSON,CASSELTON,ND,58012,7013474281,CASSELTON DRUG INC.,7013474281,True,True,"Pharmacy, Community/Retail Pharmacy",8.9,35.0,9.3,78533,2805,1,21,216.0,246795.0
1457419962,JOHNSON DRUG CO,RACHEL KUPFER,FARGO,ND,58102,7012355543,JOHNSON DRUG CO,7012355543,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,34.8,11.6,56028,32591,1,21,216.0,246795.0
1447362454,W W INC,DENA FERMAN,FARGO,ND,58102,7012930221,W W INC,7012930221,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,34.8,11.6,56028,32591,1,21,216.0,246795.0
1477212116,MS4 PLLC,LANELL HAGEN,HORACE,ND,58047,7019975337,MS4 PLLC,7019975337,True,True,"Pharmacy, Community/Retail Pharmacy",8.0,34.5,7.0,142216,5136,1,21,216.0,246795.0
1770626004,HEALTH CENTER PHARMACY LTD,BRANDON ROLLAND,WEST FARGO,ND,58078,7013645800,HEALTH CENTER PHARMACY LTD,7013645800,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,34.0,11.1,97206,39946,1,21,216.0,246795.0
1033208640,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,WEST FARGO,ND,58078,7012815695,WHITE DRUG CO OF JAMESTOWN INC,7012815695,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,34.0,11.1,97206,39946,1,21,216.0,246795.0
1730421256,SKRIPTS PHARMACY PLLC,TRISHA OSS,WEST FARGO,ND,58078,7012812222,SKRIPTS PHARMACY PLLC,7012812222,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,34.0,11.1,97206,39946,1,21,216.0,246795.0
1053879734,"MPND,INC",SHEILA NUDELL,WEST FARGO,ND,58078,7018664779,"MPND,INC",7018664779,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,34.0,11.1,97206,39946,1,21,216.0,246795.0
1891891149,THE PRESCRIPTION SHOP INC,TIMOTHY HOLLAND,WEST FARGO,ND,58078,7012824665,THE PRESCRIPTION SHOP INC,7012824665,True,True,"Pharmacy, Community/Retail Pharmacy",7.4,34.0,11.1,97206,39946,1,21,216.0,246795.0
1730369711,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,FARGO,ND,58104,7014788953,WHITE DRUG CO OF JAMESTOWN INC,7014788953,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1982826756,INTEGRATED HEALTH MARKETING LLC,NATHAN SEIP,FARGO,ND,58104,7013730685,INTEGRATED HEALTH MARKETING LLC,7013730685,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1912416876,LIFESCRIPT PHARMACY PLLC,SIMONNE FONSECA,FARGO,ND,58104,7012054545,LIFESCRIPT PHARMACY PLLC,7012054545,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1346728557,MS4 PLLC,ROSS WILHELM,FARGO,ND,58104,7012933060,MS4 PLLC,7012933060,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1992345391,"PROSPERITY HEALTH PHARMACY, PLLC",VIRGINIA HOWE,FARGO,ND,58104,7018663920,"PROSPERITY HEALTH PHARMACY, PLLC",7018663920,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1912954165,MEDICAL PHARMACY SOUTH INC,LANA KIRSCHENMANN,FARGO,ND,58104,7012828075,MEDICAL PHARMACY SOUTH INC,7012828075,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,33.2,12.9,85014,47481,1,21,216.0,246795.0
1790941342,BELCOURT DRUG INC,CHRISTI RONDEAU,BELCOURT,ND,58316,7014770202,BELCOURT DRUG INC,7014770202,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,51.9,9.7,54611,5902,1,20,216.0,246795.0
1669771523,DUNSEITH DRUG INC,CHRISTI RONDEAU,DUNSEITH,ND,58329,7012440202,DUNSEITH DRUG INC,7012440202,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,50.7,15.0,51283,2779,1,20,216.0,246795.0
1922019686,J & J ENTERPRISES INC,LAURIE THOMPSON,DUNSEITH,ND,58329,7012445212,J & J ENTERPRISES INC,7012445212,True,True,"Pharmacy, Community/Retail Pharmacy",17.9,50.7,15.0,51283,2779,1,20,216.0,246795.0
1235140898,ROLLA DRUG INC,STEVEN MCATEE,ROLLA,ND,58367,7014773174,ROLLA DRUG INC,7014773174,True,True,"Pharmacy, Community/Retail Pharmacy",17.1,47.4,18.2,55313,1485,1,20,216.0,246795.0
1568552404,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,ROLETTE,ND,58366,7012463600,WHITE DRUG CO OF JAMESTOWN INC,7012463600,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,44.6,14.2,89583,793,1,20,216.0,246795.0
1205926144,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,MADDOCK,ND,58348,7014382567,WHITE DRUG CO OF JAMESTOWN INC,7014382567,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,39.1,24.3,61080,801,1,20,216.0,246795.0
1063690774,PHARMACISTS ASSOCIATES LLC,LYLE LUTMAN,NORTHWOOD,ND,58267,7015875271,PHARMACISTS ASSOCIATES LLC,7015875271,True,True,"Pharmacy, Community/Retail Pharmacy",11.7,35.9,24.1,87500,1483,1,18,216.0,246795.0
1164579249,PHARMACISTS ASSOCIATES LLC,LYLE LUTMAN,LARIMORE,ND,58251,7013432461,PHARMACISTS ASSOCIATES LLC,7013432461,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,36.7,23.3,93155,1955,1,18,216.0,246795.0
1689725434,TIOGA DRUG INC,TIM JOYCE,TIOGA,ND,58852,7016642116,TIOGA DRUG INC,7016642116,True,True,"Pharmacy, Community/Retail Pharmacy",9.9,40.2,12.4,67143,2064,1,18,216.0,246795.0
1407946338,WALLS MEDICINE CENTER INC,CODY VARNSON,GRAND FORKS,ND,58201,7017460497,WALLS MEDICINE CENTER INC,7017460497,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1689763294,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,GRAND FORKS,ND,58201,7017754209,WHITE DRUG CO OF JAMESTOWN INC,7017754209,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1316346745,WHITE DRUG CO OF JAMESTOWN INC,ANNE FROISTAD,GRAND FORKS,ND,58201,7017461800,WHITE DRUG CO OF JAMESTOWN INC,7017461800,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1871829028,ALTRU CLINIC PHARMACY - FAMILY MEDICINE CENTER INC,KELLY HULST,GRAND FORKS,ND,58201,7017952020,ALTRU CLINIC PHARMACY - FAMILY MEDICINE CENTER INC,7017952020,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1801328133,EMBRACE PHARMACY INC,SAMANTHA BUCK,GRAND FORKS,ND,58201,7017571552,EMBRACE PHARMACY INC,7017571552,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1962436113,GRAND FORKS CLINIC PHARMACY,STEVEN FINSTROM,GRAND FORKS,ND,58201,7017724875,GRAND FORKS CLINIC PHARMACY,7017724875,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1093841496,THEIGE DRUG INC,JEFF THEIGE,GRAND FORKS,ND,58201,7017461800,THEIGE DRUG INC,7017461800,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1003275348,INSPIRE PHARMACY INC,JUDITH SWISHER,GRAND FORKS,ND,58201,7017574407,INSPIRE PHARMACY INC,7017574407,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
1306931977,B & E PHARMACY SERVICES INC,GEORGE BIRKMAIER,GRAND FORKS,ND,58201,7017724805,B & E PHARMACY SERVICES INC,7017724805,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,35.9,16.0,69120,42003,1,18,216.0,246795.0
