npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1063520443,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,MANCHESTER,NH,03103,6036261233,VICTORY DISTRIBUTORS LLC,6036261233,True,True,"Pharmacy, Community/Retail Pharmacy",10.5,37.2,13.3,70049,37659,1,20,1194.0,1533653.0
1477764439,PHARMACY OPERATIONS INC,DENA FERMAN,PETERBOROUGH,NH,03458,6039249691,PHARMACY OPERATIONS INC,6039249691,True,True,"Pharmacy, Community/Retail Pharmacy",9.8,31.2,28.7,100189,6914,1,20,1194.0,1533653.0
1588727408,RICES PHARMACY INC,ROGER HEBERT,NASHUA,NH,03064,6038825153,RICES PHARMACY INC,6038825153,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,34.5,18.5,91528,14565,1,20,1194.0,1533653.0
1508974981,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,NASHUA,NH,03063,6038896663,VICTORY DISTRIBUTORS LLC,6038896663,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,32.2,16.2,106924,15630,1,20,1194.0,1533653.0
1942395934,MEDICINE WORLD INC,ROBERT LOLLEY,NASHUA,NH,03062,6038819500,MEDICINE WORLD INC,6038819500,True,True,"Pharmacy, Community/Retail Pharmacy",9.0,30.5,20.3,102849,28713,1,20,1194.0,1533653.0
1871690701,HOWES PHARMACY LLC,MICHAEL SAKELARIOS,GOFFSTOWN,NH,03045,6034974771,HOWES PHARMACY LLC,6034974771,True,True,"Pharmacy, Community/Retail Pharmacy",8.8,32.7,20.0,114965,14013,1,20,1194.0,1533653.0
1245348622,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,MANCHESTER,NH,03104,6036274354,VICTORY DISTRIBUTORS LLC,6036274354,True,True,"Pharmacy, Community/Retail Pharmacy",8.7,33.2,15.6,84513,35274,1,20,1194.0,1533653.0
1578671822,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,MANCHESTER,NH,03104,6036442204,VICTORY DISTRIBUTORS LLC,6036442204,True,True,"Pharmacy, Community/Retail Pharmacy",8.7,33.2,15.6,84513,35274,1,20,1194.0,1533653.0
1548013329,"GRANITE STATE COMPOUNDING AND WELLNESS PHARMACY, LLC",NATALIE COTE,AMHERST,NH,03031,6038709618,"GRANITE STATE COMPOUNDING AND WELLNESS PHARMACY, LLC",6038709618,True,True,"Pharmacy, Community/Retail Pharmacy",8.6,31.2,18.9,155125,11873,1,20,1194.0,1533653.0
1154439537,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,BEDFORD,NH,03110,6036222320,VICTORY DISTRIBUTORS LLC,6036222320,True,True,"Pharmacy, Community/Retail Pharmacy",8.5,30.2,17.8,160253,23580,1,20,1194.0,1533653.0
1376088443,MYTILINI ENTERPRISES,CHARLES FANARAS,BEDFORD,NH,03110,6034723919,MYTILINI ENTERPRISES,6034723919,True,True,"Pharmacy, Community/Retail Pharmacy",8.5,30.2,17.8,160253,23580,1,20,1194.0,1533653.0
1174626550,"MYTILINI ENTERPRISES, LLC",CHARLES FANARAS,BEDFORD,NH,03110,6034723919,"MYTILINI ENTERPRISES, LLC",6034723919,True,True,"Pharmacy, Community/Retail Pharmacy",8.5,30.2,17.8,160253,23580,1,20,1194.0,1533653.0
1265749949,APOTHECARY CENTRAL LLC,THOMAS WILMOT,ALLENSTOWN,NH,03275,6032247429,APOTHECARY CENTRAL LLC,6032247429,True,True,"Pharmacy, Community/Retail Pharmacy",10.0,36.4,14.5,84776,12115,1,17,1194.0,1533653.0
1205158490,WARNER PHARMACY,CYNTHIA SNAY,WARNER,NH,03278,6034563556,WARNER PHARMACY,6034563556,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,33.4,21.5,98333,3024,1,17,1194.0,1533653.0
1184853723,MLJC INC,CHRISTINA RASLA,PENACOOK,NH,03303,6035650210,MLJC INC,6035650210,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,34.5,17.4,79688,16368,1,17,1194.0,1533653.0
1821896861,MLJC INC,CHRISTINA RASLA,PENACOOK,NH,03303,6035650210,MLJC INC,6035650210,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,34.5,17.4,79688,16368,1,17,1194.0,1533653.0
1588742092,PENACOOK PHARMACY LLC,ELIZABETH NAVOY,PENACOOK,NH,03303,6037536391,PENACOOK PHARMACY LLC,6037536391,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,34.5,17.4,79688,16368,1,17,1194.0,1533653.0
1437392420,VICTORY DISTRIBUTORS LLC,MICHAEL VAIL,CONCORD,NH,03301,6032282121,VICTORY DISTRIBUTORS LLC,6032282121,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1912043829,MODERN PHARMACY,LYNN KIRSCH,CONCORD,NH,03301,6032243715,MODERN PHARMACY,6032243715,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1639175110,FANARIAN ENTERPRISES LLC,CHARLES FANARAS,CONCORD,NH,03301,6032264848,FANARIAN ENTERPRISES LLC,6032264848,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1659377133,"FANARAS ENTERPRISES, INC",CHARLES FANARAS,CONCORD,NH,03301,6032249591,"FANARAS ENTERPRISES, INC",6032249591,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1598761637,"FANARIAN ENTERPRISES, LLC",JOHN WAKELIN,CONCORD,NH,03301,6034150100,"FANARIAN ENTERPRISES, LLC",6034150100,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1598104358,GRANITE STATE PHARMACY LLC,CHAD BEANE,CONCORD,NH,03301,6032247429,GRANITE STATE PHARMACY LLC,6032247429,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1790025989,"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",LISA WEIR,CONCORD,NH,03301,8554933823,"HEALTHDIRECT INSTITUTIONAL PHARMACY SERVICES, INC.",8554933823,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1679748719,MYTILINI ENTERPRISES LLC,CHARLIE FANARAS,CONCORD,NH,03301,6032242111,MYTILINI ENTERPRISES LLC,6032242111,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1699883074,SHOP N SAVE MASS INC,MILLARD NANCE,CONCORD,NH,03301,6032282121,SHOP N SAVE MASS INC,6032282121,True,True,"Pharmacy, Community/Retail Pharmacy",9.1,33.3,19.5,85943,33987,1,17,1194.0,1533653.0
1043380470,FIRST COLONY CORP,GLENN PERREAULT,NEW LONDON,NH,03257,6035262233,FIRST COLONY CORP,6035262233,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,27.5,32.8,89750,4503,1,17,1194.0,1533653.0
1639420029,ROBERTS SCARLETT PHARMACY INC,KEVIN SCARLETT,NEW LONDON,NH,03257,6035262002,ROBERTS SCARLETT PHARMACY INC,6035262002,True,True,"Pharmacy, Community/Retail Pharmacy",8.4,27.5,32.8,89750,4503,1,17,1194.0,1533653.0
1659423770,SARAH CHAPIN RX LLC,SARAH CHAPIN,HENNIKER,NH,03242,6034283456,SARAH CHAPIN RX LLC,6034283456,True,True,"Pharmacy, Community/Retail Pharmacy",6.2,29.8,17.5,87344,6161,1,17,1194.0,1533653.0
1457372401,SPENCER DRUG STORE,WILLIAM SPENCER,LITTLETON,NH,03561,6034442242,SPENCER DRUG STORE,6034442242,True,True,"Pharmacy, Community/Retail Pharmacy",12.5,30.9,22.7,54545,6031,1,15,1194.0,1533653.0
1568657740,NORTHERN NEW ENGLAND COMPOUNDING PHARMACY,DAVID ROCHEFORT,LITTLETON,NH,03561,6034440094,NORTHERN NEW ENGLAND COMPOUNDING PHARMACY,6034440094,True,True,"Pharmacy, Compounding Pharmacy",12.5,30.9,22.7,54545,6031,1,15,1194.0,1533653.0
1184976961,WHITE MOUNTAIN PHARMACY INC,ADAM KUZMESKUS,LISBON,NH,03585,6038382000,WHITE MOUNTAIN PHARMACY INC,6038382000,True,True,"Pharmacy, Community/Retail Pharmacy",11.0,29.0,23.2,65769,2537,1,15,1194.0,1533653.0
1407885668,"HIGH MOUNTAIN CORPORATION, INC",STEVEN HOCHBERG,LEBANON,NH,03766,6034481778,"HIGH MOUNTAIN CORPORATION, INC",6034481778,True,True,"Pharmacy, Community/Retail Pharmacy",7.7,24.9,19.3,96642,10702,1,15,1194.0,1533653.0
