npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1013296060,SRI SAI GANESH INC,RANJITH BOMPELLI,SALEM,NJ,08079,8569354800,SRI SAI GANESH INC,8569354800,True,True,"Pharmacy, Community/Retail Pharmacy",13.8,36.9,20.4,60375,10696,1,18,257.4,346065.0
1336403773,PENNSCARERX PHARMA INC,YADAGIRI PENDYALA,PENNSVILLE,NJ,08070,8565142638,PENNSCARERX PHARMA INC,8565142638,True,True,"Pharmacy, Community/Retail Pharmacy",11.6,33.3,20.7,74006,12477,1,18,257.4,346065.0
1245255801,SUPER FRESH FOOD MARKETS INC,SUSAN KIJOWSKI,PENNSVILLE,NJ,08070,8569357732,SUPER FRESH FOOD MARKETS INC,8569357732,True,True,Pharmacy,11.6,33.3,20.7,74006,12477,1,18,257.4,346065.0
1154156651,AHY PHARMA INC,YADAGIRI PENDYALA,ELMER,NJ,08318,8568652365,AHY PHARMA INC,8568652365,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,32.6,17.3,87551,12149,1,18,257.4,346065.0
1679238919,LIBERTY HEALTHCARE PHARMACY LLC,FURQAN MUHAMMAD,NEWARK,NJ,07114,9738242627,LIBERTY HEALTHCARE PHARMACY LLC,9738242627,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1790199750,METRO PHARMACY II LLC,RAJESH PIPALIA,NEWARK,NJ,07114,9734240045,METRO PHARMACY II LLC,9734240045,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1649699042,709 ACE PHARMACY,GILADY MORDECHAI,NEWARK,NJ,07114,8622763690,709 ACE PHARMACY,8622763690,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1982870614,METRO PHARMACY II LLC,RAJESH PIPALIA,NEWARK,NJ,07114,9734240045,METRO PHARMACY II LLC,9734240045,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1760457949,FREEDOM PHARMACY INC,JAGRUT DESAI,NEWARK,NJ,07114,9738242627,FREEDOM PHARMACY INC,9738242627,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1346362191,HARMONY PHARMACY & HEALTH CENTER INC,KENNETH CORROON,NEWARK,NJ,07114,9732739510,HARMONY PHARMACY & HEALTH CENTER INC,9732739510,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1538241328,JEMMISON CORP,JERRY ZNAK,NEWARK,NJ,07114,9735899192,JEMMISON CORP,9735899192,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1528089596,SOUTH BROAD DRUGS INC,VINODRAI SHAH,NEWARK,NJ,07114,9738243929,SOUTH BROAD DRUGS INC,9738243929,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,11.6,34167,12658,1,15,257.4,346065.0
1437184926,COLONIAL HEALTH PHARMACY,LATCHMAN RAGHUNADAN,NEWARK,NJ,07108,9738245010,COLONIAL HEALTH PHARMACY,9738245010,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,41.0,9.8,33960,28317,1,15,257.4,346065.0
1629116033,TESH,MOHAMED SOLAMAN,NEWARK,NJ,07108,9733756003,TESH,9733756003,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,41.0,9.8,33960,28317,1,15,257.4,346065.0
1619045986,DAILY-NEED PHARMACY,SHINA BAMIGBADE,NEWARK,NJ,07108,9736231440,DAILY-NEED PHARMACY,9736231440,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,41.0,9.8,33960,28317,1,15,257.4,346065.0
1790840130,ROSE GARDEN NUTRITION INC,AHMED ALY,NEWARK,NJ,07108,9736450388,ROSE GARDEN NUTRITION INC,9736450388,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,41.0,9.8,33960,28317,1,15,257.4,346065.0
1780784967,VAKRATUNDA INC,RASIK NAGRECHA,NEWARK,NJ,07108,9732731100,VAKRATUNDA INC,9732731100,True,True,"Pharmacy, Community/Retail Pharmacy",17.0,41.0,9.8,33960,28317,1,15,257.4,346065.0
1245968353,UNIVERSAL HERITAGE COMPANY LLC,JEPHTE ALEXANDRE,NEWARK,NJ,07106,9735813950,UNIVERSAL HERITAGE COMPANY LLC,9735813950,True,True,"Pharmacy, Community/Retail Pharmacy",15.5,37.1,12.6,48105,35999,1,15,257.4,346065.0
1457334112,SANFORD COMMUNITY PHARMACY LLC,PARESH GANDHI,NEWARK,NJ,07106,9733510099,SANFORD COMMUNITY PHARMACY LLC,9733510099,True,True,"Pharmacy, Community/Retail Pharmacy",15.5,37.1,12.6,48105,35999,1,15,257.4,346065.0
1659174704,EPIC PHARMACY,MAXWELL ATTA,NEWARK,NJ,07112,8003956577,EPIC PHARMACY,8003956577,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1154591485,RACHIT DRUG INCORPORATED,KIRAN DALAL,NEWARK,NJ,07112,9739260191,RACHIT DRUG INCORPORATED,9739260191,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1790790319,RMN INC,DEVANG NAGRECHA,NEWARK,NJ,07112,9739269702,RMN INC,9739269702,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1811299290,"LSC PHARMACY SERVICES, INC.",JOSEPH VOELKEL,NEWARK,NJ,07112,9739267422,"LSC PHARMACY SERVICES, INC.",9739267422,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1891347225,OBENG PHARMACY LLC,ADJE KOFFI,NEWARK,NJ,07112,8622377601,OBENG PHARMACY LLC,8622377601,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1760530968,YAMNA LLC,ANKUR BAROT,NEWARK,NJ,07112,9739264100,YAMNA LLC,9739264100,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1982758330,BETHEL PHARMACY,ADEMOLA SALAMI,NEWARK,NJ,07112,9733910101,BETHEL PHARMACY,9733910101,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1750531596,PRUDENT HEALTH CORPORATION,ARTHUR NABI,NEWARK,NJ,07112,9739913200,PRUDENT HEALTH CORPORATION,9739913200,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,38.3,11.1,55171,27633,1,15,257.4,346065.0
1922064567,VLV ORANGE PHARMACY INC,NAILA AHMED,ORANGE,NJ,07050,9736772800,VLV ORANGE PHARMACY INC,9736772800,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1780293191,ORANGE NEW PHARMACY LLC,METRY HABASHY,ORANGE,NJ,07050,9732661002,ORANGE NEW PHARMACY LLC,9732661002,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1780778191,D & N CORPORATION,DAVID SUNG,ORANGE,NJ,07050,9736760866,D & N CORPORATION,9736760866,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1528438892,JASVIL LLC,PASCHAL IBEKWE,ORANGE,NJ,07050,9736757757,JASVIL LLC,9736757757,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1154970143,ORANGE RX PHARMACY LLC,METRY HABASHY,ORANGE,NJ,07050,9732661002,ORANGE RX PHARMACY LLC,9732661002,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1154405280,O K PHARMACY INC,OSCAR AGYGMANG,ORANGE,NJ,07050,9736757757,O K PHARMACY INC,9736757757,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,36.3,13.5,53109,33856,1,15,257.4,346065.0
1073015467,447 WILLIAM ST LLC,UMESH PATEL,EAST ORANGE,NJ,07017,8625201063,447 WILLIAM ST LLC,8625201063,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,35.4,15.1,61552,40809,1,15,257.4,346065.0
1225074776,GSP PHARMACY INC,PINAL PATEL,EAST ORANGE,NJ,07017,9736760800,GSP PHARMACY INC,9736760800,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,35.4,15.1,61552,40809,1,15,257.4,346065.0
1568853315,MEDCARE PHARMACY INC,NAVDEEP SINGH,EAST ORANGE,NJ,07017,9089371941,MEDCARE PHARMACY INC,9089371941,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,35.4,15.1,61552,40809,1,15,257.4,346065.0
1013069608,AJIM INC,SHIMA IQBAL,EAST ORANGE,NJ,07018,9736736800,AJIM INC,9736736800,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,36.2,14.7,59039,28261,1,15,257.4,346065.0
1417624297,CENTRAL AVE PHARMACY LLC,ELMOATAZBELLAH TAMMAA,EAST ORANGE,NJ,07018,9736665363,CENTRAL AVE PHARMACY LLC,9736665363,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,36.2,14.7,59039,28261,1,15,257.4,346065.0
1265937387,E&M PHARMACY LLC,METRY HABASHY,EAST ORANGE,NJ,07018,9732669900,E&M PHARMACY LLC,9732669900,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,36.2,14.7,59039,28261,1,15,257.4,346065.0
