npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1326577651,BESTCARE PHARMACY-MORA LLC,RANJITHA PALLAPOTHU,MORA,NM,87732,5753875703,BESTCARE PHARMACY-MORA LLC,5753875703,True,True,"Pharmacy, Community/Retail Pharmacy",18.6,33.7,29.6,66087,969,1,24,845.8,1009149.0
1457880114,"BESTCARE PHARMACY-MORA, LLC",VIJAYA KALIDINDI,MORA,NM,87732,5753875703,"BESTCARE PHARMACY-MORA, LLC",5753875703,True,True,"Pharmacy, Community/Retail Pharmacy",18.6,33.7,29.6,66087,969,1,24,845.8,1009149.0
1922520667,BESTCARE PHARMACY CHAMA LLC,RANJITHA PALLAPOTHU,CHAMA,NM,87520,5052682030,BESTCARE PHARMACY CHAMA LLC,5052682030,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,37.8,51.3,59583,1088,1,24,845.8,1009149.0
1477564029,LA FARMACIA,LEO WINK,ESPANOLA,NM,87532,5057532327,LA FARMACIA,5057532327,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,36.5,19.2,57077,19522,1,24,845.8,1009149.0
1407907496,QUINTANAS FAIRVIEW PHARMACY INC,LARRY QUINTANA,ESPANOLA,NM,87532,5057532209,QUINTANAS FAIRVIEW PHARMACY INC,5057532209,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,36.5,19.2,57077,19522,1,24,845.8,1009149.0
1255461182,NAMBE DRUGS INC,HERMAN TRUJILLO,SANTA FE,NM,87506,5054552256,NAMBE DRUGS INC,5054552256,True,True,"Pharmacy, Community/Retail Pharmacy",13.7,25.9,34.4,90504,16055,1,23,845.8,1009149.0
1881709822,KELSEAKER LTD,SUSAN GUINN,SANTA FE,NM,87507,5054716177,KELSEAKER LTD,5054716177,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,28.2,16.7,62955,51109,1,23,845.8,1009149.0
1588972640,NAMBE PHARMACARE SF LLC,BYRON ROBINSON,SANTA FE,NM,87505,5054552256,NAMBE PHARMACARE SF LLC,5054552256,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1114080439,"PHARMACA INTEGRATIVE PHARMACY, INC.",ALISON FARRELL,SANTA FE,NM,87505,5058207467,"PHARMACA INTEGRATIVE PHARMACY, INC.",5058207467,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1679868780,IN YOUR ATMOSPHERE HOLDINGS LLC,MISTY APPLING,SANTA FE,NM,87505,5059837169,IN YOUR ATMOSPHERE HOLDINGS LLC,5059837169,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1043457187,SOUTHWEST C A R E CENTER,JEFFREY THOMAS,SANTA FE,NM,87505,5059898154,SOUTHWEST C A R E CENTER,5059898154,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1386655934,FMC PHARMACY INC,TERRY CATER,SANTA FE,NM,87505,5059834359,FMC PHARMACY INC,5059834359,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1891879938,LOVELACE HEALTH SYSTEMS INC,BRAD TROM,SANTA FE,NM,87505,5057275980,LOVELACE HEALTH SYSTEMS INC,5057275980,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,24.4,33.0,75912,32189,1,23,845.8,1009149.0
1912009259,ZENUN INC,DAVID NUNEZ,SANTA FE,NM,87508,5054668008,ZENUN INC,5054668008,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,24.1,31.8,96767,18745,1,23,845.8,1009149.0
1609336460,SOUTHWEST CARE CENTER,JEFFREY THOMAS,SANTA FE,NM,87501,5057804044,SOUTHWEST CARE CENTER,5057804044,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,23.1,41.0,81229,15409,1,23,845.8,1009149.0
1750403762,KIVA PHARMACY INC.,TOM WHITE,SANTA FE,NM,87501,5059829550,KIVA PHARMACY INC.,5059829550,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,23.1,41.0,81229,15409,1,23,845.8,1009149.0
1336175074,TAOS PHARMACY INC,JAKE MOSSMAN,TAOS,NM,87571,5057583342,TAOS PHARMACY INC,5057583342,True,True,"Pharmacy, Community/Retail Pharmacy",15.7,29.0,31.6,55833,12544,1,22,845.8,1009149.0
1063872455,THE PILL BOX PHARMACY,AMY LOVELL,ALBUQUERQUE,NM,87105,5055084106,THE PILL BOX PHARMACY,5055084106,True,True,"Pharmacy, Community/Retail Pharmacy",15.6,37.3,18.0,49928,54215,1,22,845.8,1009149.0
1942242516,V C ENTERPRISES INC,JOHN CASTILLO,ALBUQUERQUE,NM,87105,5058771620,V C ENTERPRISES INC,5058771620,True,True,"Pharmacy, Community/Retail Pharmacy",15.6,37.3,18.0,49928,54215,1,22,845.8,1009149.0
1770667438,LOVELACE HEALTH SYSTEMS INC,BRAD TROM,ALBUQUERQUE,NM,87105,5057275935,LOVELACE HEALTH SYSTEMS INC,5057275935,True,True,"Pharmacy, Community/Retail Pharmacy",15.6,37.3,18.0,49928,54215,1,22,845.8,1009149.0
1336296805,MAY PHARMACY ISLETA,ALLAN YEH,ALBUQUERQUE,NM,87105,5058732377,MAY PHARMACY ISLETA,5058732377,True,True,"Pharmacy, Community/Retail Pharmacy",15.6,37.3,18.0,49928,54215,1,22,845.8,1009149.0
1992154579,BESTCARE PHARMACY 4 LLC,RANJITHA PALLAPOTHU,QUESTA,NM,87556,5052682033,BESTCARE PHARMACY 4 LLC,5052682033,True,True,Pharmacy,15.5,28.4,30.3,45250,2433,1,22,845.8,1009149.0
1417768094,SANDIA PHARMACY LLC,CONNIE TSUI,ALBUQUERQUE,NM,87108,5056002080,SANDIA PHARMACY LLC,5056002080,True,True,"Pharmacy, Community/Retail Pharmacy",14.3,37.4,17.9,39578,35985,1,22,845.8,1009149.0
