npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1942341896,"EMERALD LAKE, I NC",MARCEL EZEOKE,LAS VEGAS,NV,89106,7026786776,"EMERALD LAKE, I NC",7026786776,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1760266506,UNION HEALTH INC,SANA AFZAL,LAS VEGAS,NV,89106,7029077735,UNION HEALTH INC,7029077735,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1649653874,AMERICAN SPECIALTY PHARMACY INC,ABDUL HAMEED,LAS VEGAS,NV,89106,7029124844,AMERICAN SPECIALTY PHARMACY INC,7029124844,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1568854289,UHS RETAIL PHARMACY LLC,DAVID CHAN,LAS VEGAS,NV,89106,7024254904,UHS RETAIL PHARMACY LLC,7024254904,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1104009182,ASSURED PHARMACY LAS VEGAS INC,ERIC MUTTER,LAS VEGAS,NV,89106,9492229971,ASSURED PHARMACY LAS VEGAS INC,9492229971,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1760485692,"BIOSCRIP PHARMACY, INC.",JAMES MELANCON,LAS VEGAS,NV,89106,7024717828,"BIOSCRIP PHARMACY, INC.",7024717828,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1285934588,MLK PHARMACY INC,SIMA MOGHADAM,LAS VEGAS,NV,89106,7022722278,MLK PHARMACY INC,7022722278,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,41.3,11.8,38848,26440,1,22,492.5,713100.0
1912780610,HIVELLC,YOUJIN SEO,LAUGHLIN,NV,89029,7027095300,HIVELLC,7027095300,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,33.2,38.3,45907,8954,1,22,492.5,713100.0
1063825222,EZYFAST PHARMACY L L C,EZEKIEL KESITILWE,LAUGHLIN,NV,89029,7022981701,EZYFAST PHARMACY L L C,7022981701,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,33.2,38.3,45907,8954,1,22,492.5,713100.0
1528897220,GAY AND LESBIAN COMMUNITY CENTER OF SOUTHERN NEVADA INC,LEANA RAMIREZ,LAS VEGAS,NV,89101,7024769436,GAY AND LESBIAN COMMUNITY CENTER OF SOUTHERN NEVADA INC,7024769436,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1417821513,M. RX LLC,MARTHA OPPONG,LAS VEGAS,NV,89101,7027788087,M. RX LLC,7027788087,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1639940505,NEVADA SPECIALTY PHARMACY,SALMAN AZEEM,LAS VEGAS,NV,89101,7023568493,NEVADA SPECIALTY PHARMACY,7023568493,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1093202046,BENZENE KHEMIKALS,BOBBY BENSON,LAS VEGAS,NV,89101,7027788087,BENZENE KHEMIKALS,7027788087,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1760817167,DUKE PHARMACY LLC,CARY ROSSEL,LAS VEGAS,NV,89101,7029221899,DUKE PHARMACY LLC,7029221899,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1487185005,NEVADA HEALTH RX INC,GREG SUNDEM,LAS VEGAS,NV,89101,7026370817,NEVADA HEALTH RX INC,7026370817,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1306958301,SUN RX DRUGS INC,BRIAN HOLT,LAS VEGAS,NV,89101,7023821166,SUN RX DRUGS INC,7023821166,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,38.9,10.5,38653,44199,1,22,492.5,713100.0
1144619362,TRINITY PHARMACY LLC,SANJAY VEERKAR,LAS VEGAS,NV,89109,8334192921,TRINITY PHARMACY LLC,8334192921,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,34.5,19.9,54917,6924,1,22,492.5,713100.0
1326884289,TRINITY PHARMACY LLC,SANJAY VEERKAR,LAS VEGAS,NV,89109,7027768210,TRINITY PHARMACY LLC,7027768210,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,34.5,19.9,54917,6924,1,22,492.5,713100.0
1790136497,BUDDYS PHARMACY LLC,HEMA PATEL,LAS VEGAS,NV,89109,7028910365,BUDDYS PHARMACY LLC,7028910365,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,34.5,19.9,54917,6924,1,22,492.5,713100.0
1497042600,BY HIS STRIPES INC,RACHEL TUNRAREBI,LAS VEGAS,NV,89109,7028363670,BY HIS STRIPES INC,7028363670,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,34.5,19.9,54917,6924,1,22,492.5,713100.0
1104037548,RYAN'S PHARMACY,RYAN OBREGON,LAS VEGAS,NV,89109,7026500445,RYAN'S PHARMACY,7026500445,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,34.5,19.9,54917,6924,1,22,492.5,713100.0
1346060183,"JTJ MEDICAL SUPPLY, INC",MONIQUE HARLEY-CRUZ,LAS VEGAS,NV,89104,8009392022,"JTJ MEDICAL SUPPLY, INC",8009392022,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1851480404,"OPTUMRX PHARMACY OF NEVADA, INC.",KEVIN BURR,LAS VEGAS,NV,89104,7026504417,"OPTUMRX PHARMACY OF NEVADA, INC.",7026504417,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1285851386,PETERSON FAMILY DRUG LLC,SHARI BOCK,LAS VEGAS,NV,89104,7023827373,PETERSON FAMILY DRUG LLC,7023827373,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1700668274,ALL WESTCARE PHARMACY LLC,TASHIN SHANAN,LAS,NV,89104,7026292212,ALL WESTCARE PHARMACY LLC,7026292212,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1689267692,BLUE FALCON LLC,UGONNA NNODIM,LAS VEGAS,NV,89104,7022093640,BLUE FALCON LLC,7022093640,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1003500158,"JOSEPHINE PHARMACY, LLC",OBIAGELI MOMODU,LAS VEGAS,NV,89104,7024031118,"JOSEPHINE PHARMACY, LLC",7024031118,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1184152274,UNLV MEDICINE,JOANN STROBBE,LAS VEGAS,NV,89104,7029684038,UNLV MEDICINE,7029684038,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1154733905,DIVINE PROVIDENCE INC,MODUPE IROROBEJE,LAS VEGAS,NV,89104,7027783072,DIVINE PROVIDENCE INC,7027783072,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1306220843,DIVINE TOUCH SERVICES PHARMACY & COMPOUNDING,JOSHUA AIGHOBAHI,LAS VEGAS,NV,89104,7023310887,DIVINE TOUCH SERVICES PHARMACY & COMPOUNDING,7023310887,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1447330360,BER CORP.,MARCIE DAVIS,LAS VEGAS,NV,89104,7023821733,BER CORP.,7023821733,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,36.0,13.9,50945,39883,1,22,492.5,713100.0
1962265769,"FAMILY MEDICAL PHARMACY, LLC",KARL VILLALUZ,NORTH LAS VEGAS,NV,89030,3125453805,"FAMILY MEDICAL PHARMACY, LLC",3125453805,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1780478263,HEALTH WORKS PHARMACY,RALPH MARTINEZ,NORTH LAS VEGAS,NV,89030,7255022208,HEALTH WORKS PHARMACY,7255022208,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1982953659,JFGO HEALTH PHARMACIES LLC,UDECHUKWUNYERE CHUKWUKELU,N LAS VEGAS,NV,89030,7024770311,JFGO HEALTH PHARMACIES LLC,7024770311,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1922639582,AARON PHARMACY INC,FELIX EGBASE,NORTH LAS VEGAS,NV,89030,7753728344,AARON PHARMACY INC,7753728344,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1083807069,FARMACIA DEL PUEBLO INC,CHRISTOPHER TYLER,NORTH LAS VEGAS,NV,89030,7023999477,FARMACIA DEL PUEBLO INC,7023999477,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1649608837,SRI CAITANYA NITAI INC,BHARAT PATEL,NORTH LAS VEGAS,NV,89030,7023016503,SRI CAITANYA NITAI INC,7023016503,True,True,"Pharmacy, Community/Retail Pharmacy",15.4,39.2,8.9,46204,52545,1,22,492.5,713100.0
1881486793,NEVADA CARE PHARMACY LLC,THALIA SOKOL,LAS VEGAS,NV,89121,7024622259,NEVADA CARE PHARMACY LLC,7024622259,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,35.4,15.8,54667,67090,1,22,492.5,713100.0
1205228731,FIRST CLASS RX PHARMACY LLC,SANDRA MARTIN,LAS VEGAS,NV,89121,7025340325,FIRST CLASS RX PHARMACY LLC,7025340325,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,35.4,15.8,54667,67090,1,22,492.5,713100.0
1598161408,HEALTHCARE PLUS LLC,COSMAS EZE,LAS VEGAS,NV,89121,7029025400,HEALTHCARE PLUS LLC,7029025400,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,35.4,15.8,54667,67090,1,22,492.5,713100.0
1184346660,SAHARA PHARMACY,WASEEM SARWAR,LAS VEGAS,NV,89121,7029120080,SAHARA PHARMACY,7029120080,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,35.4,15.8,54667,67090,1,22,492.5,713100.0
1801526603,CANYONLANDS COMMUNITY HEALTH CARE,MARI REED,MESQUITE,NV,89027,7028490558,CANYONLANDS COMMUNITY HEALTH CARE,7028490558,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,29.8,39.9,71176,18398,1,22,492.5,713100.0
1750064622,"MESA RIDGE, LLC",SAMUEL WILDE,MESQUITE,NV,89027,7252530103,"MESA RIDGE, LLC",7252530103,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,29.8,39.9,71176,18398,1,22,492.5,713100.0
1104330059,PINNACLE ABSOLUTE CARE,EMMANUEL KODJOE,MESQUITE,NV,89027,7023463844,PINNACLE ABSOLUTE CARE,7023463844,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,29.8,39.9,71176,18398,1,22,492.5,713100.0
1932635844,"OPTUMRX PHARMACY OF NEVADA, INC",KEVIN BURR,LAS VEGAS,NV,89110,7029639400,"OPTUMRX PHARMACY OF NEVADA, INC",7029639400,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1053769703,"QHR PHARMACY 1, LLC",KEVIN CURBELO PRIETO,LAS VEGAS,NV,89110,7023316388,"QHR PHARMACY 1, LLC",7023316388,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1295572881,SW PHARMACY LLC,LYNNA HO,LAS VEGAS,NV,89110,7029292229,SW PHARMACY LLC,7029292229,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1982314688,ALWAYS YOUR PHARMACY LLC,RAIDEL ECHAVARRIA,LAS VEGAS,NV,89110,7023051415,ALWAYS YOUR PHARMACY LLC,7023051415,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1871046482,ALL CITY PHARMACY LLC,GAREN GARAKHANYAN,LAS VEGAS,NV,89110,7254657770,ALL CITY PHARMACY LLC,7254657770,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1316212194,NELLIS CARE PHARMACY INC,SHAHN SHERAFAT,LAS VEGAS,NV,89110,7025316523,NELLIS CARE PHARMACY INC,7025316523,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1538529102,SOUTHWEST PHARMACY LLC,JOHN TRAN,LAS VEGAS,NV,89110,7029292229,SOUTHWEST PHARMACY LLC,7029292229,True,True,"Pharmacy, Community/Retail Pharmacy",14.8,36.4,11.9,54858,67259,1,22,492.5,713100.0
1548925845,ATLAS HEALTHCARE,OBIDIKE IHEANACHO,LAS VEGAS,NV,89169,7025809863,ATLAS HEALTHCARE,7025809863,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,37.8,12.2,39740,21203,1,22,492.5,713100.0
1487434262,DIGNITY SPECIALTY PHARMACY,MODUPE IROROBEJE,LAS VEGAS,NV,89169,9546631759,DIGNITY SPECIALTY PHARMACY,9546631759,True,True,"Pharmacy, Specialty Pharmacy",14.6,37.8,12.2,39740,21203,1,22,492.5,713100.0
1285398099,GREENLEAF PHARMACY LLC,PARAG PATEL,LAS VEGAS,NV,89169,7252543210,GREENLEAF PHARMACY LLC,7252543210,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,37.8,12.2,39740,21203,1,22,492.5,713100.0
1447581913,ADVANCED CARE RX PHARMACY,EGHE IGBINOVIA,LAS VEGAS,NV,89169,7022722709,ADVANCED CARE RX PHARMACY,7022722709,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,37.8,12.2,39740,21203,1,22,492.5,713100.0
1437312964,RAXO DRUG INC,SHARAF HASSEEBULLAH,LAS VEGAS,NV,89169,7023699135,RAXO DRUG INC,7023699135,True,True,"Pharmacy, Community/Retail Pharmacy",14.6,37.8,12.2,39740,21203,1,22,492.5,713100.0
1497597496,APOLLO PHARMACY INC,ROBERT OJEDA,LAS VEGAS,NV,89102,7026056665,APOLLO PHARMACY INC,7026056665,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1679391460,DISTRICT PHARMACY CORPORATION,GEORGE GANGE,LAS VEGAS,NV,89102,4085043193,DISTRICT PHARMACY CORPORATION,4085043193,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1003565938,OMNIA PHARMACY INC,MATHEW EISSA,LAS VEGAS,NV,89102,7024058585,OMNIA PHARMACY INC,7024058585,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1871005041,A1C PHARMACY INC,PETER WONG,LAS VEGAS,NV,89102,7028998097,A1C PHARMACY INC,7028998097,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1760621155,LIFEFIRST PHARMACY,GERALDINE OBIAJULU,LAS VEGAS,NV,89102,7026465433,LIFEFIRST PHARMACY,7026465433,True,True,Pharmacy,14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1194140152,A PHARMACY,AN HA,LAS VEGAS,NV,89102,7026461100,A PHARMACY,7026461100,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1841547411,ALI RAZA LLC,ALI RAZA,LAS VEGAS,NV,89102,7024136500,ALI RAZA LLC,7024136500,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1245345289,AMEX PHARMACY LLC,THUHO NGUYEN,LAS VEGAS,NV,89102,7028899200,AMEX PHARMACY LLC,7028899200,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1548215593,COFII CORPORATION,ROCKELL HANKIN,LAS VEGAS,NV,89102,7023843784,COFII CORPORATION,7023843784,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1427332683,DISCOUNT PHARMACY LLC,ANDY DO,LAS VEGAS,NV,89102,7028762273,DISCOUNT PHARMACY LLC,7028762273,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1932277837,FOOD4LESS OF SOUTHERN CALIFORNIA INC,ANGELA TRUSTER,LAS VEGAS,NV,89102,7028714100,FOOD4LESS OF SOUTHERN CALIFORNIA INC,7028714100,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1457590580,MESA PHARMACY INC,ANDREW DO,LAS VEGAS,NV,89102,7028762273,MESA PHARMACY INC,7028762273,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1093122111,SUNSET PHARMACY LLC,ANDREW DO,LAS VEGAS,NV,89102,7023804160,SUNSET PHARMACY LLC,7023804160,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1023054889,THE VON'S COMPANIES INC,MICHELLE RIVERS,LAS VEGAS,NV,89102,7022589998,THE VON'S COMPANIES INC,7022589998,True,True,"Pharmacy, Community/Retail Pharmacy",14.5,34.8,15.1,48518,37540,1,22,492.5,713100.0
1508628793,VEGAS YOUN PHARMACY LLC,CHANGPA KIM,LAS VEGAS,NV,89103,7252513302,VEGAS YOUN PHARMACY LLC,7252513302,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.4,17.5,48311,49546,1,22,492.5,713100.0
1356882641,REMEDIES PHARMACY INC,SARAH MASHREKY,LAS VEGAS,NV,89103,7027223707,REMEDIES PHARMACY INC,7027223707,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.4,17.5,48311,49546,1,22,492.5,713100.0
1962730168,UNIQUE CARE PHARMACY INC,CHIDI ONYIRIMBA,LAS VEGAS,NV,89103,7025229777,UNIQUE CARE PHARMACY INC,7025229777,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.4,17.5,48311,49546,1,22,492.5,713100.0
1568115608,US PHARMACY LLC,TANIA PRIETO HERNANDEZ,LAS VEGAS,NV,89103,7029164622,US PHARMACY LLC,7029164622,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.4,17.5,48311,49546,1,22,492.5,713100.0
1861741837,W CARE LLC,JOHN OKOYE,LAS VEGAS,NV,89103,7025389388,W CARE LLC,7025389388,True,True,"Pharmacy, Community/Retail Pharmacy",14.2,33.4,17.5,48311,49546,1,22,492.5,713100.0
