npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1174617658,"ALLSCRIPT PHARMACY,INC.",JOHN VINTI,BUFFALO,NY,14204,7168820196,"ALLSCRIPT PHARMACY,INC.",7168820196,True,True,"Pharmacy, Community/Retail Pharmacy",21.0,47.2,22.5,26000,7748,1,22,341.6,443971.0
1386526382,AMANA PHARMACY INC,AHSEN JANJUA,BUFFALO,NY,14212,7168925555,AMANA PHARMACY INC,7168925555,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1548825482,"JERICHO ROAD MINISTRIES, INC.",KAREN DANN,BUFFALO,NY,14212,7165293029,"JERICHO ROAD MINISTRIES, INC.",7165293029,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1730264946,PARKSIDE PHARMACY INC,GREGORY JAY,BUFFALO,NY,14212,7168958811,PARKSIDE PHARMACY INC,7168958811,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1548836711,RAHMA PHARMACY INC,QING LIU,BUFFALO,NY,14212,7168925555,RAHMA PHARMACY INC,7168925555,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1477325595,"STARLING PHARMACY II, INC.",ABDUL CHOWDHURY,BUFFALO,NY,14212,7167702224,"STARLING PHARMACY II, INC.",7167702224,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1538525316,MADINA PHARMACY INC,MOHAMMAD KHAN,BUFFALO,NY,14212,7162422433,MADINA PHARMACY INC,7162422433,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,41.4,12.4,35517,13603,1,22,341.6,443971.0
1679390918,"BD PHARMACY, LLC",JAHID HUSSAIN,BUFFALO,NY,14215,3136830153,"BD PHARMACY, LLC",3136830153,True,True,"Pharmacy, Community/Retail Pharmacy",16.7,43.8,12.3,43326,42813,1,22,341.6,443971.0
1306699699,SUPER CARE PHARMACY INC,MOHAMED NOUR,BUFFALO,NY,14215,7162481105,SUPER CARE PHARMACY INC,7162481105,True,True,"Pharmacy, Community/Retail Pharmacy",16.7,43.8,12.3,43326,42813,1,22,341.6,443971.0
1952651002,HMB II PHARMACY MANAGEMENT LLC,SAMIR DESAI,BUFFALO,NY,14215,7168931428,HMB II PHARMACY MANAGEMENT LLC,7168931428,True,True,"Pharmacy, Community/Retail Pharmacy",16.7,43.8,12.3,43326,42813,1,22,341.6,443971.0
1003139270,HMB PHARMACY MANAGEMENT LLC,RAJ SHAH,BUFFALO,NY,14215,7163322866,HMB PHARMACY MANAGEMENT LLC,7163322866,True,True,"Pharmacy, Community/Retail Pharmacy",16.7,43.8,12.3,43326,42813,1,22,341.6,443971.0
1396460952,"EHS, INC.",PATRICK HILDENBRANDT,BUFFALO,NY,14207,7163057200,"EHS, INC.",7163057200,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,39.2,9.1,38951,25731,1,22,341.6,443971.0
1568418614,BLACK ROCK PHARMACY INC,BRADLEY ARTHUR,BUFFALO,NY,14207,7168763070,BLACK ROCK PHARMACY INC,7168763070,True,True,"Pharmacy, Community/Retail Pharmacy",14.0,39.2,9.1,38951,25731,1,22,341.6,443971.0
