npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1376716464,CHURCH SQUARE PHARMACY INC.,ABDEL ABUKHALIL,CLEVELAND,OH,44103,2167211772,CHURCH SQUARE PHARMACY INC.,2167211772,True,True,"Pharmacy, Community/Retail Pharmacy",26.6,49.7,18.9,24219,13776,1,23,938.1,1109138.0
1841526415,CENTER FOR FAMILIES & CHILDREN,DANIEL FRECH,CLEVELAND,OH,44103,2163259300,CENTER FOR FAMILIES & CHILDREN,2163259300,True,True,"Pharmacy, Community/Retail Pharmacy",26.6,49.7,18.9,24219,13776,1,23,938.1,1109138.0
1457495004,"PZB, LLC",DAVID PERSE,CLEVELAND,OH,44103,2163614212,"PZB, LLC",2163614212,True,True,"Pharmacy, Community/Retail Pharmacy",26.6,49.7,18.9,24219,13776,1,23,938.1,1109138.0
1174635189,SHELIGA DRUG INC,JOSEPH SHELIGA,CLEVELAND,OH,44103,2164311035,SHELIGA DRUG INC,2164311035,True,True,"Pharmacy, Community/Retail Pharmacy",26.6,49.7,18.9,24219,13776,1,23,938.1,1109138.0
1710332085,M.A.G PHARMACY,MICHAEL ASIEDU-GYEKYE,CLEVELAND,OH,44112,2168893628,M.A.G PHARMACY,2168893628,True,True,"Pharmacy, Community/Retail Pharmacy",25.3,48.4,22.7,28957,18493,1,23,938.1,1109138.0
1831417229,RX PHARMACY,KATHY POLLY,EAST CLEVELAND,OH,44112,2162685153,RX PHARMACY,2162685153,True,True,"Pharmacy, Community/Retail Pharmacy",25.3,48.4,22.7,28957,18493,1,23,938.1,1109138.0
1629617352,RITEFYL,SHERIF MANKARYOUS,CLEVELAND,OH,44108,2165383353,RITEFYL,2165383353,True,True,"Pharmacy, Community/Retail Pharmacy",23.4,48.1,19.0,32530,20579,1,23,938.1,1109138.0
1467738732,GARFIELD LOWCOST PHARMACY LLC,ABEDALHAKEEM ABUKHALIL,CLEVELAND,OH,44104,2167954000,GARFIELD LOWCOST PHARMACY LLC,2167954000,True,True,"Pharmacy, Community/Retail Pharmacy",23.2,51.0,17.1,24009,19716,1,23,938.1,1109138.0
1326159484,TSSC INC,DALE WOLLSCHLEGER,CLEVELAND,OH,44104,2162312900,TSSC INC,2162312900,True,True,"Pharmacy, Community/Retail Pharmacy",23.2,51.0,17.1,24009,19716,1,23,938.1,1109138.0
1760688030,DAVE'S SUPERMARKETS INC,JOEL WOLFE,CLEVELAND,OH,44128,2169918648,DAVE'S SUPERMARKETS INC,2169918648,True,True,"Pharmacy, Community/Retail Pharmacy",21.3,45.2,21.4,44615,27611,1,23,938.1,1109138.0
1427478858,THE METROHEALTH SYSTEM,BRANDON DOPPELHEUER,CLEVELAND,OH,44105,2169571601,THE METROHEALTH SYSTEM,2169571601,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,45.8,17.7,38294,33358,1,23,938.1,1109138.0
1053667204,EMMANUEL VENTURES LIMITED LLC,OPEYEMI ADEWESO,CLEVELAND,OH,44105,2166912369,EMMANUEL VENTURES LIMITED LLC,2166912369,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,45.8,17.7,38294,33358,1,23,938.1,1109138.0
1548713175,NAJJAR RX INC.,AMER NAJJAR,CLEVELAND,OH,44105,4408629799,NAJJAR RX INC.,4408629799,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,45.8,17.7,38294,33358,1,23,938.1,1109138.0
1750329264,THE METROHEALTH SYSTEM,DERRICK HOLLINGS,CLEVELAND,OH,44120,2169574052,THE METROHEALTH SYSTEM,2169574052,True,True,"Pharmacy, Community/Retail Pharmacy",18.6,41.8,22.3,46326,34274,1,23,938.1,1109138.0
1639212046,JOHNSTON DRUG INC,ANNE KONTE,EUCLID,OH,44119,2164862744,JOHNSTON DRUG INC,2164862744,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.8,17.4,48268,13495,1,23,938.1,1109138.0
1063873297,THE METROHEALTH SYSTEM,BRANDON DOPPELHEUER,BEDFORD,OH,44146,2167783362,THE METROHEALTH SYSTEM,2167783362,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,39.8,21.3,53049,29474,1,23,938.1,1109138.0
1992270680,UH REGIONAL HOSPITALS,ANTHONY SCHILLERO,BEDFORD,OH,44146,4407353594,UH REGIONAL HOSPITALS,4407353594,True,True,"Pharmacy, Community/Retail Pharmacy",16.8,39.8,21.3,53049,29474,1,23,938.1,1109138.0
1053727545,CHURCH SQUARE PHARMACY INC.,ABDEL ABUKHALIL,CLEVELAND,OH,44135,2164761400,CHURCH SQUARE PHARMACY INC.,2164761400,True,True,"Pharmacy, Community/Retail Pharmacy",15.5,38.6,14.4,48930,27591,1,23,938.1,1109138.0
1669020186,CHURCH SQUARE PHARMACY INC,ABEDALHAKEEM ABUKHALIL,GARFIELD HEIGHTS,OH,44125,2165105649,CHURCH SQUARE PHARMACY INC,2165105649,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,39.5,15.9,55524,29366,1,23,938.1,1109138.0
1225435597,"RAKESH RANJAN MD & ASSOCIATES, INC.",RAKESH RANJAN,GARFIELD HEIGHTS,OH,44125,2165043646,"RAKESH RANJAN MD & ASSOCIATES, INC.",2165043646,True,True,"Pharmacy, Specialty Pharmacy",15.2,39.5,15.9,55524,29366,1,23,938.1,1109138.0
1538438130,MT PLEASANT PHARMACY LLC,MICHAEL ASIEDU-GYEKYE,GARFIELD HEIGHTS,OH,44125,2166724377,MT PLEASANT PHARMACY LLC,2166724377,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,39.5,15.9,55524,29366,1,23,938.1,1109138.0
1568597698,EUCLID FAMILY PHARMACY INC.,TIMOTHY WILLIAMS,EUCLID,OH,44132,2167325860,EUCLID FAMILY PHARMACY INC.,2167325860,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,40.8,15.0,46014,13985,1,23,938.1,1109138.0
1326376310,CHURCH SQUARE PHARMACY INC.,ABDEL ABUKHALIL,CLEVELAND,OH,44109,2166518685,CHURCH SQUARE PHARMACY INC.,2166518685,True,True,"Pharmacy, Community/Retail Pharmacy",15.0,39.8,12.2,43130,38098,1,23,938.1,1109138.0
1942493663,THE METROHEALTH SYSTEM,BRANDON DOPPELHEUER,CLEVELAND,OH,44109,2169573910,THE METROHEALTH SYSTEM,2169573910,True,True,"Pharmacy, Community/Retail Pharmacy",15.0,39.8,12.2,43130,38098,1,23,938.1,1109138.0
