npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1861562944,TYLER DRUG,HOWARD TYLER,WETUMKA,OK,74883,4054523203,TYLER DRUG,4054523203,True,True,"Pharmacy, Community/Retail Pharmacy",18.5,43.3,22.1,41979,2339,1,21,401.7,487031.0
1073525002,"BEST LIFE RX, LLC",JEFFREY YANCHICK,CLAYTON,OK,74536,9185694884,"BEST LIFE RX, LLC",9185694884,True,True,"Pharmacy, Community/Retail Pharmacy",18.4,39.1,29.8,39712,1411,1,21,401.7,487031.0
1407840366,"PRUETT'S CUT-RATE PHARMACY, LLC",RYAN RITTER,ANTLERS,OK,74523,5802985064,"PRUETT'S CUT-RATE PHARMACY, LLC",5802985064,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,39.4,20.4,38333,5632,1,21,401.7,487031.0
1073681896,J & S BINGHAM LLC,SHAWNA BINGHAM,ANTLERS,OK,74523,5802983377,J & S BINGHAM LLC,5802983377,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,39.4,20.4,38333,5632,1,21,401.7,487031.0
1942945175,CRESCENT DRUG AND APOTHECARY LLC,RORY FORINASH,WYNNEWOOD,OK,73098,4056654115,CRESCENT DRUG AND APOTHECARY LLC,4056654115,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,40.1,23.0,61544,3382,1,21,401.7,487031.0
1790897700,CRESCENT DRUG STORE INC,WILLIAM WEBBER,WYNNEWOOD,OK,73098,4056654115,CRESCENT DRUG STORE INC,4056654115,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,40.1,23.0,61544,3382,1,21,401.7,487031.0
1356402424,DAVIDS PHARMACY,MICHAEL PAYNE,WYNNEWOOD,OK,73098,4056654225,DAVIDS PHARMACY,4056654225,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,40.1,23.0,61544,3382,1,21,401.7,487031.0
1255424693,GATRELL 6 ENTERPRISES LLC,GAVIN GATRELL,PAWHUSKA,OK,74056,9182871317,GATRELL 6 ENTERPRISES LLC,9182871317,True,True,"Pharmacy, Community/Retail Pharmacy",16.0,47.7,19.4,49455,4874,1,21,401.7,487031.0
1215958285,EASTSIDE CLINIC PHARMACY,J BRENNAN,LAWTON,OK,73501,5803556400,EASTSIDE CLINIC PHARMACY,5803556400,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,46.8,15.7,49061,20215,1,21,401.7,487031.0
1730230665,KENS RX DISCOUNT PHARMACY,ALECE NEWELL,LAWTON,OK,73501,5803534113,KENS RX DISCOUNT PHARMACY,5803534113,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,46.8,15.7,49061,20215,1,21,401.7,487031.0
1720124936,RICHMARK INC,MARK CORRALES,LAWTON,OK,73501,5803554540,RICHMARK INC,5803554540,True,True,"Pharmacy, Community/Retail Pharmacy",15.3,46.8,15.7,49061,20215,1,21,401.7,487031.0
1881769487,JACK JUSTICE,JULIE JUSTICE,MAYSVILLE,OK,73057,4058674427,JACK JUSTICE,4058674427,True,True,"Pharmacy, Community/Retail Pharmacy",15.2,39.2,25.7,58712,2210,1,21,401.7,487031.0
1437721008,FAIRFAX PHARMACY LLC,KIMBERLY TILLEY,FAIRFAX,OK,74637,9186421200,FAIRFAX PHARMACY LLC,9186421200,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,46.1,23.5,55208,1501,1,21,401.7,487031.0
1982797320,BARLOWS DRUG AND GIFTS INC,DANIEL BARLOW,FAIRFAX,OK,74637,9186423318,BARLOWS DRUG AND GIFTS INC,9186423318,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,46.1,23.5,55208,1501,1,21,401.7,487031.0
1538230354,BAYLESS DRUG INC,JULIE JUSTICE,STRATFORD,OK,74872,5807592312,BAYLESS DRUG INC,5807592312,True,True,"Pharmacy, Community/Retail Pharmacy",15.1,40.0,16.6,54797,3102,1,21,401.7,487031.0
1588150528,"D AND L STRATEGIES, LLC",DENZIL CARNEY,HOMINY,OK,74035,9188852715,"D AND L STRATEGIES, LLC",9188852715,True,True,"Pharmacy, Community/Retail Pharmacy",15.0,50.1,20.1,46026,4031,1,21,401.7,487031.0
