npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1831236991,GORDON'S PHARMACY AND GIFTS LLC,DAVID STEVENS,CANYONVILLE,OR,97417,5418394452,GORDON'S PHARMACY AND GIFTS LLC,5418394452,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,39.9,32.5,46971,2462,1,21,620.4,759653.0
1942020326,SOUTHERN COOS HEALTH DISTRICT,ANTONE EEK,BANDON,OR,97411,5413471325,SOUTHERN COOS HEALTH DISTRICT,5413471325,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,34.5,36.4,48476,7629,1,21,620.4,759653.0
1871644799,SHINDLER'S DRUGSTORE INC.,STEPHEN WILSON,BANDON,OR,97411,5413473707,SHINDLER'S DRUGSTORE INC.,5413473707,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,34.5,36.4,48476,7629,1,21,620.4,759653.0
1427197201,BANDON PHARMACY,DAVID SWENSON,BANDON,OR,97411,5413472222,BANDON PHARMACY,5413472222,True,True,"Pharmacy, Community/Retail Pharmacy",16.5,34.5,36.4,48476,7629,1,21,620.4,759653.0
1962579540,SEMPERTS REXALL DRUG STORE INC,LARRY LENIHAN,MYRTLE POINT,OR,97458,5415725010,SEMPERTS REXALL DRUG STORE INC,5415725010,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,36.6,26.7,51703,4790,1,21,620.4,759653.0
1437294808,STANDIFORD INVESTMENTS LLC,JAMAICA STANDIFORD,REEDSPORT,OR,97467,5412713631,STANDIFORD INVESTMENTS LLC,5412713631,True,True,"Pharmacy, Community/Retail Pharmacy",16.2,38.7,37.9,58333,5300,1,21,620.4,759653.0
1487085932,"VALLEY DRUGS, INC.",JOSHUA DAHLENBURG,WINSTON,OR,97496,5412367060,"VALLEY DRUGS, INC.",5412367060,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,40.6,29.7,55776,7557,1,21,620.4,759653.0
1972265411,DAHISSE INC,JEFFREY HARRELL,MYRTLE CREEK,OR,97457,5413918321,DAHISSE INC,5413918321,True,True,"Pharmacy, Community/Retail Pharmacy",15.9,39.9,27.2,53514,10158,1,21,620.4,759653.0
1356118046,CVH COMMUNITY PHARMACY,JEFFREY LANG,COQUILLE,OR,97423,5413968140,CVH COMMUNITY PHARMACY,5413968140,True,True,"Pharmacy, Community/Retail Pharmacy",14.7,35.1,28.9,57665,5799,1,21,620.4,759653.0
1447232533,MEDICAL PARK PHARMACY,JOHN SVENDSEN,ROSEBURG,OR,97470,5416721800,MEDICAL PARK PHARMACY,5416721800,True,True,"Pharmacy, Community/Retail Pharmacy",13.8,38.3,22.8,53875,18951,1,21,620.4,759653.0
