npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1417915653,ACCREDO HEALTH GROUP INC,VIC PERINI,WARRENDALE,PA,15086,7247726000,ACCREDO HEALTH GROUP INC,7247726000,True,True,Pharmacy,0.0,0.0,29.6,118417,665,1,21,742.5,889269.0
1487119996,"ALLIANCE PA PHARMACY, LLC.",DAVID GRODMAN,WYOMISSING,PA,19610,6103763000,"ALLIANCE PA PHARMACY, LLC.",6103763000,True,True,Pharmacy,0.0,0.0,28.8,91034,16231,1,21,742.5,889269.0
1891831418,TERMED OF BERKS COUNTY INC,TERRY HUDON,BARTO,PA,19504,6108458777,TERMED OF BERKS COUNTY INC,6108458777,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,26.8,100882,5327,1,21,742.5,889269.0
1558729319,"LOST AND FOUND PHARMACY, INC.",SEAN PARSONS,VERONA,PA,15147,4122431369,"LOST AND FOUND PHARMACY, INC.",4122431369,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,26.7,64532,16605,1,21,742.5,889269.0
1518930908,GEORGE M. DOPERAK,GEORGE DOPERAK,TURTLE CREEK,PA,15145,4128249920,GEORGE M. DOPERAK,4128249920,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,26.4,47196,6594,1,21,742.5,889269.0
1609311299,TWINSRX LLC,DAVID TYLAVSKY,TURTLE CREEK,PA,15145,4126462619,TWINSRX LLC,4126462619,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,26.4,47196,6594,1,21,742.5,889269.0
1922160548,PALMER PHARMACY LLC,KAITLYN SULLIVAN,RUSSELLTON,PA,15076,7242651632,PALMER PHARMACY LLC,7242651632,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,25.1,67829,859,1,21,742.5,889269.0
1508925470,JOSEPH DI MATTEO INC,JOSEPH DIMATTEO,OAKMONT,PA,15139,4128269500,JOSEPH DI MATTEO INC,4128269500,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,24.5,89055,6712,1,21,742.5,889269.0
1508938309,TERMED OF BERKS COUNTY INC,EDMOND HUDON,BOYERTOWN,PA,19512,6103693888,TERMED OF BERKS COUNTY INC,6103693888,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,24.4,76036,15420,1,21,742.5,889269.0
1659318582,"BSDS, INC.",LARRY MELLOTT,BOYERTOWN,PA,19512,6103678641,"BSDS, INC.",6103678641,True,True,"Pharmacy, Community/Retail Pharmacy",0.0,0.0,24.4,76036,15420,1,21,742.5,889269.0
