npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1124520994,"ASTHENIS, LLC",EUGENIO FERNANDEZ,PROVIDENCE,RI,02907,4014733958,"ASTHENIS, LLC",4014733958,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,39.6,10.7,49564,31427,1,17,1345.8,1473897.0
1679621676,PRIME DRUG INC,CARMINE DETOMASIS,PROVIDENCE,RI,02907,4015219660,PRIME DRUG INC,4015219660,True,True,"Pharmacy, Community/Retail Pharmacy",15.8,39.6,10.7,49564,31427,1,17,1345.8,1473897.0
1699884726,CENTRAL DRUG INC,DONALD BRIEN,CENTRAL FALLS,RI,02863,4017251641,CENTRAL DRUG INC,4017251641,True,True,"Pharmacy, Community/Retail Pharmacy",15.5,41.3,9.1,45921,22481,1,17,1345.8,1473897.0
1962055004,"PRIME HEALTHCARE SERVICES - LANDMARK ,LLC",KWUN HEUN LEUNG,WOONSOCKET,RI,02895,4017694100,"PRIME HEALTHCARE SERVICES - LANDMARK ,LLC",4017694100,True,True,"Pharmacy, Community/Retail Pharmacy",13.0,36.0,14.1,58579,43081,1,17,1345.8,1473897.0
1316411267,ANTHONY'S PHARMACY LLC,VIRGINIA SOLOMON,PROVIDENCE,RI,02909,4013519495,ANTHONY'S PHARMACY LLC,4013519495,True,True,"Pharmacy, Community/Retail Pharmacy",12.9,38.0,7.8,63950,44445,1,17,1345.8,1473897.0
1528716362,"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC.",RAYMOND LAVOIE,PAWTUCKET,RI,02860,4017220081,"BLACKSTONE VALLEY COMMUNITY HEALTH CARE, INC.",4017220081,True,True,"Pharmacy, Community/Retail Pharmacy",12.8,36.6,13.6,59954,47372,1,17,1345.8,1473897.0
1154138113,CARE NEW ENGLAND PHARMACY LLC,JAMES BURKE,PAWTUCKET,RI,02860,4019219090,CARE NEW ENGLAND PHARMACY LLC,4019219090,True,True,"Pharmacy, Community/Retail Pharmacy",12.8,36.6,13.6,59954,47372,1,17,1345.8,1473897.0
1366578775,FAIRLAWN PHARMACY INC,BEDROS KOOSHERIAN,PAWTUCKET,RI,02860,4017238070,FAIRLAWN PHARMACY INC,4017238070,True,True,"Pharmacy, Community/Retail Pharmacy",12.8,36.6,13.6,59954,47372,1,17,1345.8,1473897.0
1104269372,GARMA LLC,GARY KISHFY,PAWTUCKET,RI,02860,4014403936,GARMA LLC,4014403936,True,True,"Pharmacy, Community/Retail Pharmacy",12.8,36.6,13.6,59954,47372,1,17,1345.8,1473897.0
1225206329,LOUJIL INC,GARY KISHFY,PAWTUCKET,RI,02860,4014755655,LOUJIL INC,4014755655,True,True,"Pharmacy, Community/Retail Pharmacy",12.8,36.6,13.6,59954,47372,1,17,1345.8,1473897.0
1629622634,"LIFESPAN PHARMACY, LLC",PETER MARKELL,PROVIDENCE,RI,02905,4014449909,"LIFESPAN PHARMACY, LLC",4014449909,True,True,"Pharmacy, Specialty Pharmacy",12.7,35.4,14.9,57126,24780,1,17,1345.8,1473897.0
1720197205,PROCARE PHARMACY LLC,SUSAN COLBERT,PROVIDENCE,RI,02905,8005100765,PROCARE PHARMACY LLC,8005100765,True,True,Pharmacy,12.7,35.4,14.9,57126,24780,1,17,1345.8,1473897.0
1093832461,WATSONS PHARMACY,SANDRA PANOSIAN,CRANSTON,RI,02905,4017811313,WATSONS PHARMACY,4017811313,True,True,"Pharmacy, Community/Retail Pharmacy",12.7,35.4,14.9,57126,24780,1,17,1345.8,1473897.0
1245055417,APOTHECO PHARMACY PROVIDENCE LLC,ANUSH AMIN,PROVIDENCE,RI,02904,4014144147,APOTHECO PHARMACY PROVIDENCE LLC,4014144147,True,True,"Pharmacy, Community/Retail Pharmacy",12.4,33.9,18.2,64637,32462,1,17,1345.8,1473897.0
1144792383,LIFESPAN PHARMACY LLC,PETER MARKELL,PROVIDENCE,RI,02904,4014444909,LIFESPAN PHARMACY LLC,4014444909,True,True,"Pharmacy, Community/Retail Pharmacy",12.4,33.9,18.2,64637,32462,1,17,1345.8,1473897.0
1003561655,AJ PHARMACY STORE 02,CHARLES AGWUNOBI,NORTH PROVIDENCE,RI,02904,4013662800,AJ PHARMACY STORE 02,4013662800,True,True,"Pharmacy, Community/Retail Pharmacy",12.4,33.9,18.2,64637,32462,1,17,1345.8,1473897.0
1750862983,GREEN LINE APOTHECARY OF PROVIDENCE LLC,CHRISTINA PROCACCIANTI,PROVIDENCE,RI,02904,4016338100,GREEN LINE APOTHECARY OF PROVIDENCE LLC,4016338100,True,True,"Pharmacy, Community/Retail Pharmacy",12.4,33.9,18.2,64637,32462,1,17,1345.8,1473897.0
1518153014,CCR PHARMACY LLC,PAUL CAPUANO,WARWICK,RI,02886,4018611194,CCR PHARMACY LLC,4018611194,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,32.3,21.1,91037,30925,1,17,1345.8,1473897.0
1265244339,"COMPASS CORE PHARMACY, INC",GREGG JONES,WARWICK,RI,02886,4015306360,"COMPASS CORE PHARMACY, INC",4015306360,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,32.3,21.1,91037,30925,1,17,1345.8,1473897.0
1750455143,BAYVIEW PHARMACY,RYAN DYER,WARWICK,RI,02886,4012844505,BAYVIEW PHARMACY,4012844505,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,32.3,21.1,91037,30925,1,17,1345.8,1473897.0
1417596792,CARE NEW ENGLAND PHARMACY LLC,JOESPH IANNONI,WARWICK,RI,02886,8559811908,CARE NEW ENGLAND PHARMACY LLC,8559811908,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,32.3,21.1,91037,30925,1,17,1345.8,1473897.0
1497560536,COVENTRY PHARMACY INC,HURSH PATEL,COVENTRY,RI,02816,4014249936,COVENTRY PHARMACY INC,4014249936,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,33.7,18.9,97941,33246,1,17,1345.8,1473897.0
1982737649,"PAWTUXET VALLEY PRESCRIPTION & SURGICAL CENTER,INC",MARK GILMORE,COVENTRY,RI,02816,4018215000,"PAWTUXET VALLEY PRESCRIPTION & SURGICAL CENTER,INC",4018215000,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,33.7,18.9,97941,33246,1,17,1345.8,1473897.0
1790076651,"APOTHACA, INC.",DAVID HUGHES,COVENTRY,RI,02816,4014813001,"APOTHACA, INC.",4014813001,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,33.7,18.9,97941,33246,1,17,1345.8,1473897.0
1245373307,SUBURBAN PHARMACY INC,NICHOLAS SHANOS,WARWICK,RI,02888,4017812110,SUBURBAN PHARMACY INC,4017812110,True,True,"Pharmacy, Community/Retail Pharmacy",12.0,33.5,20.3,88750,18951,1,17,1345.8,1473897.0
1366190506,ANTHONY'S PHARMACY ATWOOD LLC,VIRGINIA SOLOMON,JOHNSTON,RI,02919,4013519495,ANTHONY'S PHARMACY ATWOOD LLC,4013519495,True,True,"Pharmacy, Community/Retail Pharmacy",11.2,31.8,21.1,87811,29473,1,17,1345.8,1473897.0
