npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1619949369,BISHOPVILLE DRUG CO INC,WILLIAM FREEMAN,BISHOPVILLE,SC,29010,8034843784,BISHOPVILLE DRUG CO INC,8034843784,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,44.6,19.1,41513,11564,1,24,611.7,778311.0
1942314927,BISHOPVILLE DRUG CO INC,KIMBERLY ARD,BISHOPVILLE,SC,29010,8034843784,BISHOPVILLE DRUG CO INC,8034843784,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,44.6,19.1,41513,11564,1,24,611.7,778311.0
1982087318,CARESOUTH,ASHLEY SINGLETON,BISHOPVILLE,SC,29010,8434845317,CARESOUTH,8434845317,True,True,"Pharmacy, Community/Retail Pharmacy",20.8,44.6,19.1,41513,11564,1,24,611.7,778311.0
1417356320,HOLLY STREET DRUGS LLC,RACHEL OSTEEN,HOLLY HILL,SC,29059,8034960007,HOLLY STREET DRUGS LLC,8034960007,True,True,"Pharmacy, Community/Retail Pharmacy",22.8,45.3,27.9,37993,5234,1,22,611.7,778311.0
1518351139,"HOLLY STREET DRUGS, LLC",RACHEL OSTEEN,HOLLY HILL,SC,29059,8034960007,"HOLLY STREET DRUGS, LLC",8034960007,True,True,"Pharmacy, Community/Retail Pharmacy",22.8,45.3,27.9,37993,5234,1,22,611.7,778311.0
1881797900,CHUCKS PHARMACY INC,RACHEL OSTEEN,HOLLY HILL,SC,29059,8034960007,CHUCKS PHARMACY INC,8034960007,True,True,"Pharmacy, Community/Retail Pharmacy",22.8,45.3,27.9,37993,5234,1,22,611.7,778311.0
1740438647,EUTAWVILLE PHARMACY,SHERRY PARSONS,EUTAWVILLE,SC,29048,8034929201,EUTAWVILLE PHARMACY,8034929201,True,True,"Pharmacy, Community/Retail Pharmacy",22.3,43.8,27.1,42672,4680,1,22,611.7,778311.0
1356393771,BRIDGERS DRUG STORE & GIFTS LLC,BRENT HASTY,MARION,SC,29571,8434232682,BRIDGERS DRUG STORE & GIFTS LLC,8434232682,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,45.8,22.0,35340,13788,1,22,611.7,778311.0
1386277846,CAROLINA PHARMACY INC.,CHARLES WISE,MARION,SC,29571,8439337298,CAROLINA PHARMACY INC.,8439337298,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,45.8,22.0,35340,13788,1,22,611.7,778311.0
1912095068,PROFESSIONAL PHARMACY OF MARION INC,THOMAS FULLER,MARION,SC,29571,8434231882,PROFESSIONAL PHARMACY OF MARION INC,8434231882,True,True,"Pharmacy, Community/Retail Pharmacy",22.1,45.8,22.0,35340,13788,1,22,611.7,778311.0
1942335013,MORGAN'S PHARMACY,REBECCA MORGAN,SPRINGFIELD,SC,29146,8032583356,MORGAN'S PHARMACY,8032583356,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,43.6,20.1,36591,1295,1,22,611.7,778311.0
1912963745,ELLOREE PHARMACY LLC,VAN HIGH,ELLOREE,SC,29047,8038972131,ELLOREE PHARMACY LLC,8038972131,True,True,"Pharmacy, Community/Retail Pharmacy",20.9,42.9,30.4,34964,3745,1,22,611.7,778311.0
1649478025,BOLAND PHARMACY,JULIAN BOLAND,ELLOREE,SC,29047,8038972133,BOLAND PHARMACY,8038972133,True,True,"Pharmacy, Community/Retail Pharmacy",20.9,42.9,30.4,34964,3745,1,22,611.7,778311.0
1578644076,DANIELS PHAMRACY OF NORWAY,JOSEPH WILLIAMSON,NORWAY,SC,29113,8032634795,DANIELS PHAMRACY OF NORWAY,8032634795,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,43.0,13.9,50455,2186,1,22,611.7,778311.0
1063581304,RANDY B BOLAND,CAROLYN BOLAND,BOWMAN,SC,29018,8038292547,RANDY B BOLAND,8038292547,True,True,"Pharmacy, Community/Retail Pharmacy",20.1,42.8,17.0,39694,3374,1,22,611.7,778311.0
1942250816,FAIRFAX PHARMACY INC.,CAROL DAVIS,FAIRFAX,SC,29827,8036322055,FAIRFAX PHARMACY INC.,8036322055,True,True,"Pharmacy, Community/Retail Pharmacy",20.0,44.6,21.3,44688,3792,1,22,611.7,778311.0
1922198902,H & M HEALTHCARE INC,KYLE MCHUGH,NORTH,SC,29112,8032472133,H & M HEALTHCARE INC,8032472133,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,42.2,19.5,44214,3718,1,22,611.7,778311.0
