npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1023340767,BURKE COMMUNITY PHARMACY INC.,RENEE SUTTON,MISSION,SD,57555,6058562120,BURKE COMMUNITY PHARMACY INC.,6058562120,True,True,"Pharmacy, Community/Retail Pharmacy",20.7,49.6,9.3,38772,3530,1,22,339.3,398981.0
1205973732,JAMES PHARMACY INC,DANIEL FIEBELKORN,WAGNER,SD,57380,6053843541,JAMES PHARMACY INC,6053843541,True,True,"Pharmacy, Community/Retail Pharmacy",16.7,42.3,16.4,63309,3335,1,21,339.3,398981.0
1265599617,WOLLMAN INC,DENNIS WOLLMAN,LAKE ANDES,SD,57356,6054877685,WOLLMAN INC,6054877685,True,True,"Pharmacy, Community/Retail Pharmacy",16.1,42.4,17.5,52647,2021,1,21,339.3,398981.0
1376589176,HOFFMAN DRUG INC,TIFFANY MAYDEW,PLATTE,SD,57369,6053373662,HOFFMAN DRUG INC,6053373662,True,True,Pharmacy,12.4,36.7,19.4,76292,2605,1,21,339.3,398981.0
1932651122,AVERA ST. MARY'S,SHANTEL KREBS,PIERRE,SD,57501,6052247334,AVERA ST. MARY'S,6052247334,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.3,17.6,79224,17456,1,20,339.3,398981.0
1508693748,COMMUNITY PHARMACIES INC.,JAMES STEPHENS,PIERRE,SD,57501,6052240907,COMMUNITY PHARMACIES INC.,6052240907,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.3,17.6,79224,17456,1,20,339.3,398981.0
1114628393,JLF ENTERPRISES INC,KRISTEN CARTER,PIERRE,SD,57501,6052247396,JLF ENTERPRISES INC,6052247396,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.3,17.6,79224,17456,1,20,339.3,398981.0
1730284845,VAN R INC,LOUIE VAN ROEKEL,PIERRE,SD,57501,6052246000,VAN R INC,6052246000,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,34.3,17.6,79224,17456,1,20,339.3,398981.0
1609009562,COMMUNITY PHARMACIES INC,JAMES STEPHENS,EAGLE BUTTE,SD,57625,6059648955,COMMUNITY PHARMACIES INC,6059648955,True,True,"Pharmacy, Community/Retail Pharmacy",19.9,46.0,8.5,49643,3857,1,19,339.3,398981.0
1144243270,"FAMILY PHARMACY OF MOBRIDGE , INC",SARAH ANDERSEN,MOBRIDGE,SD,57601,6058453345,"FAMILY PHARMACY OF MOBRIDGE , INC",6058453345,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,35.2,22.0,63396,3483,1,19,339.3,398981.0
1407959539,FAMILY PHARMACY OF MOBRIDGE INC,LEVI JENSEN,MOBRIDGE,SD,57601,6058458140,FAMILY PHARMACY OF MOBRIDGE INC,6058458140,True,True,"Pharmacy, Community/Retail Pharmacy",13.2,35.2,22.0,63396,3483,1,19,339.3,398981.0
