npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1033244835,TAYLOR BROS PHARMACY LLC,JOSEPH OWEN,RIDGELY,TN,38080,7312645651,TAYLOR BROS PHARMACY LLC,7312645651,True,True,"Pharmacy, Community/Retail Pharmacy",20.5,44.4,21.3,33750,2492,1,23,530.4,673194.0
1598217275,TAYLOR BROTHERS PHARMACY LLC,JOSEPH OWEN,TIPTONVILLE,TN,38079,7312645651,TAYLOR BROTHERS PHARMACY LLC,7312645651,True,True,"Pharmacy, Community/Retail Pharmacy",19.9,49.3,12.9,28750,4450,1,23,530.4,673194.0
1023583747,TIPTONVILLE FAMILY PHARMACY,JOHN MANCELL,TIPTONVILLE,TN,38079,7312530153,TIPTONVILLE FAMILY PHARMACY,7312530153,True,True,"Pharmacy, Community/Retail Pharmacy",19.9,49.3,12.9,28750,4450,1,23,530.4,673194.0
1154336758,T & W INCORPORATED,JC WILLIAMS,TIPTONVILLE,TN,38079,7312537411,T & W INCORPORATED,7312537411,True,True,"Pharmacy, Community/Retail Pharmacy",19.9,49.3,12.9,28750,4450,1,23,530.4,673194.0
1770525586,CHAMPIONS PHARMACY,CHARLES CHAMPION,MEMPHIS,TN,38106,9019486622,CHAMPIONS PHARMACY,9019486622,True,True,"Pharmacy, Community/Retail Pharmacy",28.5,51.6,18.2,29818,21827,1,22,530.4,673194.0
1629809827,"FAITH MERCY & HOPE PHARMACY, PLLC",OLAYINKA ADEYEMO,MEMPHIS,TN,38116,9016481144,"FAITH MERCY & HOPE PHARMACY, PLLC",9016481144,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,47.6,16.0,44663,41393,1,22,530.4,673194.0
1851474266,"SUPER D DRUGS ACQUISITION, CO.",GARY BOONE,MEMPHIS,TN,38116,9013984115,"SUPER D DRUGS ACQUISITION, CO.",9013984115,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,47.6,16.0,44663,41393,1,22,530.4,673194.0
1437216694,METHODIST HEALTHCARE-MEMPHIS HOSPITALS,LARRY FOGARTY,MEMPHIS,TN,38105,9012876050,METHODIST HEALTHCARE-MEMPHIS HOSPITALS,9012876050,True,True,"Pharmacy, Community/Retail Pharmacy",21.7,46.1,15.8,29316,5151,1,22,530.4,673194.0
1396631404,TRI STATE COMMUNITY HEALTH CENTER,TAMIKA RUSSELL,MEMPHIS,TN,38118,9015721573,TRI STATE COMMUNITY HEALTH CENTER,9015721573,True,True,"Pharmacy, Community/Retail Pharmacy",20.3,47.7,8.5,42464,39162,1,22,530.4,673194.0
1023120037,JOSEPH R ELLIS,JOSEPH ELLIS,MEMPHIS,TN,38118,9013630750,JOSEPH R ELLIS,9013630750,True,True,"Pharmacy, Community/Retail Pharmacy",20.3,47.7,8.5,42464,39162,1,22,530.4,673194.0
1710372214,GETWELL PHARMACY LLC,DANIEL APELIAN,MEMPHIS,TN,38118,9013081050,GETWELL PHARMACY LLC,9013081050,True,True,"Pharmacy, Community/Retail Pharmacy",20.3,47.7,8.5,42464,39162,1,22,530.4,673194.0
1124039706,CASTLE RETAIL GROUP LLC,LEAONARD ENGELBERG,MEMPHIS,TN,38118,9013665313,CASTLE RETAIL GROUP LLC,9013665313,True,True,"Pharmacy, Community/Retail Pharmacy",20.3,47.7,8.5,42464,39162,1,22,530.4,673194.0
