npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1073272852,"MAIN STREET DRUG & BOUTIQUE, INC.",TYLER GILSON,MONTICELLO,UT,84535,4355872302,"MAIN STREET DRUG & BOUTIQUE, INC.",4355872302,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,30.1,19.0,71357,2669,1,20,299.2,366432.0
1487363214,MAIN STREET PHARMACARE LLC,BYRON ROBINSON,MONTICELLO,UT,84535,4355872302,MAIN STREET PHARMACARE LLC,4355872302,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,30.1,19.0,71357,2669,1,20,299.2,366432.0
1215144308,SAN JUAN PHARMACY MONTICELLO INC.,TIM YOUNG,MONTICELLO,UT,84535,4355872302,SAN JUAN PHARMACY MONTICELLO INC.,4355872302,True,True,"Pharmacy, Community/Retail Pharmacy",11.9,30.1,19.0,71357,2669,1,20,299.2,366432.0
1205929650,SAN JUAN PHARMACY INC,DANA NIELSON,BLANDING,UT,84511,4356782781,SAN JUAN PHARMACY INC,4356782781,True,True,"Pharmacy, Community/Retail Pharmacy",11.4,30.4,14.8,62015,4248,1,20,299.2,366432.0
1790157261,GLOBAL MEDICAL THERAPEUTICS INC,MAYSAM MORTAZAVI,SALT LAKE CITY,UT,84104,8019354305,GLOBAL MEDICAL THERAPEUTICS INC,8019354305,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,35.9,9.7,61326,24057,1,19,299.2,366432.0
1669123279,"NOMI PHARMA, LLC",JOSHUA WALKER,SALT LAKE CITY,UT,84120,3853756555,"NOMI PHARMA, LLC",3853756555,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.2,10.3,90847,50589,1,19,299.2,366432.0
1558374462,HARMON CITY INC,GREGORY JONES,WEST VALLEY CITY,UT,84120,8019661497,HARMON CITY INC,8019661497,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.2,10.3,90847,50589,1,19,299.2,366432.0
1134893217,"PHARMACARE, LLC",STEPHEN BROWN,WEST VALLEY CITY,UT,84120,3855576747,"PHARMACARE, LLC",3855576747,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.2,10.3,90847,50589,1,19,299.2,366432.0
1093685273,"PHARMACARE, LLC",STEPHEN BROWN,WEST VALLEY CITY,UT,84120,3855576747,"PHARMACARE, LLC",3855576747,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.2,10.3,90847,50589,1,19,299.2,366432.0
1780695338,GRANGER CLINIC PHARMACY INC,MELISSA YOUNG,WEST VALLEY CITY,UT,84120,8019653639,GRANGER CLINIC PHARMACY INC,8019653639,True,True,"Pharmacy, Community/Retail Pharmacy",10.9,33.2,10.3,90847,50589,1,19,299.2,366432.0
