npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1619048410,COMMONWEALTH PHARMACY,DONALD RODDEN,DANVILLE,VA,24540,4348367144,COMMONWEALTH PHARMACY,4348367144,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,42.4,23.1,47207,31491,1,21,774.1,927995.0
1508134628,PIEDMONT PHARMACY INC,VANCE KISER,DANVILLE,VA,24540,4347913784,PIEDMONT PHARMACY INC,4347913784,True,True,"Pharmacy, Community/Retail Pharmacy",19.7,42.4,23.1,47207,31491,1,21,774.1,927995.0
1679261200,ALLIANCE PHARMACY AND WELLNESS INC,NAKRY OEUR,PORTSMOUTH,VA,23704,7577345550,ALLIANCE PHARMACY AND WELLNESS INC,7577345550,True,True,"Pharmacy, Community/Retail Pharmacy",19.2,44.0,15.6,44739,19235,1,21,774.1,927995.0
1295446656,"PORTSMOUTH COMMUNITY HEALTH CENTER, INC.",MICHEL BILE,PORTSMOUTH,VA,23704,7576005010,"PORTSMOUTH COMMUNITY HEALTH CENTER, INC.",7576005010,True,True,"Pharmacy, Community/Retail Pharmacy",19.2,44.0,15.6,44739,19235,1,21,774.1,927995.0
1295729192,DRUG CENTER PHARMACY INC,RONALD WOODS,PORTSMOUTH,VA,23704,7573934039,DRUG CENTER PHARMACY INC,7573934039,True,True,"Pharmacy, Community/Retail Pharmacy",19.2,44.0,15.6,44739,19235,1,21,774.1,927995.0
1851369557,SNAPP LEE INC.,KENT SNAPP,WEBER CITY,VA,24290,2763863482,SNAPP LEE INC.,2763863482,True,True,"Pharmacy, Community/Retail Pharmacy",19.0,39.2,29.7,60529,2276,1,21,774.1,927995.0
1538235296,SCOTT COUNTY DRUG,PATRICIA NOE,WEBER CITY,VA,24290,2763863161,SCOTT COUNTY DRUG,2763863161,True,True,"Pharmacy, Community/Retail Pharmacy",19.0,39.2,29.7,60529,2276,1,21,774.1,927995.0
1962590554,WOODFINS PHARMACY,ANDREW DOHERTY,CHATHAM,VA,24531,4344322711,WOODFINS PHARMACY,4344322711,True,True,"Pharmacy, Community/Retail Pharmacy",18.9,43.8,23.1,46706,9107,1,21,774.1,927995.0
1003134420,COMMONWEALTH PHARMACY CHATHAM INC,DONALD RODDEN,CHATHAM,VA,24531,4344322094,COMMONWEALTH PHARMACY CHATHAM INC,4344322094,True,True,"Pharmacy, Community/Retail Pharmacy",18.9,43.8,23.1,46706,9107,1,21,774.1,927995.0
1306164835,CHATHAM FAMILY PHARMACY,JERRY HARPER,CHATHAM,VA,24531,4344320780,CHATHAM FAMILY PHARMACY,4344320780,True,True,"Pharmacy, Community/Retail Pharmacy",18.9,43.8,23.1,46706,9107,1,21,774.1,927995.0
1528899143,"INMAN PHARMACY, INC",DAVID INMAN,DANVILLE,VA,24541,4347701591,"INMAN PHARMACY, INC",4347701591,True,True,"Pharmacy, Community/Retail Pharmacy",18.4,39.7,20.4,49292,28151,1,21,774.1,927995.0
1093674046,"INMAN PHARMACY, INC",DAVID INMAN,DANVILLE,VA,24541,4344230180,"INMAN PHARMACY, INC",4344230180,True,True,"Pharmacy, Community/Retail Pharmacy",18.4,39.7,20.4,49292,28151,1,21,774.1,927995.0
