npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1619790425,SPRINGFIELD MEDICAL CARE SYSTEMS INC,JOEL WRIGHT,SPRINGFIELD,VT,05156,8332191535,SPRINGFIELD MEDICAL CARE SYSTEMS INC,8332191535,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,32.2,22.0,64292,9028,1,14,597.8,772789.0
1093721201,MAXI GREEN INC,JENNIFER ZOREK,SPRINGFIELD,VT,05156,8028851065,MAXI GREEN INC,8028851065,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,32.2,22.0,64292,9028,1,14,597.8,772789.0
1093075145,RIVER STREET PHARMACY INC,JASON HOCHBERG,SPRINGFIELD,VT,05156,8028856800,RIVER STREET PHARMACY INC,8028856800,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,32.2,22.0,64292,9028,1,14,597.8,772789.0
1235168485,SPRINGFIELD PHARMACY INC,STEVE HOCHBERG,SPRINGFIELD,VT,05156,8028856400,SPRINGFIELD PHARMACY INC,8028856400,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,32.2,22.0,64292,9028,1,14,597.8,772789.0
1295044840,SMITH & PECK PHARMACY MANAGEMENT SERVICES INC,LESTER PECK,SPRINGFIELD,VT,05156,8028854222,SMITH & PECK PHARMACY MANAGEMENT SERVICES INC,8028854222,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,32.2,22.0,64292,9028,1,14,597.8,772789.0
1023312964,LUDLOW PHARMACY INC,JASON HOCHBERG,LUDLOW,VT,05149,8022282500,LUDLOW PHARMACY INC,8022282500,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,28.3,30.2,63098,2171,1,14,597.8,772789.0
1285640490,MAXI GREEN INC,JENNIFER ZOREK,LUDLOW,VT,05149,8022288477,MAXI GREEN INC,8022288477,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,28.3,30.2,63098,2171,1,14,597.8,772789.0
1558372797,MAXI GREEN INC,JENNIFER ZOREK,BETHEL,VT,05032,8022345289,MAXI GREEN INC,8022345289,True,True,"Pharmacy, Community/Retail Pharmacy",9.7,29.2,17.4,86964,2879,1,14,597.8,772789.0
1023115862,WOODSTOCK PHARMACY INC,JAMES MARMAR,WOODSTOCK,VT,05091,8024571306,WOODSTOCK PHARMACY INC,8024571306,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,27.3,30.9,115875,3387,1,14,597.8,772789.0
1407447014,OTTAUQUECHEE PHARMACY INC,STEVEN HOCHBERG,WOODSTOCK,VT,05091,8027752545,OTTAUQUECHEE PHARMACY INC,8027752545,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,27.3,30.9,115875,3387,1,14,597.8,772789.0
1992927479,"SHIRE APOTHECARY, INC.",IMANTS VITOLS,WOODSTOCK,VT,05091,8024572707,"SHIRE APOTHECARY, INC.",8024572707,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,27.3,30.9,115875,3387,1,14,597.8,772789.0
1376559583,MAXI GREEN INC,JENNIFER ZOREK,WINDSOR,VT,05089,8026742789,MAXI GREEN INC,8026742789,True,True,"Pharmacy, Community/Retail Pharmacy",9.4,29.2,27.7,53872,4498,1,14,597.8,772789.0
1295141919,REMEDIES PHARMACY LLC,MICHELLE GODWIN,SOUTH HERO,VT,05486,8023785442,REMEDIES PHARMACY LLC,8023785442,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,29.3,25.8,133750,1536,1,12,597.8,772789.0
1790866010,SOUTH HERO PHARMACY LLC,AUDREY MCGREGOR REARDON,SOUTH HERO,VT,05486,8023725377,SOUTH HERO PHARMACY LLC,8023725377,True,True,"Pharmacy, Community/Retail Pharmacy",9.3,29.3,25.8,133750,1536,1,12,597.8,772789.0
1245776194,"SMITH MANAGEMENT SERVICES, LLC",BRIAN PURSCELL,VERGENNES,VT,05491,8028771190,"SMITH MANAGEMENT SERVICES, LLC",8028771190,True,True,"Pharmacy, Community/Retail Pharmacy",8.6,28.7,23.0,91053,5750,1,9,597.8,772789.0
1053857904,"SMITH MANAGEMENT SERVICES, LLC",BRIAN PURSCELL,BRISTOL,VT,05443,8024532999,"SMITH MANAGEMENT SERVICES, LLC",8024532999,True,True,"Pharmacy, Community/Retail Pharmacy",8.5,29.1,19.9,91458,6353,1,9,597.8,772789.0
1235675182,SMITH MANAGEMENT SERVICES LLC,BRIAN PURSCELL,MIDDLEBURY,VT,05753,8023883784,SMITH MANAGEMENT SERVICES LLC,8023883784,True,True,"Pharmacy, Community/Retail Pharmacy",7.2,25.3,21.9,87340,11031,1,9,597.8,772789.0
1114082153,ST JAY PHARMACY INC,DENNIS STRAIGHT,WELLS RIVER,VT,05081,8027572244,ST JAY PHARMACY INC,8027572244,True,True,"Pharmacy, Community/Retail Pharmacy",11.8,34.3,25.7,56971,775,1,8,597.8,772789.0
1265420913,"RICHFORD HEALTH CENTER, INC.",KATHY BENOIT,RICHFORD,VT,05476,8022555530,"RICHFORD HEALTH CENTER, INC.",8022555530,True,True,"Pharmacy, Community/Retail Pharmacy",11.3,38.8,17.4,61944,3217,1,8,597.8,772789.0
1255440327,HARBOR PHARMACY,RICHARD ABEL,BOMOSEEN,VT,05732,8024685777,HARBOR PHARMACY,8024685777,True,True,"Pharmacy, Community/Retail Pharmacy",11.2,35.4,26.4,30625,1229,1,8,597.8,772789.0
1538310289,JMS PHARMACY MANAGEMENT INC,JASON SMITH,BOMOSEEN,VT,05732,8024685800,JMS PHARMACY MANAGEMENT INC,8024685800,True,True,"Pharmacy, Community/Retail Pharmacy",11.2,35.4,26.4,30625,1229,1,8,597.8,772789.0
1760700538,COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION INC,STEFANIE BUFFUM,BRANDON,VT,05733,8024650011,COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION INC,8024650011,True,True,"Pharmacy, Community/Retail Pharmacy",10.8,35.6,23.1,65673,5970,1,8,597.8,772789.0
1487715306,"WM BROWN PHARMACY, INC",WILLIAM BROWN,BRANDON,VT,05733,8022476152,"WM BROWN PHARMACY, INC",8022476152,True,True,"Pharmacy, Community/Retail Pharmacy",10.8,35.6,23.1,65673,5970,1,8,597.8,772789.0
1689473399,COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION,RYAN WALTZER,RUTLAND,VT,05701,8027754321,COMMUNITY HEALTH CENTERS OF THE RUTLAND REGION,8027754321,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1922048768,HIGH MOUNTAIN CORPORATION,STEVEN HOCHBERG,RUTLAND,VT,05701,8027752545,HIGH MOUNTAIN CORPORATION,8027752545,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1497768741,THE GOLUB CORPORATION,SCOTT GUISINGER,RUTLAND,VT,05701,8027477887,THE GOLUB CORPORATION,8027477887,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1780639633,JOHN M BOVE,PATRICIA ABATIELL-BOVE,MENDON,VT,05701,8027733888,JOHN M BOVE,8027733888,True,True,Pharmacy,10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1346285921,BEAUCHAMP & O'ROURKE INC.,BARRY BEAUCHAMP,RUTLAND,VT,05701,8027754321,BEAUCHAMP & O'ROURKE INC.,8027754321,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1346786290,"SMITH MANAGEMENT SERVICES, LLC",ROY MEIDINGER,RUTLAND,VT,05701,8027753351,"SMITH MANAGEMENT SERVICES, LLC",8027753351,True,True,Pharmacy,10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1730293507,RJW INC,RICHARD WILCOX,RUTLAND,VT,05701,8027753351,RJW INC,8027753351,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,25.8,58744,20142,1,8,597.8,772789.0
1497264899,CHELSEA PHARMACY LLC,MAYUR PATEL,CHELSEA,VT,05038,8026852100,CHELSEA PHARMACY LLC,8026852100,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,33.6,24.7,65057,1301,1,8,597.8,772789.0
1225139181,STELISE INC,STEPHEN COMEAU,ENOSBURG FALLS,VT,05450,8029339200,STELISE INC,8029339200,True,True,"Pharmacy, Community/Retail Pharmacy",10.4,38.0,18.4,72991,5357,1,8,597.8,772789.0
