npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1639237142,SEA MAR COMMUNITY HEALTH CENTERS,MARY BARTOLO,SEATTLE,WA,98108,2067623397,SEA MAR COMMUNITY HEALTH CENTERS,2067623397,True,True,"Pharmacy, Community/Retail Pharmacy",11.0,24.8,15.0,90806,24430,1,21,444.2,548811.0
1306365184,"MADRONA HEALTH, LLC",HUNG TRUONG,SEATTLE,WA,98108,2063413300,"MADRONA HEALTH, LLC",2063413300,True,True,Pharmacy,11.0,24.8,15.0,90806,24430,1,21,444.2,548811.0
1932240892,JACK J CORDOVA,JACK CORDOVA,SEATTLE,WA,98108,2067630288,JACK J CORDOVA,2067630288,True,True,"Pharmacy, Community/Retail Pharmacy",11.0,24.8,15.0,90806,24430,1,21,444.2,548811.0
1467711259,PHARMACY4HUMANITY,KENNETH SCOTT CARRUTHERS,SEATTLE,WA,98104,2066241391,PHARMACY4HUMANITY,2066241391,True,True,"Pharmacy, Specialty Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1013089382,PROCARE PHARMACY LLC,SUSAN COLBERT,SEATTLE,WA,98104,8006197610,PROCARE PHARMACY LLC,8006197610,True,True,Pharmacy,10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1700423639,EASTERNS PHARMACY LLC,RAMA NARASIMHA RAO MAGANTI,SEATTLE,WA,98104,2066626094,EASTERNS PHARMACY LLC,2066626094,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1740673540,MPS SPECIALTY SERVICES,STEPHEN AUSTIN,SEATTLE,WA,98104,2066821011,MPS SPECIALTY SERVICES,2066821011,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1467510552,PACIFIC DRUGS INC,NAZIR REHMAT,SEATTLE,WA,98104,2066241454,PACIFIC DRUGS INC,2066241454,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1083729032,ALEXANDRIA DRUGS LLC,KHALED ABDELRAZZAK,SEATTLE,WA,98104,2066226094,ALEXANDRIA DRUGS LLC,2066226094,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
1053799403,BLOODWORKS,ROBERT GLEASON,SEATTLE,WA,98104,2062926500,BLOODWORKS,2062926500,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,26.1,18.2,61866,15870,1,21,444.2,548811.0
