npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1982230017,MILWAUKEE PHARMACY LLC,JAMAL ELZEIBAGH,MILWAUKEE,WI,53206,4144428760,MILWAUKEE PHARMACY LLC,4144428760,True,True,"Pharmacy, Community/Retail Pharmacy",24.5,54.9,11.5,28995,20219,1,21,756.2,908315.0
1023280567,ROUNDYS SUPERMARKETS INC,ALLISON BREDESTEGE,BROWN DEER,WI,53206,4143547213,ROUNDYS SUPERMARKETS INC,4143547213,True,True,"Pharmacy, Community/Retail Pharmacy",24.5,54.9,11.5,28995,20219,1,21,756.2,908315.0
1326740432,MILWAUKEE PHARMACY LLC,JAMAL ELZEIBAGH,MILWAUKEE,WI,53205,4144428760,MILWAUKEE PHARMACY LLC,4144428760,True,True,"Pharmacy, Community/Retail Pharmacy",21.5,50.1,10.0,30300,9091,1,21,756.2,908315.0
1114224649,HAYAT PHARMACY 5 LLC,HASHIM ZAIBAK,MILWAUKEE,WI,53205,4143740000,HAYAT PHARMACY 5 LLC,4143740000,True,True,"Pharmacy, Community/Retail Pharmacy",21.5,50.1,10.0,30300,9091,1,21,756.2,908315.0
1033546817,HAYAT PHARMACY 4 LLC,HASHIM ZAIBAK,MILWAUKEE,WI,53216,4148171111,HAYAT PHARMACY 4 LLC,4148171111,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,49.0,13.0,43466,29772,1,21,756.2,908315.0
1952965576,LIFE CHANGE RX 1 LLC,ALI ALI,MILWAUKEE,WI,53216,4146002000,LIFE CHANGE RX 1 LLC,4146002000,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,49.0,13.0,43466,29772,1,21,756.2,908315.0
1093594798,PHARMACY 2 U LLC,BENJAMIN EZEKIEL,MILWAUKEE,WI,53216,4146670090,PHARMACY 2 U LLC,4146670090,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,49.0,13.0,43466,29772,1,21,756.2,908315.0
1285278978,LIFE CHANGE RX 3 LLC,MOHAMED EL SHEIKH,MILWAUKEE,WI,53216,4149990999,LIFE CHANGE RX 3 LLC,4149990999,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,49.0,13.0,43466,29772,1,21,756.2,908315.0
1821489931,MIDTOWN PHARMACY SC,PAYAL SURANI,MILWAUKEE,WI,53216,4142690341,MIDTOWN PHARMACY SC,4142690341,True,True,"Pharmacy, Community/Retail Pharmacy",20.2,49.0,13.0,43466,29772,1,21,756.2,908315.0
1376263723,CARE 1 RX LLC,MOHAMED ELSHEIKH,MILWAUKEE,WI,53218,4143354617,CARE 1 RX LLC,4143354617,True,True,"Pharmacy, Community/Retail Pharmacy",18.5,47.2,9.5,42207,40581,1,21,756.2,908315.0
