npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1558444026,"BLACK DIAMOND PHARMACY, LLC",DAVID DUNSON,NORTHFORK,WV,24868,3048622105,"BLACK DIAMOND PHARMACY, LLC",3048622105,True,True,"Pharmacy, Community/Retail Pharmacy",25.9,49.0,40.6,22060,1070,1,23,624.4,753242.0
1932815149,RIGHT WAY DRUG INC.,HUNTER TESTERMAN,WAR,WV,24892,3044363784,RIGHT WAY DRUG INC.,3044363784,True,True,"Pharmacy, Community/Retail Pharmacy",21.5,47.0,10.8,21349,1636,1,23,624.4,753242.0
1285751586,MCDOWELL PHARMACY INC,ROBERT BROWN,WAR,WV,24892,3048752291,MCDOWELL PHARMACY INC,3048752291,True,True,"Pharmacy, Community/Retail Pharmacy",21.5,47.0,10.8,21349,1636,1,23,624.4,753242.0
1366062671,APPALACHIAN RX LLC,MATTHEW CARPENTER,WEBSTER SPRINGS,WV,26288,3046192401,APPALACHIAN RX LLC,3046192401,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,30.1,37348,2958,1,23,624.4,753242.0
1518955103,HIGHLANDER PHARMACY INC.,JEFFREY KESECKER,WEBSTER SPRINGS,WV,26288,3048475151,HIGHLANDER PHARMACY INC.,3048475151,True,True,"Pharmacy, Community/Retail Pharmacy",19.8,42.7,30.1,37348,2958,1,23,624.4,753242.0
1598528564,"LINCOLN COUNTY PRIMARY CARE CENTER, INC",LETITIA WEAVER-SCITES,BRANCHLAND,WV,25506,6815007277,"LINCOLN COUNTY PRIMARY CARE CENTER, INC",6815007277,True,True,"Pharmacy, Community/Retail Pharmacy",18.7,46.5,22.8,45080,5690,1,23,624.4,753242.0
1326145160,SOUTHSIDE PROF PHARMACY INC,SUSIE STAUFFER,BLUEFIELD,WV,24701,3043275600,SOUTHSIDE PROF PHARMACY INC,3043275600,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1457232399,BLUESTONE PINNACLE PHARMACY,SUSAN PLUMLEY,BLUEWELL,WV,24701,3044096510,BLUESTONE PINNACLE PHARMACY,3044096510,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1457361313,"TURNER INVESTMENTS, INC.",DONNIE TURNER,BLUEFIELD,WV,24701,3043277727,"TURNER INVESTMENTS, INC.",3043277727,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1972523629,BLUEWELLS FAMILY PHARMACY INC,HAROLD WELLS,BLUEFIELD,WV,24701,3045897788,BLUEWELLS FAMILY PHARMACY INC,3045897788,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1417054255,GOODYKOONTZ DRUG STORES INC,JERRY BOVENIZER,BLUEFIELD,WV,24701,3043257121,GOODYKOONTZ DRUG STORES INC,3043257121,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1801239017,BLUEFIELD HOMETOWN PHARMACY,PAULA KING,BLUEFIELD,WV,24701,3043256600,BLUEFIELD HOMETOWN PHARMACY,3043256600,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,42.0,25.3,44188,17943,1,23,624.4,753242.0
1205131828,ROSS DRUG INC,ANIL KARNATI,WEST HAMLIN,WV,25571,3048244000,ROSS DRUG INC,3048244000,True,True,"Pharmacy, Community/Retail Pharmacy",18.2,45.2,15.8,53512,1874,1,23,624.4,753242.0
1578204392,"VALLEY HEALTH SYSTEMS, INC",ASHLEY HOUVOURAS,HARTS,WV,25524,3047815021,"VALLEY HEALTH SYSTEMS, INC",3047815021,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,46.3,26.8,39976,2373,1,23,624.4,753242.0
1811156417,HARTS PHARMACY INC,VIRGIL MERRITT,HARTS,WV,25524,3048555616,HARTS PHARMACY INC,3048555616,True,True,"Pharmacy, Community/Retail Pharmacy",17.6,46.3,26.8,39976,2373,1,23,624.4,753242.0
1609683218,BLUESTONE HEALTH CENTER PHARMACY,SUSAN PLUMLEY,PRINCETON,WV,24740,3044315499,BLUESTONE HEALTH CENTER PHARMACY,3044315499,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1689409567,COMMUNITY HEALTH SYSTEMS INC,ROBERT BUTCHER,PRINCETON,WV,24740,3042528324,COMMUNITY HEALTH SYSTEMS INC,3042528324,True,True,Pharmacy,17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1154439024,FOUR SEASONS PHARMACY INC,JASON PRITCHETT,PRINCETON,WV,24740,3044870015,FOUR SEASONS PHARMACY INC,3044870015,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1194764167,HICKMANS PRESCRIPTION DRUGGIST INC,JOHN HICKMAN,PRINCETON,WV,24740,3044252188,HICKMANS PRESCRIPTION DRUGGIST INC,3044252188,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1093757619,HICKMANS PRESCRIPTION DRUGGIST INC,JOHN HICKMAN,PRINCETON,WV,24740,3044251077,HICKMANS PRESCRIPTION DRUGGIST INC,3044251077,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1629175559,CLINIC PHARMACY OF PRINCETON INC,THOMAS BAY,PRINCETON,WV,24740,3044259591,CLINIC PHARMACY OF PRINCETON INC,3044259591,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,41.1,22.0,46272,16559,1,23,624.4,753242.0
1770589681,LINCOLN COUNTY PRIMARY CARE CENTER INC,LISA LEACH,HAMLIN,WV,25523,3048242667,LINCOLN COUNTY PRIMARY CARE CENTER INC,3048242667,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,43.5,19.0,58056,2704,1,23,624.4,753242.0
1831163906,LINCOLN COUNTY PRIMARY CARE CENTER INC,LISA LEACH,HAMLIN,WV,25523,3048246337,LINCOLN COUNTY PRIMARY CARE CENTER INC,3048246337,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,43.5,19.0,58056,2704,1,23,624.4,753242.0
1285177592,SMVG INC,ANIL KARNATI,HAMLIN,WV,25523,3048244500,SMVG INC,3048244500,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,43.5,19.0,58056,2704,1,23,624.4,753242.0
1114219474,CHIPRX LLC,GEORGE CHAPMAN,HAMLIN,WV,25523,3048243784,CHIPRX LLC,3048243784,True,True,"Pharmacy, Community/Retail Pharmacy",17.3,43.5,19.0,58056,2704,1,23,624.4,753242.0
1588833115,COMMUNITY HEALTH SYSTEMS INC,ROBERT BUTCHER,LOCHGELLY,WV,25866,3044610068,COMMUNITY HEALTH SYSTEMS INC,3044610068,True,True,"Pharmacy, Community/Retail Pharmacy",18.1,41.0,20.7,66042,343,1,22,624.4,753242.0
1982233235,"NEW RIVER HEALTH ASSOCIATION, INC.",MARISSA JOHNSON,SMITHERS,WV,25186,3045743991,"NEW RIVER HEALTH ASSOCIATION, INC.",3045743991,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,39.8,37.7,33650,925,1,22,624.4,753242.0
1508339482,SMITHERS FAMILY PHARMACY,EARL BENNETT,SMITHERS,WV,25186,3049812323,SMITHERS FAMILY PHARMACY,3049812323,True,True,"Pharmacy, Community/Retail Pharmacy",17.8,39.8,37.7,33650,925,1,22,624.4,753242.0
1922764125,NEW RIVER HEALTH ASSOCIATION INC,MARISSA JOHNSON,OAK HILL,WV,25901,3044692905,NEW RIVER HEALTH ASSOCIATION INC,3044692905,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,40.8,19.7,51402,10225,1,22,624.4,753242.0
1366080699,FREEDOM PHARMACY,SYREETA GREEN,OAK HILL,WV,25901,3044659870,FREEDOM PHARMACY,3044659870,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,40.8,19.7,51402,10225,1,22,624.4,753242.0
1679824031,OAK HILL HOMETOWN PHARMACY INCORPORATED,MARTIN NJOKU,OAK HILL,WV,25901,3044650222,OAK HILL HOMETOWN PHARMACY INCORPORATED,3044650222,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,40.8,19.7,51402,10225,1,22,624.4,753242.0
1568512887,WOODS PHARMACY INC,SUSAN WOODS,OAK HILL,WV,25901,3044692923,WOODS PHARMACY INC,3044692923,True,True,"Pharmacy, Community/Retail Pharmacy",17.5,40.8,19.7,51402,10225,1,22,624.4,753242.0
1598210338,"NEW RIVER HEALTH ASSOCIATION, INC.",JOHN SCHULTZ,FAYETTEVILLE,WV,25840,3045743991,"NEW RIVER HEALTH ASSOCIATION, INC.",3045743991,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,39.8,21.2,59825,7917,1,22,624.4,753242.0
1568537140,ZIMM PHARMACY INC,MICHAEL ZIMM,FAYETTEVILLE,WV,25840,3045744100,ZIMM PHARMACY INC,3045744100,True,True,"Pharmacy, Community/Retail Pharmacy",16.6,39.8,21.2,59825,7917,1,22,624.4,753242.0
1760601850,PRESTON TAYLOR COMMUNITY HEALTH CENTERS INC,JUNE GRIFFITH,GRAFTON,WV,26354,3042657400,PRESTON TAYLOR COMMUNITY HEALTH CENTERS INC,3042657400,True,True,"Pharmacy, Community/Retail Pharmacy",16.4,42.9,21.8,55250,10101,1,22,624.4,753242.0
