npi,display_name,owner_name,city,state,zip,phone,cms_org_name,cms_phone,address_matches,phone_matches,primary_taxonomy_desc,zip_diabetes_pct,zip_obesity_pct,zip_pct_65_plus,zip_median_income,zip_population,hpsa_designated,hpsa_score,state_glp1_claims_per_pharmacy,state_glp1_cost_per_pharmacy
1417123167,CHEYENNE HEALTH & WELLNESS CENTER,MARGARET COX,CHEYENNE,WY,82007,3076377000,CHEYENNE HEALTH & WELLNESS CENTER,3076377000,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,38.0,11.8,55461,21800,1,23,276.0,332295.0
1942527080,DLN PC,DAVID NOVICK,CHEYENNE,WY,82007,3076346662,DLN PC,3076346662,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,38.0,11.8,55461,21800,1,23,276.0,332295.0
1164428710,Z-MED INC,GEORGE ZAHARAS,CHEYENNE,WY,82007,3076346662,Z-MED INC,3076346662,True,True,"Pharmacy, Community/Retail Pharmacy",12.2,38.0,11.8,55461,21800,1,23,276.0,332295.0
1760547194,WEBCO DRUG INC,GENE BARBOUR,CHEYENNE,WY,82009,3076353712,WEBCO DRUG INC,3076353712,True,True,"Pharmacy, Community/Retail Pharmacy",10.6,32.2,22.1,102727,35355,1,23,276.0,332295.0
1518618669,CITY DRUG,LUCAS HAUGH,CHEYENNE,WY,82001,3076313710,CITY DRUG,3076313710,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,33.9,14.6,74149,37955,1,23,276.0,332295.0
1578368544,CITY DRUG PHARMACY,LUCAS HAUGH,CHEYENNE,WY,82001,3075140200,CITY DRUG PHARMACY,3075140200,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,33.9,14.6,74149,37955,1,23,276.0,332295.0
1588647952,HOYS INC,JAMES MASSENGILL,CHEYENNE,WY,82001,3076341818,HOYS INC,3076341818,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,33.9,14.6,74149,37955,1,23,276.0,332295.0
1942364385,HOY'S INC.,JAMES MASSENGILL,CHEYENNE,WY,82001,3076377920,HOY'S INC.,3076377920,True,True,"Pharmacy, Community/Retail Pharmacy",10.1,33.9,14.6,74149,37955,1,23,276.0,332295.0
1194298950,PHARMWORX LLC,ERIC SAUL,CASPER,WY,82601,3073371999,PHARMWORX LLC,3073371999,True,True,"Pharmacy, Community/Retail Pharmacy",11.1,36.9,15.7,68526,26945,1,21,276.0,332295.0
1306484092,COMPOUNDING SPECIALISTS LLC,RICHARD JOHNSON,CASPER,WY,82609,3073332120,COMPOUNDING SPECIALISTS LLC,3073332120,True,True,"Pharmacy, Compounding Pharmacy",10.7,36.2,17.7,70902,18759,1,21,276.0,332295.0
1871539643,RIDLEYS FAMILY MARKETS INC,TODD WISE,CASPER,WY,82609,3075777062,RIDLEYS FAMILY MARKETS INC,3075777062,True,True,"Pharmacy, Community/Retail Pharmacy",10.7,36.2,17.7,70902,18759,1,21,276.0,332295.0
1144404641,RIDLEYS FAMILY MARKETS INC,TODD WISE,LARAMIE,WY,82070,3077457246,RIDLEYS FAMILY MARKETS INC,3077457246,True,True,"Pharmacy, Community/Retail Pharmacy",7.5,28.4,13.4,65399,20149,1,21,276.0,332295.0
